Count,snowDepth,Calibration,Distance Measured,Datetime,Latitude,Longitude,Altitude,Sat Count,HDOP,GGA,RMC
0,75,198,123,0000-00-00 00:00:00+0000,43.285371,-115.285925,1648.8113,37,0.4,"$GPGGA,185329.20,4317.1222324,N,11517.1555105,W,2,37,0.4,1648.8113,M,-18.2590,M,3.6,0133*4F","$GPRMC,185329.40,A,4317.1222341,N,11517.1555097,W,0.0,,060225,12.2,E,D*33"
1,77,198,121,0000-00-00 00:00:00+0000,43.285406,-115.285903,1648.7262,32,0.5,"$GPGGA,185410.20,4317.1243337,N,11517.1541682,W,2,32,0.5,1648.7262,M,-18.2590,M,5.3,0133*47","$GPRMC,185410.40,A,4317.1243302,N,11517.1541693,W,0.0,,060225,12.2,E,D*39"
2,82,198,116,2025-02-06 18:54:31+0000,43.285436,-115.285887,1648.481,35,0.4,"$GPGGA,185430.80,4317.1261728,N,11517.1531950,W,2,35,0.4,1648.4810,M,-18.2590,M,2.5,0133*49","$GPRMC,185431.00,A,4317.1261779,N,11517.1531904,W,0.0,,060225,12.2,E,D*30"
3,83,198,115,0000-00-00 00:00:00+0000,43.285475,-115.285872,1648.4904,37,0.4,"$GPGGA,185459.40,4317.1284841,N,11517.1523090,W,2,37,0.4,1648.4904,M,-18.2590,M,3.5,0133*40","$GPRMC,185459.60,A,4317.1284854,N,11517.1523087,W,0.1,,060225,12.2,E,D*33"
4,85,198,113,2025-02-06 18:55:16+0000,43.285524,-115.285858,1648.0253,36,0.4,"$GPGGA,185515.80,4317.1314578,N,11517.1514516,W,2,36,0.4,1648.0253,M,-18.2590,M,4.9,0133*42","$GPRMC,185516.00,A,4317.1314591,N,11517.1514482,W,0.1,,060225,12.2,E,D*36"
5,81,198,117,0000-00-00 00:00:00+0000,43.285559,-115.285844,1648.1525,36,0.4,"$GPGGA,185712.60,4317.1335598,N,11517.1506592,W,2,36,0.4,1648.1525,M,-18.2590,M,2.2,0133*41","$GPRMC,185712.80,A,4317.1335662,N,11517.1506576,W,0.0,,060225,12.2,E,D*3C"
6,81,198,117,0000-00-00 00:00:00+0000,43.285601,-115.285831,1647.6735,38,0.4,"$GPGGA,185757.00,4317.1360681,N,11517.1498639,W,2,38,0.4,1647.6735,M,-18.2589,M,7.4,0133*47","$GPRMC,185757.20,A,4317.1360668,N,11517.1498691,W,0.0,,060225,12.2,E,D*31"
7,80,198,118,0000-00-00 00:00:00+0000,43.285646,-115.285815,1647.5876,37,0.4,"$GPGGA,185838.00,4317.1387676,N,11517.1488825,W,2,37,0.4,1647.5876,M,-18.2589,M,9.6,0133*4A","$GPRMC,185838.20,A,4317.1387603,N,11517.1488830,W,0.1,234.1,060225,12.2,E,D*1C"
0,85,202,117,0000-00-00 00:00:00+0000,43.285709,-115.2858,1645.9442,36,0.4,"$GPGGA,190712.00,4317.1425494,N,11517.1479863,W,2,36,0.4,1645.9442,M,-18.2589,M,1.7,0133*49","$GPRMC,190712.20,A,4317.1425400,N,11517.1479623,W,0.0,,060225,12.2,E,D*38"
1,79,202,123,2025-02-06 19:08:07+0000,43.285761,-115.285794,1645.9341,36,0.4,"$GPGGA,190806.80,4317.1456356,N,11517.1476411,W,2,36,0.4,1645.9341,M,-18.2589,M,2.5,0133*45","$GPRMC,190807.00,A,4317.1456339,N,11517.1476367,W,0.0,,060225,12.2,E,D*32"
2,76,202,126,0000-00-00 00:00:00+0000,43.285817,-115.285774,1645.4806,38,0.4,"$GPGGA,190859.00,4317.1490404,N,11517.1464520,W,2,38,0.4,1645.4806,M,-18.2589,M,3.1,0133*43","$GPRMC,190859.20,A,4317.1490342,N,11517.1464552,W,0.0,,060225,12.2,E,D*3E"
3,75,202,127,0000-00-00 00:00:00+0000,43.285868,-115.285756,1645.0048,36,0.4,"$GPGGA,190933.60,4317.1520760,N,11517.1453410,W,2,36,0.4,1645.0048,M,-18.2588,M,4.7,0133*4D","$GPRMC,190933.80,A,4317.1520730,N,11517.1453377,W,0.0,,060225,12.2,E,D*37"
4,88,202,114,0000-00-00 00:00:00+0000,43.28592,-115.285742,1644.9261,37,0.4,"$GPGGA,191009.40,4317.1552008,N,11517.1445104,W,2,37,0.4,1644.9261,M,-18.2588,M,5.1,0133*42","$GPRMC,191009.60,A,4317.1551963,N,11517.1445095,W,0.0,,060225,12.2,E,D*3E"
5,94,202,108,0000-00-00 00:00:00+0000,43.28597,-115.285724,1644.8933,38,0.4,"$GPGGA,191048.60,4317.1582267,N,11517.1434519,W,2,38,0.4,1644.8933,M,-18.2588,M,2.3,0133*4A","$GPRMC,191048.80,A,4317.1582288,N,11517.1434453,W,0.0,,060225,12.2,E,D*3D"
6,78,202,124,0000-00-00 00:00:00+0000,43.286028,-115.285707,1644.2356,37,0.4,"$GPGGA,191124.00,4317.1616938,N,11517.1424072,W,2,37,0.4,1644.2356,M,-18.2588,M,1.7,0133*4A","$GPRMC,191124.20,A,4317.1616850,N,11517.1424022,W,0.0,,060225,12.2,E,D*3E"
7,93,202,109,2025-02-06 19:12:07+0000,43.286081,-115.285693,1643.8811,37,0.4,"$GPGGA,191206.80,4317.1648305,N,11517.1415691,W,2,37,0.4,1643.8811,M,-18.2588,M,2.5,0133*43","$GPRMC,191207.00,A,4317.1648289,N,11517.1415618,W,0.0,,060225,12.2,E,D*36"
8,89,202,113,0000-00-00 00:00:00+0000,43.286133,-115.285677,1643.8706,37,0.4,"$GPGGA,191248.20,4317.1679824,N,11517.1406079,W,2,37,0.4,1643.8706,M,-18.2587,M,1.9,0133*42","$GPRMC,191248.20,A,4317.1679824,N,11517.1406079,W,0.1,,060225,12.2,E,D*32"
9,93,202,109,0000-00-00 00:00:00+0000,43.286178,-115.285661,1644.8301,37,0.4,"$GPGGA,191326.40,4317.1706634,N,11517.1396372,W,2,37,0.4,1644.8301,M,-18.2587,M,4.1,0133*44","$GPRMC,191326.60,A,4317.1706671,N,11517.1396321,W,0.0,,060225,12.2,E,D*39"
10,94,202,108,0000-00-00 00:00:00+0000,43.28623,-115.285644,1644.8086,36,0.4,"$GPGGA,191412.20,4317.1738152,N,11517.1386199,W,2,36,0.4,1644.8086,M,-18.2587,M,1.9,0133*4E","$GPRMC,191412.40,A,4317.1738199,N,11517.1386137,W,0.1,,060225,12.2,E,D*32"
11,84,202,118,0000-00-00 00:00:00+0000,43.286284,-115.285634,1645.4179,35,0.4,"$GPGGA,191507.40,4317.1770125,N,11517.1380607,W,2,35,0.4,1645.4179,M,-18.2587,M,3.1,0133*42","$GPRMC,191507.60,A,4317.1770132,N,11517.1380676,W,0.0,,060225,12.2,E,D*3D"
12,85,202,117,0000-00-00 00:00:00+0000,43.286331,-115.28562,1645.2111,34,0.5,"$GPGGA,191603.20,4317.1798545,N,11517.1372279,W,2,34,0.5,1645.2111,M,-18.2587,M,4.9,0133*40","$GPRMC,191603.40,A,4317.1798502,N,11517.1372292,W,0.0,,060225,12.2,E,D*3A"
13,82,202,120,0000-00-00 00:00:00+0000,43.286383,-115.285605,1645.2702,35,0.5,"$GPGGA,191639.20,4317.1829967,N,11517.1362757,W,2,35,0.5,1645.2702,M,-18.2586,M,4.9,0133*4C","$GPRMC,191639.40,A,4317.1829973,N,11517.1362763,W,0.0,,060225,12.2,E,D*36"
14,84,202,118,0000-00-00 00:00:00+0000,43.286433,-115.285591,1645.8911,37,0.4,"$GPGGA,191731.40,4317.1859805,N,11517.1354472,W,2,37,0.4,1645.8911,M,-18.2586,M,3.1,0133*4A","$GPRMC,191731.60,A,4317.1859782,N,11517.1354469,W,0.0,,060225,12.2,E,D*36"
15,90,202,112,0000-00-00 00:00:00+0000,43.286492,-115.285577,1646.1461,37,0.4,"$GPGGA,191832.40,4317.1894927,N,11517.1346263,W,2,37,0.4,1646.1461,M,-18.2586,M,4.1,0133*44","$GPRMC,191832.60,A,4317.1894948,N,11517.1346261,W,0.0,,060225,12.2,E,D*3E"
16,90,202,112,0000-00-00 00:00:00+0000,43.286542,-115.285565,1646.0587,37,0.4,"$GPGGA,192149.00,4317.1925031,N,11517.1339108,W,2,37,0.4,1646.0587,M,-18.2586,M,2.7,0133*4D","$GPRMC,192149.20,A,4317.1925023,N,11517.1339104,W,0.0,,060225,12.2,E,D*3B"
17,86,202,116,2025-02-06 19:22:33+0000,43.286584,-115.285553,1646.1731,38,0.4,"$GPGGA,192232.80,4317.1950451,N,11517.1331769,W,2,38,0.4,1646.1731,M,-18.2586,M,7.5,0133*45","$GPRMC,192233.00,A,4317.1950482,N,11517.1331882,W,0.0,,060225,12.2,E,D*35"
18,87,202,115,0000-00-00 00:00:00+0000,43.286635,-115.285539,1646.4707,36,0.4,"$GPGGA,192319.40,4317.1981019,N,11517.1323180,W,2,36,0.4,1646.4707,M,-18.2586,M,3.1,0133*49","$GPRMC,192319.60,A,4317.1981004,N,11517.1323142,W,0.0,,060225,12.2,E,D*3A"
19,91,202,111,2025-02-06 19:23:52+0000,43.286673,-115.285531,1646.3768,37,0.4,"$GPGGA,192351.80,4317.2003763,N,11517.1318835,W,2,37,0.4,1646.3768,M,-18.2585,M,4.9,0133*4F","$GPRMC,192352.00,A,4317.2003778,N,11517.1318877,W,0.0,,060225,12.2,E,D*38"
20,85,202,117,0000-00-00 00:00:00+0000,43.286725,-115.285513,1646.1181,38,0.4,"$GPGGA,192427.40,4317.2034990,N,11517.1307921,W,2,38,0.4,1646.1181,M,-18.2585,M,5.7,0133*4A","$GPRMC,192427.60,A,4317.2034992,N,11517.1307952,W,0.0,,060225,12.2,E,D*3D"
21,83,202,119,0000-00-00 00:00:00+0000,43.286784,-115.2855,1646.7769,38,0.4,"$GPGGA,192509.60,4317.2070410,N,11517.1299925,W,2,38,0.4,1646.7769,M,-18.2585,M,4.7,0133*45","$GPRMC,192509.80,A,4317.2070428,N,11517.1299889,W,0.0,,060225,12.2,E,D*33"
22,88,202,114,0000-00-00 00:00:00+0000,43.286836,-115.285488,1646.7205,37,0.4,"$GPGGA,192605.20,4317.2101343,N,11517.1293068,W,2,37,0.4,1646.7205,M,-18.2585,M,3.3,0133*41","$GPRMC,192605.40,A,4317.2101373,N,11517.1293079,W,0.0,,060225,12.2,E,D*33"
23,90,202,112,0000-00-00 00:00:00+0000,43.286883,-115.285479,1647.5642,35,0.4,"$GPGGA,192636.60,4317.2129551,N,11517.1287522,W,2,35,0.4,1647.5642,M,-18.2585,M,2.3,0133*43","$GPRMC,192636.80,A,4317.2129549,N,11517.1287623,W,0.0,,060225,12.2,E,D*36"
24,95,202,107,0000-00-00 00:00:00+0000,43.286934,-115.285462,1647.3638,36,0.4,"$GPGGA,192709.20,4317.2160444,N,11517.1277115,W,2,36,0.4,1647.3638,M,-18.2584,M,7.9,0133*4B","$GPRMC,192709.40,A,4317.2160422,N,11517.1277137,W,0.0,,060225,12.2,E,D*3B"
25,90,202,112,0000-00-00 00:00:00+0000,43.286983,-115.285449,1647.9004,37,0.4,"$GPGGA,192746.80,4317.2189779,N,11517.1269495,W,2,37,0.4,1647.9004,M,-18.2584,M,2.9,0133*45","$GPRMC,192746.80,A,4317.2189779,N,11517.1269495,W,0.0,,060225,12.2,E,D*34"
26,101,202,101,2025-02-06 19:28:19+0000,43.287032,-115.285436,1647.8953,36,0.4,"$GPGGA,192818.80,4317.2219428,N,11517.1261745,W,2,36,0.4,1647.8953,M,-18.2584,M,2.5,0133*4D","$GPRMC,192819.00,A,4317.2219411,N,11517.1261733,W,0.0,,060225,12.2,E,D*39"
27,97,202,105,0000-00-00 00:00:00+0000,43.287079,-115.285427,1648.1467,36,0.4,"$GPGGA,192853.20,4317.2247627,N,11517.1256174,W,2,36,0.4,1648.1467,M,-18.2584,M,3.3,0133*45","$GPRMC,192853.40,A,4317.2247576,N,11517.1256220,W,0.0,,060225,12.2,E,D*3B"
28,78,202,124,0000-00-00 00:00:00+0000,43.287132,-115.285412,1648.6658,37,0.4,"$GPGGA,193520.40,4317.2279163,N,11517.1247279,W,2,37,0.4,1648.6658,M,-18.2584,M,4.1,0133*42","$GPRMC,193520.60,A,4317.2279186,N,11517.1247255,W,0.0,,060225,12.2,E,D*35"
29,89,202,113,0000-00-00 00:00:00+0000,43.287183,-115.285396,1648.3917,38,0.4,"$GPGGA,193556.40,4317.2310004,N,11517.1237612,W,2,38,0.4,1648.3917,M,-18.2584,M,4.1,0133*4D","$GPRMC,193556.60,A,4317.2309907,N,11517.1237546,W,0.0,,060225,12.2,E,D*31"
