DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
12/29/2022 2:16:50 PM,2,1672348610000,35.400,12.344,-0.813,2.247,-0.006,-0.549,2.719,0,0,9,1.951,6,-1.000,1.451,0.000,1.451,0x1fff
12/29/2022 2:17:15 PM,2,1672348635000,35.300,12.340,-0.813,2.726,-0.006,-0.551,3.122,0,0,10,1.951,7,-1.000,1.451,0.000,1.451,0x1fff
12/29/2022 2:21:52 PM,2,1672348912000,35.100,12.344,-0.813,2.678,-0.006,-0.550,3.121,0,0,10,1.950,8,-1.000,1.452,0.000,1.452,0x1fff
12/29/2022 2:31:48 PM,2,1672349508000,41.000,12.336,-1.500,1.960,-0.006,-0.551,3.121,0,0,9,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
12/29/2022 2:41:48 PM,2,1672350108000,40.300,12.336,-1.750,1.960,-0.006,-0.550,3.121,0,0,8,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
12/29/2022 2:51:48 PM,2,1672350708000,41.700,12.336,-1.750,1.528,-0.006,-0.551,3.121,0,0,9,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
12/29/2022 3:01:48 PM,2,1672351308000,41.000,12.340,-1.625,1.864,-0.006,-0.551,3.121,0,0,8,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
12/29/2022 3:11:48 PM,2,1672351908000,36.900,12.340,-1.813,1.624,-0.007,-0.549,3.120,0,0,8,1.946,7,-1.000,1.456,0.000,1.456,0x1fff
12/29/2022 3:21:48 PM,2,1672352508000,35.600,12.336,-2.125,1.433,-0.007,-0.550,3.120,0,0,8,1.946,7,-1.000,1.456,0.000,1.456,0x1fff
12/29/2022 3:31:48 PM,2,1672353108000,41.700,12.336,-2.313,1.193,-0.006,-0.550,3.120,0,0,8,1.943,7,-1.000,1.459,0.000,1.459,0x1fff
12/29/2022 3:41:48 PM,2,1672353708000,40.400,12.340,-2.188,1.193,-0.006,-0.550,3.120,0,0,8,1.948,7,-1.000,1.454,0.000,1.459,0x1ffe
12/29/2022 3:51:48 PM,2,1672354308000,39.000,12.336,-2.125,1.337,-0.006,-0.550,3.119,0,0,8,1.948,7,-1.000,1.454,0.000,1.459,0x1fff
12/29/2022 4:01:48 PM,2,1672354908000,40.100,12.340,-2.188,1.145,-0.006,-0.551,3.119,0,0,8,1.942,7,-1.000,1.460,1.459,0.000,0x1fff
12/29/2022 4:11:48 PM,2,1672355508000,40.600,12.336,-2.375,1.337,-0.007,-0.550,3.118,0,0,8,1.949,7,-1.000,1.453,1.459,0.000,0x1fff
12/29/2022 4:21:48 PM,2,1672356108000,41.500,12.340,-2.563,1.001,-0.007,-0.551,3.118,0,0,8,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
12/29/2022 4:31:48 PM,2,1672356708000,41.600,12.340,-2.625,0.905,-0.007,-0.550,3.118,0,0,7,1.953,7,-1.000,1.449,1.459,0.000,0x1fff
12/29/2022 4:41:48 PM,2,1672357308000,40.600,12.340,-2.625,0.810,-0.007,-0.550,3.118,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
12/29/2022 4:51:48 PM,2,1672357908000,41.200,12.340,-2.688,0.762,-0.007,-0.550,3.118,0,0,7,1.946,7,-1.000,1.456,1.459,0.000,0x1fff
