DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
1/12/2023 12:57:59 PM,208,2,128,1673553479000,37.200,12.528,13.938,17.247,0.019,-0.291,-0.956,-0.004,-0.004,-0.038,2.550,0,0,23,26,1.393,1.349,1.365,6,0x17,10,-1.000,0.614,0.000,0.614,0.171,-1.000,0x1fff
1/12/2023 12:58:56 PM,208,2,128,1673553536000,36.900,12.532,14.125,17.487,0.026,-0.133,-0.991,-0.000,-0.007,-0.052,2.876,0,0,24,27,1.391,1.347,1.363,6,0x17,11,-1.000,0.616,0.000,0.616,0.171,-1.000,0x1fff
1/12/2023 1:08:51 PM,208,2,128,1673554131000,40.000,12.512,14.625,17.822,0.025,-0.133,-0.991,0.002,-0.010,-0.050,2.875,0,0,24,28,1.391,1.347,1.363,6,0x17,11,-1.000,0.616,0.000,0.616,0.171,-1.000,0x1fff
1/12/2023 1:18:51 PM,208,2,128,1673554731000,35.700,13.116,15.000,17.966,0.027,-0.133,-0.991,0.002,-0.012,-0.054,2.875,0,0,24,28,1.394,1.350,1.365,6,0x17,11,-1.000,0.614,0.000,0.616,0.171,-1.000,0x1fff
1/12/2023 1:28:51 PM,208,2,128,1673555331000,40.500,13.120,15.063,18.062,0.029,-0.133,-0.991,0.003,-0.013,-0.057,2.875,0,0,25,28,1.397,1.353,1.368,6,0x17,12,-1.000,0.611,0.000,0.616,0.170,-1.000,0x1fff
1/12/2023 1:38:51 PM,208,2,128,1673555931000,40.700,13.140,13.750,17.247,0.030,-0.133,-0.991,0.002,-0.013,-0.060,2.874,0,0,25,27,1.397,1.353,1.369,6,0x17,10,-1.000,0.610,0.000,0.616,0.169,-1.000,0x1fff
1/12/2023 1:48:51 PM,208,2,128,1673556531000,36.400,13.140,11.500,15.138,0.030,-0.133,-0.991,0.002,-0.013,-0.060,2.874,0,0,24,24,1.397,1.353,1.371,6,0x17,8,-1.000,0.608,0.000,0.616,0.169,-1.000,0x1fff
1/12/2023 1:58:51 PM,208,2,128,1673557131000,40.700,13.144,10.438,14.132,0.031,-0.133,-0.991,0.003,-0.013,-0.061,2.874,0,0,22,23,1.393,1.349,1.368,6,0x17,7,-1.000,0.611,0.000,0.616,0.170,-1.000,0x1fff
1/12/2023 2:08:51 PM,208,2,128,1673557731000,38.400,13.160,10.375,14.276,0.031,-0.133,-0.991,0.003,-0.013,-0.061,2.874,0,0,21,23,1.390,1.346,1.366,6,0x17,7,-1.000,0.613,0.000,0.616,0.170,-1.000,0x1fff
1/12/2023 2:18:51 PM,208,2,128,1673558331000,40.700,13.196,11.563,15.043,0.032,-0.133,-0.991,0.003,-0.014,-0.062,2.874,0,0,20,24,1.394,1.350,1.368,6,0x17,8,-1.000,0.611,0.000,0.616,0.170,-1.000,0x1fff
1/12/2023 2:28:51 PM,208,2,128,1673558931000,38.300,13.200,11.188,14.659,0.032,-0.133,-0.991,0.003,-0.014,-0.063,2.874,0,0,22,24,1.399,1.355,1.374,6,0x17,8,-1.000,0.605,0.000,0.616,0.168,-1.000,0x1fff
1/12/2023 2:38:51 PM,208,2,128,1673559531000,38.700,13.196,9.875,13.557,0.033,-0.133,-0.991,0.003,-0.014,-0.064,2.873,0,0,21,22,1.399,1.355,1.375,6,0x17,7,-1.000,0.604,0.000,0.616,0.168,-1.000,0x1fff
1/12/2023 2:48:51 PM,208,2,128,1673560131000,37.700,13.212,9.313,12.790,0.033,-0.133,-0.991,0.003,-0.014,-0.065,2.873,0,0,20,22,1.390,1.346,1.367,6,0x17,6,-1.000,0.612,0.000,0.616,0.170,-1.000,0x1fff
1/12/2023 2:58:51 PM,208,2,128,1673560731000,35.900,13.212,9.688,13.030,0.033,-0.134,-0.990,0.002,-0.014,-0.065,2.873,0,0,19,22,1.400,1.356,1.376,6,0x17,6,-1.000,0.603,0.000,0.616,0.167,-1.000,0x1fff
1/12/2023 3:08:51 PM,208,2,128,1673561331000,36.600,13.140,9.563,13.030,0.033,-0.133,-0.990,0.003,-0.015,-0.066,2.873,0,0,19,22,1.394,1.350,1.370,6,0x17,6,-1.000,0.609,0.000,0.616,0.169,-1.000,0x1fff
1/12/2023 3:10:19 PM,208,2,128,1673561419000,35.500,13.208,9.625,13.222,0.037,-0.207,-0.978,-0.000,-0.015,-0.073,2.724,0,0,19,22,1.394,1.350,1.370,7,0x17,6,-1.000,0.609,0.000,0.616,0.169,-1.000,0x1fff
1/12/2023 3:20:15 PM,208,2,128,1673562015000,39.500,13.208,9.313,13.030,0.034,-0.207,-0.978,0.000,-0.015,-0.067,2.724,0,0,19,21,1.400,1.356,1.377,6,0x17,6,-1.000,0.602,0.000,0.616,0.167,-1.000,0x1fff
1/12/2023 3:30:15 PM,208,2,128,1673562615000,40.200,13.200,8.063,11.688,0.035,-0.207,-0.978,0.000,-0.015,-0.068,2.723,0,0,19,20,1.399,1.355,1.377,6,0x17,5,-1.000,0.602,0.000,0.616,0.167,-1.000,0x1fff
1/12/2023 3:40:15 PM,208,2,128,1673563215000,37.500,13.200,7.500,11.113,0.035,-0.207,-0.978,-0.000,-0.014,-0.068,2.723,0,0,18,19,1.399,1.355,1.377,6,0x17,4,-1.000,0.602,0.000,0.616,0.167,-1.000,0x1fff
1/12/2023 3:50:15 PM,208,2,128,1673563815000,40.100,13.204,8.250,11.544,0.035,-0.207,-0.978,-0.000,-0.014,-0.068,2.723,0,0,17,20,1.391,1.347,1.369,6,0x17,4,-1.000,0.610,0.000,0.616,0.169,-1.000,0x1fff
1/12/2023 4:00:15 PM,208,2,128,1673564415000,39.900,13.212,8.438,12.023,0.035,-0.207,-0.978,-0.000,-0.014,-0.068,2.723,0,0,18,20,1.391,1.347,1.368,6,0x17,5,-1.000,0.611,0.616,0.000,0.170,-1.000,0x1fff
1/12/2023 4:10:15 PM,208,2,128,1673565015000,39.800,13.212,8.938,12.503,0.035,-0.207,-0.978,-0.000,-0.014,-0.069,2.723,0,0,18,21,1.393,1.349,1.370,6,0x17,5,-1.000,0.609,0.616,0.000,0.169,-1.000,0x1fff
1/12/2023 4:20:15 PM,208,2,128,1673565615000,36.800,13.216,9.500,13.078,0.035,-0.208,-0.978,0.000,-0.015,-0.069,2.723,0,0,18,21,1.397,1.353,1.373,6,0x17,6,-1.000,0.606,0.616,0.000,0.168,-1.000,0x1fff
1/12/2023 4:30:15 PM,208,2,128,1673566215000,39.600,13.204,8.375,11.976,0.036,-0.208,-0.978,0.000,-0.015,-0.069,2.723,0,0,19,20,1.399,1.355,1.376,6,0x17,5,-1.000,0.603,0.616,0.000,0.167,-1.000,0x1fff
1/12/2023 4:40:15 PM,208,2,128,1673566815000,39.800,13.200,6.375,10.250,0.036,-0.208,-0.978,-0.000,-0.014,-0.071,2.722,0,0,18,18,1.394,1.350,1.373,6,0x17,3,-1.000,0.606,0.616,0.000,0.168,-1.000,0x1fff
1/12/2023 4:50:15 PM,208,2,128,1673567415000,38.700,13.196,4.688,8.381,0.036,-0.208,-0.978,-0.000,-0.015,-0.071,2.722,0,0,16,16,1.393,1.349,1.374,6,0x17,1,-1.000,0.605,0.616,0.000,0.168,-1.000,0x1fff
1/12/2023 5:00:15 PM,208,2,128,1673568015000,39.700,13.188,3.563,7.519,0.036,-0.208,-0.978,-0.000,-0.014,-0.071,2.722,0,0,14,15,1.397,1.353,1.379,6,0x17,0,-1.000,0.600,0.616,0.000,0.167,-1.000,0x1fff
1/12/2023 5:10:15 PM,208,2,128,1673568615000,35.200,13.188,3.188,6.944,0.036,-0.208,-0.977,-0.000,-0.014,-0.071,2.722,0,0,13,14,1.393,1.349,1.375,6,0x17,0,-1.000,0.604,0.616,0.000,0.168,-1.000,0x1fff
