DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/1/2025 12:03:12 PM,208,2,128,1743530592000,36.200,13.468,9.875,13.461,0.004,-0.812,-0.583,-0.007,0.002,-0.016,1.245,0,0,20,24,1.447,1.401,1.421,5,0x17,7,-1.000,0.519,2.540,0.101,0.178,-1.000,0x1fff
4/1/2025 12:13:12 PM,208,2,128,1743531192000,37.400,13.488,9.875,13.605,0.004,-0.812,-0.583,-0.007,0.002,-0.016,1.245,0,0,21,24,1.450,1.404,1.424,5,0x17,7,-1.000,0.516,2.540,0.101,0.177,-1.000,0x1fff
4/1/2025 12:23:12 PM,208,2,128,1743531792000,39.300,13.504,9.563,13.317,0.004,-0.812,-0.583,-0.007,0.002,-0.016,1.245,0,0,21,23,1.450,1.404,1.424,5,0x17,6,-1.000,0.516,2.540,0.101,0.177,-1.000,0x1fff
4/1/2025 12:33:12 PM,208,2,128,1743532392000,37.800,13.552,9.375,12.886,0.004,-0.812,-0.583,-0.007,0.002,-0.016,1.245,0,0,20,23,1.450,1.404,1.424,5,0x17,6,-1.000,0.516,2.540,0.101,0.177,-1.000,0x1fff
4/1/2025 12:43:12 PM,208,2,128,1743532992000,39.300,13.616,8.688,12.503,0.003,-0.812,-0.583,-0.007,0.003,-0.016,1.245,0,0,20,23,1.453,1.407,1.428,5,0x17,6,-1.000,0.512,2.540,0.101,0.175,-1.000,0x1fff
4/1/2025 12:53:12 PM,208,2,128,1743533592000,36.000,13.704,8.188,12.023,0.004,-0.812,-0.583,-0.007,0.003,-0.016,1.246,0,0,19,22,1.454,1.408,1.430,5,0x17,5,-1.000,0.510,2.540,0.101,0.175,-1.000,0x1fff
4/1/2025 1:03:12 PM,208,2,128,1743534192000,38.700,13.856,8.063,11.976,0.003,-0.812,-0.583,-0.007,0.003,-0.016,1.245,0,0,19,22,1.451,1.405,1.427,5,0x17,5,-1.000,0.513,2.540,0.101,0.176,-1.000,0x1fff
4/1/2025 1:13:12 PM,208,2,128,1743534792000,39.000,13.924,8.438,12.407,0.003,-0.812,-0.583,-0.007,0.003,-0.016,1.246,0,0,19,22,1.450,1.404,1.425,5,0x17,5,-1.000,0.515,2.540,0.101,0.176,-1.000,0x1fff
4/1/2025 1:23:12 PM,208,2,128,1743535392000,37.400,13.932,9.188,13.030,0.004,-0.812,-0.583,-0.007,0.002,-0.015,1.246,0,0,19,23,1.450,1.404,1.425,5,0x17,6,-1.000,0.515,2.540,0.101,0.176,-1.000,0x1fff
4/1/2025 1:33:12 PM,208,2,128,1743535992000,40.000,13.920,9.313,13.126,0.003,-0.812,-0.583,-0.007,0.003,-0.016,1.246,0,0,20,23,1.450,1.404,1.425,5,0x17,6,-1.000,0.515,2.540,0.101,0.176,-1.000,0x1fff
