DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
7/1/2024 3:43:12 PM,208,2,128,1719870192000,37.200,14.088,31.063,34.691,0.000,0.014,-1.000,0.003,-0.007,-0.001,-3.113,0,0,41,45,1.937,1.876,1.876,10,0x17,28,-1.000,0.064,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 3:53:12 PM,208,2,128,1719870792000,34.900,14.056,30.938,34.643,0.001,-0.005,1.000,-0.003,-0.007,0.002,-3.132,0,0,40,45,1.939,1.878,1.878,9,0x17,28,-1.000,0.062,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:03:12 PM,208,2,128,1719871392000,36.200,14.028,30.750,34.355,0.001,-0.000,1.000,-0.003,-0.006,0.003,-3.141,0,0,40,45,1.937,1.876,1.876,9,0x17,28,-1.000,0.064,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:13:12 PM,208,2,128,1719871992000,40.200,14.008,30.688,34.355,0.000,0.006,1.000,-0.004,-0.008,0.001,3.129,0,0,40,45,1.939,1.878,1.878,9,0x17,28,-1.000,0.062,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:23:12 PM,208,2,128,1719872592000,39.400,14.080,30.500,34.164,0.001,0.005,1.000,-0.003,-0.007,0.001,3.131,0,0,40,45,1.939,1.878,1.879,9,0x17,27,-1.000,0.061,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:33:12 PM,208,2,128,1719873192000,38.100,14.040,30.563,34.212,0.000,-0.003,-1.000,0.003,-0.006,-0.000,3.136,0,0,40,45,1.937,1.876,1.877,9,0x17,28,-1.000,0.063,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:43:12 PM,208,2,128,1719873792000,37.100,14.012,30.563,34.116,0.000,-0.006,-1.000,0.003,-0.006,-0.000,3.129,0,0,40,45,1.939,1.878,1.879,9,0x17,28,-1.000,0.061,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 4:53:12 PM,208,2,128,1719874392000,40.200,14.040,30.750,34.308,0.001,-0.004,1.000,-0.003,-0.006,0.001,-3.134,0,0,40,45,1.939,1.878,1.878,9,0x17,28,-1.000,0.062,13.065,0.022,-0.002,-1.000,0x1fff
7/1/2024 5:03:12 PM,208,2,128,1719874992000,36.500,14.064,30.563,34.020,0.001,-0.005,1.000,-0.003,-0.006,0.002,-3.131,0,0,40,45,1.937,1.876,1.877,9,0x17,28,-1.000,0.063,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 5:13:12 PM,208,2,128,1719875592000,39.500,14.032,30.625,34.164,0.001,-0.002,1.000,-0.003,-0.007,0.001,-3.138,0,0,40,45,1.940,1.879,1.880,9,0x17,28,-1.000,0.060,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 5:23:12 PM,208,2,128,1719876192000,39.700,14.000,30.313,34.020,0.001,-0.021,1.000,-0.003,-0.007,0.001,-3.100,0,0,40,45,1.937,1.876,1.877,9,0x17,27,-1.000,0.063,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 5:33:12 PM,208,2,128,1719876792000,38.400,14.004,30.125,33.876,0.001,-0.011,1.000,-0.003,-0.006,0.002,-3.120,0,0,40,44,1.937,1.876,1.877,9,0x17,27,-1.000,0.063,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 5:43:12 PM,208,2,128,1719877392000,34.600,14.044,29.938,33.589,0.000,-0.007,1.000,-0.003,-0.007,0.001,-3.127,0,0,39,44,1.939,1.878,1.879,9,0x17,27,-1.000,0.061,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 5:53:12 PM,208,2,128,1719877992000,36.800,14.012,29.750,33.253,0.001,-0.009,1.000,-0.003,-0.007,0.002,-3.123,0,0,39,44,1.940,1.879,1.880,9,0x17,27,-1.000,0.060,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:03:12 PM,208,2,128,1719878592000,34.900,13.980,29.625,33.349,0.000,-0.004,1.000,-0.003,-0.007,0.001,-3.133,0,0,39,44,1.940,1.879,1.880,9,0x17,26,-1.000,0.060,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:13:12 PM,208,2,128,1719879192000,39.500,13.956,29.625,33.157,0.001,-0.005,1.000,-0.003,-0.007,0.002,-3.132,0,0,39,44,1.939,1.878,1.879,9,0x17,26,-1.000,0.061,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:23:12 PM,208,2,128,1719879792000,35.500,13.964,29.500,33.110,0.001,-0.003,1.000,-0.003,-0.006,0.002,-3.136,0,0,39,44,1.936,1.875,1.877,9,0x17,26,-1.000,0.063,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:33:12 PM,208,2,128,1719880392000,39.100,13.964,29.438,33.110,0.000,-0.002,1.000,-0.003,-0.006,0.001,-3.137,0,0,39,44,1.937,1.876,1.878,9,0x17,26,-1.000,0.062,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:43:12 PM,208,2,128,1719880992000,36.100,13.956,29.438,33.062,0.000,-0.002,1.000,-0.003,-0.006,0.001,-3.138,0,0,39,43,1.937,1.876,1.878,9,0x17,26,-1.000,0.062,13.087,0.000,-0.002,-1.000,0x1fff
7/1/2024 6:53:12 PM,208,2,128,1719881592000,39.000,13.940,29.063,32.822,0.000,-0.003,1.000,-0.003,-0.006,0.000,-3.135,0,0,39,43,1.934,1.873,1.875,9,0x17,26,-1.000,0.065,13.087,0.000,-0.002,-1.000,0x1fff
