DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
9/15/2023 12:11:34 PM,208,2,128,1694801494000,39.800,14.064,31.125,34.547,0.111,-0.647,-0.750,-0.078,-0.027,-0.272,1.714,3,0,40,46,1.830,1.760,1.760,13,0x17,28,-1.000,0.212,7.926,0.000,0.023,-1.000,0x1fff
11/4/2023 12:26:01 AM,208,2,128,1699079161000,39.800,11.940,25.438,28.509,0.049,-0.936,-0.317,-0.144,-0.001,-0.305,0.652,3,0,26,31,0.031,-0.033,1.972,6,0x17,23,-1.000,0.000,7.926,0.000,0.000,-1.000,0x1fff
11/4/2023 12:35:57 AM,208,2,128,1699079757000,39.900,11.944,29.438,33.110,0.049,-0.937,-0.315,-0.144,-0.001,-0.305,0.648,3,0,27,44,0.031,-0.033,1.972,6,0x17,27,-1.000,0.000,7.926,0.000,0.000,-1.000,0x1fff
11/4/2023 12:45:27 AM,208,2,128,1699080327000,44.500,11.944,30.750,34.308,0.152,-0.005,-0.988,-0.000,-0.001,-0.306,3.132,3,0,39,45,0.030,-0.034,1.972,7,0x17,28,-1.000,0.000,7.926,0.000,0.000,-1.000,0x1fff
11/4/2023 12:47:10 PM,208,2,128,1699123630000,36.500,13.396,9.375,12.551,0.037,-0.921,0.389,-0.008,-0.075,0.013,-0.798,0,0,10,14,0.747,0.671,0.691,7,0x17,7,-1.000,1.277,7.926,1.277,0.309,-1.000,0x1fff
11/4/2023 12:53:12 PM,208,2,128,1699123992000,39.700,13.396,11.938,15.330,0.007,-0.921,0.389,0.001,-0.013,0.008,-0.799,0,0,18,24,1.984,1.926,1.944,11,0x17,9,-1.000,0.000,7.926,1.277,0.000,-1.000,0x1fff
11/4/2023 1:03:12 PM,208,2,128,1699124592000,36.200,13.400,14.438,17.966,0.008,-0.923,0.384,0.001,-0.014,0.008,-0.788,0,0,21,28,1.980,1.921,1.937,11,0x17,12,-1.000,0.003,7.926,1.277,0.000,-1.000,0x1fff
11/4/2023 1:13:12 PM,208,2,128,1699125192000,36.900,13.404,15.000,18.685,0.008,-0.923,0.384,0.001,-0.013,0.008,-0.788,0,0,24,28,1.981,1.922,1.937,11,0x17,12,-1.000,0.003,7.926,1.277,0.000,-1.000,0x1fff
11/4/2023 1:23:12 PM,208,2,128,1699125792000,40.300,13.408,15.063,18.876,0.008,-0.923,0.384,0.001,-0.014,0.009,-0.787,0,0,24,28,1.980,1.921,1.936,11,0x17,12,-1.000,0.004,7.926,1.277,0.001,-1.000,0x1fff
11/4/2023 1:33:12 PM,208,2,128,1699126392000,40.700,13.412,15.500,19.260,0.008,-0.924,0.383,0.001,-0.014,0.009,-0.787,0,0,24,29,1.983,1.925,1.940,11,0x17,13,-1.000,0.000,7.926,1.277,0.000,-1.000,0x1fff
