DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/15/2024 1:03:12 PM,208,2,128,1713207792000,40.800,13.404,21.500,25.202,0.000,-0.750,-0.661,0.007,-0.010,0.009,1.445,0,0,32,35,1.990,1.932,1.941,10,0x17,19,-1.000,0.000,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 1:13:12 PM,208,2,128,1713208392000,40.600,13.396,20.938,24.675,0.001,-0.751,-0.660,0.006,-0.009,0.009,1.441,0,0,31,35,1.986,1.928,1.938,10,0x17,18,-1.000,0.002,12.208,0.000,0.001,-1.000,0x1fff
4/15/2024 1:23:12 PM,208,2,128,1713208992000,39.700,13.396,20.938,24.483,0.000,-0.754,-0.657,0.007,-0.009,0.010,1.433,0,0,30,35,1.987,1.929,1.939,10,0x17,18,-1.000,0.001,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 1:33:12 PM,208,2,128,1713209592000,37.200,13.392,20.500,24.292,0.000,0.757,0.654,-0.007,-0.009,0.010,1.426,0,0,30,34,1.986,1.928,1.938,10,0x17,18,-1.000,0.002,12.208,0.000,0.001,-1.000,0x1fff
4/15/2024 1:43:12 PM,208,2,128,1713210192000,39.600,13.396,21.750,25.250,0.000,0.759,0.652,-0.008,-0.009,0.012,1.419,0,0,30,35,1.989,1.931,1.940,10,0x17,19,-1.000,0.000,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 1:53:12 PM,208,2,128,1713210792000,36.900,13.400,21.375,24.915,0.001,-0.758,-0.652,0.007,-0.010,0.009,1.420,0,0,31,35,1.989,1.931,1.940,12,0x17,18,-1.000,0.000,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 2:03:12 PM,208,2,128,1713211392000,40.600,13.404,21.938,25.586,0.000,0.759,0.652,-0.007,-0.009,0.010,1.420,0,0,31,35,1.989,1.931,1.940,10,0x17,19,-1.000,0.000,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 2:13:12 PM,208,2,128,1713211992000,37.900,13.404,22.563,25.777,0.000,-0.762,-0.648,0.007,-0.010,0.010,1.409,0,0,31,36,1.989,1.931,1.939,10,0x17,19,-1.000,0.001,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 2:23:12 PM,208,2,128,1713212592000,36.600,13.408,23.063,26.592,0.000,0.764,0.646,-0.008,-0.009,0.012,1.404,0,0,32,37,1.990,1.932,1.940,10,0x17,20,-1.000,0.000,12.208,0.000,0.000,-1.000,0x1fff
4/15/2024 2:33:12 PM,208,2,128,1713213192000,40.000,13.400,23.063,26.640,0.001,0.761,0.649,-0.008,-0.009,0.013,1.413,0,0,32,37,1.987,1.929,1.937,10,0x17,20,-1.000,0.003,12.208,0.000,0.001,-1.000,0x1fff
