DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
10/18/2024 4:43:12 PM,208,2,128,1729291392000,39.400,13.996,17.250,20.937,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.676,0,0,27,30,1.910,1.847,1.860,8,0x17,14,-1.000,0.080,0.365,0.026,0.012,-1.000,0x1fff
10/18/2024 4:53:12 PM,208,2,128,1729291992000,38.100,13.948,17.063,20.458,0.006,-0.231,-0.973,-0.001,-0.001,-0.012,2.676,0,0,26,30,1.910,1.847,1.860,8,0x17,14,-1.000,0.080,0.365,0.026,0.012,-1.000,0x1fff
10/18/2024 5:03:12 PM,208,2,128,1729292592000,37.900,13.920,16.688,20.074,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.678,0,0,26,29,1.910,1.847,1.861,9,0x17,13,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 5:13:12 PM,208,2,128,1729293192000,33.900,13.988,16.500,19.931,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.678,0,0,26,29,1.910,1.847,1.861,8,0x17,13,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 5:23:12 PM,208,2,128,1729293792000,38.000,13.940,16.313,19.787,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.678,0,0,26,29,1.910,1.847,1.861,8,0x17,13,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 5:33:12 PM,208,2,128,1729294392000,34.000,13.924,16.375,20.074,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.678,0,0,25,29,1.910,1.847,1.861,8,0x17,13,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 5:43:12 PM,208,2,128,1729294992000,38.600,13.956,15.938,19.547,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.678,0,0,26,29,1.910,1.847,1.861,8,0x17,13,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 5:53:12 PM,208,2,128,1729295592000,38.300,13.952,15.438,19.068,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.677,0,0,25,28,1.909,1.846,1.861,8,0x17,12,-1.000,0.079,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:03:12 PM,208,2,128,1729296192000,34.800,13.920,14.813,18.397,0.006,-0.230,-0.973,-0.001,-0.001,-0.013,2.677,0,0,25,28,1.911,1.848,1.863,8,0x17,12,-1.000,0.077,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:13:12 PM,208,2,128,1729296792000,38.400,13.912,14.188,17.822,0.006,-0.230,-0.973,-0.001,-0.000,-0.013,2.677,0,0,24,28,1.910,1.847,1.863,8,0x17,11,-1.000,0.077,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:23:12 PM,208,2,128,1729297392000,38.800,13.896,13.625,17.103,0.006,-0.230,-0.973,-0.001,-0.001,-0.012,2.677,0,0,24,26,1.911,1.848,1.864,8,0x17,10,-1.000,0.076,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:33:12 PM,208,2,128,1729297992000,38.700,13.872,12.813,16.432,0.006,-0.230,-0.973,-0.001,-0.000,-0.013,2.677,0,0,23,26,1.910,1.847,1.864,9,0x17,10,-1.000,0.076,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:43:12 PM,208,2,128,1729298592000,38.500,13.848,11.563,15.426,0.006,-0.230,-0.973,-0.002,0.000,-0.013,2.677,0,0,22,25,1.910,1.847,1.865,8,0x17,8,-1.000,0.075,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 6:53:12 PM,208,2,128,1729299192000,38.800,13.820,10.313,14.084,0.006,-0.230,-0.973,-0.002,0.001,-0.013,2.677,0,0,21,23,1.910,1.847,1.867,8,0x17,7,-1.000,0.073,0.391,0.000,0.011,-1.000,0x1fff
10/18/2024 7:03:12 PM,208,2,128,1729299792000,39.000,13.796,9.125,13.078,0.006,-0.230,-0.973,-0.002,0.001,-0.013,2.676,0,0,20,22,1.913,1.851,1.872,8,0x17,6,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 7:13:12 PM,208,2,128,1729300392000,35.000,13.776,8.125,11.880,0.006,-0.231,-0.973,-0.002,0.000,-0.012,2.676,0,0,19,21,1.911,1.848,1.870,8,0x17,5,-1.000,0.070,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 7:23:12 PM,208,2,128,1729300992000,36.400,13.748,7.688,11.448,0.006,-0.231,-0.973,-0.002,0.001,-0.014,2.676,0,0,18,20,1.910,1.847,1.869,8,0x17,5,-1.000,0.071,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 7:33:12 PM,208,2,128,1729301592000,39.100,13.736,7.563,11.209,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.676,0,0,17,20,1.910,1.847,1.869,8,0x17,4,-1.000,0.071,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 7:43:12 PM,208,2,128,1729302192000,35.800,13.712,7.438,11.017,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.676,0,0,17,20,1.913,1.851,1.873,8,0x17,4,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 7:53:12 PM,208,2,128,1729302792000,38.300,13.696,7.500,11.209,0.006,-0.231,-0.973,-0.002,0.000,-0.013,2.676,0,0,17,20,1.913,1.851,1.873,8,0x17,4,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:03:12 PM,208,2,128,1729303392000,34.100,13.676,6.813,10.586,0.006,-0.231,-0.973,-0.002,0.000,-0.013,2.676,0,0,17,19,1.910,1.847,1.870,8,0x17,4,-1.000,0.070,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:13:12 PM,208,2,128,1729303992000,39.100,13.660,6.188,10.059,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.675,0,0,17,19,1.910,1.847,1.870,8,0x17,3,-1.000,0.070,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:23:12 PM,208,2,128,1729304592000,39.100,13.644,5.500,9.340,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.675,0,0,16,18,1.910,1.847,1.871,8,0x17,2,-1.000,0.069,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:33:12 PM,208,2,128,1729305192000,39.000,13.628,5.250,9.004,0.007,-0.231,-0.973,-0.002,0.001,-0.014,2.675,0,0,15,18,1.911,1.848,1.872,8,0x17,2,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:43:12 PM,208,2,128,1729305792000,34.400,13.616,5.063,8.813,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.675,0,0,15,18,1.910,1.847,1.872,8,0x17,2,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 8:53:12 PM,208,2,128,1729306392000,39.300,13.600,4.563,8.190,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.675,0,0,15,17,1.911,1.848,1.873,9,0x17,1,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:03:12 PM,208,2,128,1729306992000,38.700,13.588,3.938,7.615,0.006,-0.231,-0.973,-0.002,0.001,-0.013,2.675,0,0,14,17,1.911,1.848,1.874,8,0x17,0,-1.000,0.066,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:13:12 PM,208,2,128,1729307592000,37.900,13.572,3.688,7.519,0.006,-0.231,-0.973,-0.002,0.002,-0.013,2.675,0,0,14,16,1.911,1.848,1.874,8,0x17,0,-1.000,0.066,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:23:12 PM,208,2,128,1729308192000,39.300,13.560,4.125,7.998,0.006,-0.231,-0.973,-0.002,0.001,-0.014,2.674,0,0,13,16,1.910,1.847,1.872,8,0x17,1,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:33:12 PM,208,2,128,1729308792000,39.600,13.552,4.313,8.046,0.006,-0.232,-0.973,-0.002,0.001,-0.013,2.674,0,0,14,16,1.910,1.847,1.872,8,0x17,1,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:43:12 PM,208,2,128,1729309392000,37.700,13.536,3.938,7.854,0.006,-0.232,-0.973,-0.002,0.001,-0.014,2.674,0,0,14,16,1.910,1.847,1.873,8,0x17,1,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 9:53:12 PM,208,2,128,1729309992000,39.000,13.524,4.313,8.190,0.007,-0.232,-0.973,-0.003,0.002,-0.014,2.674,0,0,14,17,1.911,1.848,1.873,8,0x17,1,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 10:03:12 PM,208,2,128,1729310592000,36.400,13.516,4.688,8.477,0.006,-0.232,-0.973,-0.002,0.002,-0.014,2.674,0,0,14,17,1.913,1.851,1.876,8,0x17,1,-1.000,0.064,0.391,0.000,0.009,-1.000,0x1fff
10/18/2024 10:13:12 PM,208,2,128,1729311192000,38.900,13.500,4.125,7.806,0.006,-0.232,-0.973,-0.002,0.002,-0.014,2.674,0,0,14,17,1.914,1.852,1.877,8,0x17,1,-1.000,0.063,0.391,0.000,0.009,-1.000,0x1fff
10/18/2024 10:23:12 PM,208,2,128,1729311792000,39.500,13.492,3.750,7.423,0.007,-0.232,-0.973,-0.003,0.002,-0.014,2.674,0,0,14,16,1.913,1.851,1.877,8,0x17,0,-1.000,0.063,0.391,0.000,0.009,-1.000,0x1fff
10/18/2024 10:33:12 PM,208,2,128,1729312392000,39.200,13.484,4.188,8.046,0.006,-0.232,-0.973,-0.002,0.001,-0.014,2.674,0,0,13,16,1.911,1.848,1.873,8,0x17,1,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 10:43:12 PM,208,2,128,1729312992000,36.500,13.476,4.500,8.381,0.006,-0.232,-0.973,-0.002,0.001,-0.013,2.673,0,0,14,17,1.910,1.847,1.872,8,0x17,1,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 10:53:12 PM,208,2,128,1729313592000,35.700,13.460,4.375,8.285,0.007,-0.232,-0.973,-0.003,0.002,-0.014,2.673,0,0,14,17,1.910,1.847,1.872,8,0x17,1,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 11:03:12 PM,208,2,128,1729314192000,38.300,13.452,4.375,8.190,0.006,-0.232,-0.973,-0.002,0.001,-0.013,2.673,0,0,14,17,1.910,1.847,1.872,8,0x17,1,-1.000,0.068,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 11:13:12 PM,208,2,128,1729314792000,36.100,13.444,3.875,7.662,0.006,-0.232,-0.973,-0.002,0.001,-0.013,2.673,0,0,14,17,1.913,1.851,1.877,8,0x17,0,-1.000,0.063,0.391,0.000,0.009,-1.000,0x1fff
10/18/2024 11:23:12 PM,208,2,128,1729315392000,39.000,13.436,3.750,7.615,0.006,-0.232,-0.973,-0.002,0.001,-0.013,2.673,0,0,14,16,1.911,1.848,1.874,8,0x17,0,-1.000,0.066,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 11:33:12 PM,208,2,128,1729315992000,37.100,13.424,3.188,6.992,0.006,-0.232,-0.973,-0.002,0.001,-0.014,2.673,0,0,13,16,1.910,1.847,1.873,8,0x17,0,-1.000,0.067,0.391,0.000,0.010,-1.000,0x1fff
10/18/2024 11:43:12 PM,208,2,128,1729316592000,36.500,13.416,2.813,6.464,0.007,-0.232,-0.973,-0.002,0.001,-0.014,2.673,0,0,13,16,1.911,1.848,1.875,8,0x17,0,-1.000,0.065,0.391,0.000,0.009,-1.000,0x1fff
