DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
12/25/2023 2:43:12 PM,208,2,128,1703540592000,43.600,12.456,9.125,12.742,0.005,-0.985,-0.171,0.005,-0.011,0.008,0.343,0,0,18,22,1.981,1.922,1.943,10,0x17,6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 2:53:12 PM,208,2,128,1703541192000,42.600,12.460,9.313,12.742,0.005,-0.986,-0.168,0.005,-0.011,0.008,0.337,0,0,19,22,1.980,1.921,1.942,10,0x17,6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:03:12 PM,208,2,128,1703541792000,41.200,12.456,9.250,12.742,0.005,-0.986,-0.165,0.005,-0.012,0.008,0.331,0,0,19,22,1.981,1.922,1.943,10,0x17,6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:13:12 PM,208,2,128,1703542392000,39.900,12.460,9.375,13.126,0.005,-0.987,-0.162,0.005,-0.011,0.008,0.325,0,0,19,22,1.980,1.921,1.941,10,0x17,6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:23:12 PM,208,2,128,1703542992000,42.800,12.464,9.125,12.694,0.005,-0.987,-0.160,0.005,-0.011,0.008,0.322,0,0,19,22,1.981,1.922,1.943,10,0x17,6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:33:12 PM,208,2,128,1703543592000,41.300,13.068,8.688,12.167,0.005,-0.987,-0.160,0.005,-0.011,0.008,0.321,0,0,19,21,1.980,1.921,1.942,10,0x17,5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:43:12 PM,208,2,128,1703544192000,40.700,13.072,8.500,11.880,0.005,-0.987,-0.160,0.005,-0.011,0.008,0.321,0,0,18,21,1.981,1.922,1.943,10,0x17,5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 3:53:12 PM,208,2,128,1703544792000,36.000,13.076,8.125,11.688,0.004,-0.987,-0.160,0.005,-0.010,0.008,0.322,0,0,18,20,1.981,1.922,1.944,10,0x17,5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:03:12 PM,208,2,128,1703545392000,37.200,13.076,7.875,11.305,0.005,-0.987,-0.160,0.005,-0.010,0.008,0.322,0,0,17,20,1.980,1.921,1.943,10,0x17,4,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:13:12 PM,208,2,128,1703545992000,35.200,13.080,7.563,10.969,0.005,-0.987,-0.160,0.005,-0.011,0.008,0.322,0,0,17,20,1.980,1.921,1.943,9,0x17,4,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:23:12 PM,208,2,128,1703546592000,40.300,13.080,6.813,10.394,0.004,-0.987,-0.160,0.005,-0.010,0.009,0.322,0,0,17,19,1.980,1.921,1.944,9,0x17,3,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:33:12 PM,208,2,128,1703547192000,41.000,13.080,6.000,9.436,0.004,-0.987,-0.160,0.005,-0.010,0.008,0.322,0,0,16,18,1.980,1.921,1.945,9,0x17,2,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:43:12 PM,208,2,128,1703547792000,37.200,13.080,4.938,8.669,0.004,-0.987,-0.160,0.004,-0.010,0.007,0.322,0,0,15,17,1.980,1.921,1.946,9,0x17,1,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 4:53:12 PM,208,2,128,1703548392000,37.700,13.076,3.938,7.615,0.005,-0.987,-0.160,0.005,-0.011,0.008,0.322,0,0,15,17,1.981,1.922,1.948,9,0x17,0,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:03:12 PM,208,2,128,1703548992000,40.200,13.076,2.688,6.369,0.004,-0.987,-0.161,0.004,-0.010,0.007,0.322,0,0,14,15,1.980,1.921,1.948,9,0x17,0,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:13:12 PM,208,2,128,1703549592000,40.300,13.072,1.563,5.410,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.323,0,0,13,14,1.980,1.921,1.949,9,0x17,-1,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:23:12 PM,208,2,128,1703550192000,36.200,13.072,0.688,4.595,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.323,0,0,12,13,1.980,1.921,1.950,9,0x17,-2,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:33:12 PM,208,2,128,1703550792000,38.500,13.072,0.000,3.781,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.323,0,0,11,12,1.977,1.918,1.947,10,0x17,-2,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:43:12 PM,208,2,128,1703551392000,40.100,13.072,-0.625,3.397,0.004,-0.987,-0.161,0.005,-0.010,0.008,0.323,0,0,10,12,1.980,1.921,1.951,9,0x17,-3,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 5:53:12 PM,208,2,128,1703551992000,37.300,13.072,-1.250,2.487,0.004,-0.987,-0.161,0.004,-0.010,0.007,0.323,0,0,9,11,1.979,1.920,1.950,9,0x17,-3,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:03:12 PM,208,2,128,1703552592000,38.700,13.072,-1.688,1.960,0.004,-0.987,-0.161,0.004,-0.010,0.007,0.323,0,0,9,11,1.980,1.921,1.952,9,0x17,-4,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:13:12 PM,208,2,128,1703553192000,35.300,13.072,-2.125,1.960,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.323,0,0,8,10,1.980,1.921,1.952,9,0x17,-4,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:23:12 PM,208,2,128,1703553792000,40.100,13.072,-2.438,1.433,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.324,0,0,8,10,1.980,1.921,1.953,10,0x17,-5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:33:12 PM,208,2,128,1703554392000,39.100,13.068,-2.688,1.001,0.004,-0.987,-0.161,0.004,-0.008,0.007,0.324,0,0,8,10,1.980,1.921,1.953,9,0x17,-5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:43:12 PM,208,2,128,1703554992000,40.700,13.068,-2.813,0.905,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.324,0,0,7,10,1.980,1.921,1.953,9,0x17,-5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 6:53:12 PM,208,2,128,1703555592000,40.200,13.072,-3.063,0.762,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.324,0,0,7,9,1.980,1.921,1.953,9,0x17,-5,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:03:12 PM,208,2,128,1703556192000,40.500,13.068,-3.188,0.666,0.004,-0.987,-0.161,0.004,-0.009,0.007,0.324,0,0,7,9,1.980,1.921,1.953,9,0x17,-6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:13:12 PM,208,2,128,1703556792000,39.900,13.068,-3.500,0.282,0.004,-0.987,-0.161,0.004,-0.009,0.006,0.324,0,0,7,9,1.980,1.921,1.954,9,0x17,-6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:23:12 PM,208,2,128,1703557392000,40.500,13.068,-3.875,-0.101,0.004,-0.987,-0.161,0.004,-0.010,0.007,0.324,0,0,7,8,1.979,1.920,1.953,9,0x17,-6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:33:12 PM,208,2,128,1703557992000,40.100,13.072,-4.188,-0.580,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.324,0,0,6,8,1.980,1.921,1.954,9,0x17,-6,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:43:12 PM,208,2,128,1703558592000,42.500,12.464,-4.563,-0.628,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.325,0,0,6,8,1.980,1.921,1.955,9,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 7:53:12 PM,208,2,128,1703559192000,40.200,12.460,-4.813,-0.964,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.325,0,0,6,7,1.977,1.918,1.952,9,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:03:12 PM,208,2,128,1703559792000,41.500,12.464,-5.375,-1.299,0.004,-0.987,-0.162,0.004,-0.009,0.008,0.325,0,0,5,7,1.979,1.920,1.954,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:13:12 PM,208,2,128,1703560392000,35.700,12.464,-5.875,-2.018,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.325,0,0,5,6,1.979,1.920,1.955,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:23:12 PM,208,2,128,1703560992000,42.800,12.464,-6.125,-2.353,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.325,0,0,4,6,1.980,1.921,1.956,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:33:12 PM,208,2,128,1703561592000,41.500,12.464,-5.688,-1.970,0.004,-0.987,-0.162,0.005,-0.009,0.008,0.325,0,0,4,6,1.980,1.921,1.956,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:43:12 PM,208,2,128,1703562192000,41.300,12.464,-5.438,-1.539,0.004,-0.987,-0.162,0.004,-0.010,0.007,0.325,0,0,4,7,1.980,1.921,1.955,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 8:53:12 PM,208,2,128,1703562792000,41.800,12.460,-5.188,-1.443,0.004,-0.987,-0.162,0.004,-0.010,0.007,0.326,0,0,5,7,1.980,1.921,1.955,9,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:03:12 PM,208,2,128,1703563392000,39.000,12.460,-4.938,-0.964,0.004,-0.987,-0.162,0.004,-0.008,0.007,0.326,0,0,5,7,1.980,1.921,1.955,10,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:13:12 PM,208,2,128,1703563992000,41.800,12.460,-4.750,-0.916,0.004,-0.987,-0.162,0.004,-0.008,0.007,0.326,0,0,5,7,1.980,1.921,1.955,9,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:23:12 PM,208,2,128,1703564592000,42.300,12.456,-4.938,-1.155,0.004,-0.987,-0.162,0.004,-0.008,0.006,0.326,0,0,5,7,1.980,1.921,1.955,9,0x17,-7,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:33:12 PM,208,2,128,1703565192000,42.300,12.456,-5.375,-1.635,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.326,0,0,5,7,1.979,1.920,1.954,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:43:12 PM,208,2,128,1703565792000,42.000,12.456,-5.625,-1.635,0.004,-0.987,-0.162,0.004,-0.009,0.007,0.326,0,0,5,6,1.976,1.917,1.952,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 9:53:12 PM,208,2,128,1703566392000,36.200,12.456,-6.188,-2.210,0.004,-0.987,-0.162,0.004,-0.008,0.007,0.326,0,0,5,6,1.980,1.921,1.956,9,0x17,-8,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:03:12 PM,208,2,128,1703566992000,41.800,12.460,-6.750,-3.264,0.003,-0.987,-0.162,0.004,-0.008,0.007,0.326,0,0,4,5,1.974,1.915,1.951,10,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:13:12 PM,208,2,128,1703567592000,41.200,12.452,-7.125,-3.264,0.004,-0.987,-0.163,0.004,-0.009,0.008,0.327,0,0,4,5,1.980,1.921,1.957,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:23:12 PM,208,2,128,1703568192000,38.100,12.456,-7.250,-3.599,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.327,0,0,3,5,1.980,1.921,1.957,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:33:12 PM,208,2,128,1703568792000,42.100,12.452,-7.125,-3.264,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.327,0,0,3,5,1.977,1.918,1.954,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:43:12 PM,208,2,128,1703569392000,41.700,12.456,-6.938,-3.264,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.327,0,0,3,5,1.980,1.921,1.957,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 10:53:12 PM,208,2,128,1703569992000,41.700,12.456,-7.438,-3.983,0.004,-0.987,-0.163,0.004,-0.009,0.008,0.327,0,0,3,4,1.980,1.921,1.957,8,0x17,-10,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 11:03:12 PM,208,2,128,1703570592000,41.800,12.452,-7.313,-3.743,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.327,0,0,3,4,1.979,1.920,1.956,8,0x17,-10,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 11:13:12 PM,208,2,128,1703571192000,42.000,12.452,-7.063,-3.599,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.327,0,0,3,5,1.979,1.920,1.956,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 11:23:12 PM,208,2,128,1703571792000,42.200,12.456,-7.250,-3.599,0.004,-0.987,-0.163,0.005,-0.009,0.008,0.328,0,0,3,4,1.977,1.918,1.954,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 11:33:12 PM,208,2,128,1703572392000,36.300,12.452,-6.938,-3.312,0.004,-0.987,-0.163,0.005,-0.009,0.008,0.328,0,0,3,5,1.977,1.918,1.954,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
12/25/2023 11:43:12 PM,208,2,128,1703572992000,40.600,12.448,-6.688,-3.120,0.004,-0.987,-0.163,0.004,-0.009,0.007,0.328,0,0,3,5,1.979,1.920,1.956,8,0x17,-9,-1.000,0.000,9.694,0.000,0.000,-1.000,0x1fff
