DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/4/2025 4:05:34 PM,208,2,128,1738710334000,42.500,13.264,9.375,12.742,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,19,18,0.923,0.855,0.875,6,0x17,9,-1.000,0.924,1.271,0.000,0.290,-1.000,0x1fff
2/4/2025 4:15:34 PM,208,2,128,1738710934000,44.300,13.264,9.125,12.551,0.004,0.843,0.538,0.015,0.023,-0.020,1.137,0,0,19,17,0.926,0.858,0.879,6,0x17,9,-1.000,0.920,1.271,0.000,0.289,-1.000,0x1fff
2/4/2025 4:25:34 PM,208,2,128,1738711534000,44.800,13.260,9.188,12.551,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,19,17,0.927,0.859,0.880,6,0x17,9,-1.000,0.919,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 4:35:34 PM,208,2,128,1738712134000,44.700,13.268,9.563,13.030,0.004,0.843,0.538,0.015,0.022,-0.020,1.137,0,0,19,18,0.929,0.861,0.881,6,0x17,9,-1.000,0.918,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 4:45:34 PM,208,2,128,1738712734000,44.800,13.260,9.563,12.886,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,19,18,0.929,0.861,0.881,6,0x17,9,-1.000,0.918,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 4:55:34 PM,208,2,128,1738713334000,41.000,13.256,9.750,13.126,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,19,18,0.930,0.862,0.882,6,0x17,9,-1.000,0.917,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 5:05:34 PM,208,2,128,1738713934000,40.200,13.256,9.438,12.886,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,19,18,0.930,0.862,0.882,6,0x17,9,-1.000,0.917,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 5:15:34 PM,208,2,128,1738714534000,42.100,13.252,9.250,12.551,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,19,18,0.930,0.862,0.883,6,0x17,9,-1.000,0.916,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 5:25:34 PM,208,2,128,1738715134000,42.500,13.252,9.375,12.599,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,19,18,0.931,0.863,0.883,6,0x17,9,-1.000,0.916,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 5:35:34 PM,208,2,128,1738715734000,44.100,13.248,9.125,12.551,0.004,0.843,0.538,0.015,0.022,-0.020,1.137,0,0,19,18,0.930,0.862,0.883,6,0x17,9,-1.000,0.916,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 5:45:34 PM,208,2,128,1738716334000,42.700,13.248,9.188,12.551,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,18,18,0.933,0.865,0.886,6,0x17,9,-1.000,0.913,1.271,0.000,0.287,-1.000,0x1fff
2/4/2025 5:55:34 PM,208,2,128,1738716934000,42.300,13.240,9.188,12.503,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,19,17,0.930,0.862,0.883,6,0x17,9,-1.000,0.916,1.271,0.000,0.288,-1.000,0x1fff
2/4/2025 6:05:34 PM,208,2,128,1738717534000,44.400,13.240,9.938,13.126,0.004,0.843,0.538,0.015,0.022,-0.020,1.137,0,0,19,19,0.933,0.865,0.885,6,0x17,10,-1.000,0.914,1.271,0.000,0.287,-1.000,0x1fff
2/4/2025 6:15:34 PM,208,2,128,1738718134000,43.800,13.244,10.313,13.653,0.004,0.843,0.538,0.014,0.021,-0.020,1.137,0,0,19,19,0.939,0.871,0.891,6,0x17,10,-1.000,0.908,1.271,0.000,0.285,-1.000,0x1fff
2/4/2025 6:25:34 PM,208,2,128,1738718734000,45.200,13.240,10.563,13.845,0.004,0.843,0.538,0.014,0.022,-0.020,1.137,0,0,20,19,0.936,0.868,0.887,6,0x17,10,-1.000,0.912,1.271,0.000,0.287,-1.000,0x1fff
2/4/2025 6:35:34 PM,208,2,128,1738719334000,41.600,13.236,9.750,13.078,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,20,18,0.933,0.865,0.885,6,0x17,9,-1.000,0.914,1.271,0.000,0.287,-1.000,0x1fff
2/4/2025 6:45:34 PM,208,2,128,1738719934000,45.000,13.236,9.125,12.551,0.004,0.843,0.538,0.015,0.023,-0.020,1.137,0,0,19,18,0.934,0.866,0.887,6,0x17,9,-1.000,0.912,1.271,0.000,0.287,-1.000,0x1fff
2/4/2025 6:55:34 PM,208,2,128,1738720534000,44.800,13.240,8.875,12.503,0.004,0.843,0.538,0.015,0.023,-0.021,1.137,0,0,18,17,0.937,0.869,0.890,6,0x17,8,-1.000,0.909,1.271,0.000,0.286,-1.000,0x1fff
