DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
Wed Mar 15 23:44:20 2023,2,1678945460000,36.600,13.316,-1.000,2.391,0.068,-0.055,-1.366,0,0,7,0.832,6,-1.000,0.963,4.048,0.000,0x1fff
Wed Mar 15 23:54:20 2023,2,1678946060000,40.600,13.312,-1.000,2.151,0.067,-0.055,-1.366,0,0,7,0.832,6,-1.000,0.963,4.048,0.000,0x1fff
Thu Mar 16 00:04:20 2023,2,1678946660000,40.800,13.316,-1.500,1.816,0.068,-0.055,-1.366,0,0,7,0.833,6,-1.000,0.962,4.048,0.000,0x1fff
Thu Mar 16 00:14:20 2023,2,1678947260000,40.000,13.312,-1.813,1.624,0.068,-0.055,-1.367,0,0,6,0.833,6,-1.000,0.962,4.048,0.000,0x1fff
Thu Mar 16 00:24:20 2023,2,1678947860000,40.000,13.312,-1.750,1.720,0.068,-0.055,-1.367,0,0,7,0.833,6,-1.000,0.962,4.048,0.000,0x1fff
Thu Mar 16 00:34:20 2023,2,1678948460000,39.800,13.312,-1.375,1.960,0.068,-0.055,-1.367,0,0,7,0.835,6,-1.000,0.960,4.048,0.000,0x1fff
Thu Mar 16 00:44:20 2023,2,1678949060000,40.200,13.312,-1.813,1.433,0.068,-0.056,-1.367,0,0,7,0.832,6,-1.000,0.963,4.048,0.000,0x1fff
Thu Mar 16 00:54:20 2023,2,1678949660000,39.100,13.308,-1.688,1.864,0.068,-0.055,-1.368,0,0,7,0.835,6,-1.000,0.960,4.048,0.000,0x1fff
Thu Mar 16 01:04:20 2023,2,1678950260000,40.000,13.312,-1.375,2.008,0.068,-0.056,-1.368,0,0,7,0.835,6,-1.000,0.960,4.048,0.000,0x1fff
Thu Mar 16 01:14:20 2023,2,1678950860000,40.000,13.304,-2.063,1.337,0.067,-0.055,-1.368,0,0,7,0.832,6,-1.000,0.963,4.048,0.000,0x1fff
Thu Mar 16 01:24:20 2023,2,1678951460000,39.400,13.304,-2.938,0.474,0.069,-0.056,-1.368,0,0,5,0.833,6,-1.000,0.962,4.048,0.000,0x1fff
Thu Mar 16 01:34:20 2023,2,1678952060000,39.600,13.304,-3.438,-0.053,0.068,-0.055,-1.368,0,0,5,0.825,6,-1.000,0.970,4.048,0.000,0x1fff
Thu Mar 16 01:44:20 2023,2,1678952660000,40.000,13.304,-2.688,0.570,0.068,-0.055,-1.369,0,0,6,0.832,6,-1.000,0.963,4.048,0.000,0x1fff
Thu Mar 16 01:54:20 2023,2,1678953260000,39.200,13.304,-2.750,0.426,0.068,-0.056,-1.369,0,0,6,0.833,6,-1.000,0.962,4.048,0.000,0x1fff
Thu Mar 16 02:04:20 2023,2,1678953860000,39.700,13.308,-3.375,-0.053,0.069,-0.056,-1.369,0,0,5,0.830,6,-1.000,0.965,4.048,0.000,0x1fff
Thu Mar 16 02:14:20 2023,2,1678954460000,40.200,13.308,-3.313,0.043,0.069,-0.056,-1.369,0,0,5,0.830,6,-1.000,0.965,4.048,0.000,0x1fff
Thu Mar 16 02:24:20 2023,2,1678955060000,40.500,13.304,-3.563,-0.245,0.069,-0.056,-1.370,0,0,5,0.828,6,-1.000,0.967,4.048,0.000,0x1fff
Thu Mar 16 02:34:20 2023,2,1678955660000,38.800,13.304,-3.438,-0.053,0.069,-0.056,-1.370,0,0,5,0.827,6,-1.000,0.968,4.048,0.000,0x1fff
Thu Mar 16 02:44:20 2023,2,1678956260000,39.100,13.304,-3.875,-0.580,0.069,-0.056,-1.370,0,0,5,0.830,6,-1.000,0.965,4.048,0.000,0x1fff
Thu Mar 16 02:54:20 2023,2,1678956860000,39.800,13.304,-4.188,-0.916,0.069,-0.056,-1.370,0,0,4,0.827,6,-1.000,0.968,4.048,0.000,0x1fff
Thu Mar 16 03:04:20 2023,2,1678957460000,38.100,13.304,-4.813,-1.299,0.069,-0.056,-1.370,0,0,3,0.825,6,-1.000,0.970,4.048,0.000,0x1fff
Thu Mar 16 03:14:20 2023,2,1678958060000,38.500,13.304,-4.563,-1.203,0.069,-0.056,-1.371,0,0,4,0.825,6,-1.000,0.970,4.048,0.000,0x1fff
Thu Mar 16 03:24:20 2023,2,1678958660000,38.800,13.300,-4.625,-1.443,0.069,-0.057,-1.371,0,0,4,0.825,6,-1.000,0.970,4.048,0.000,0x1fff
Thu Mar 16 03:34:20 2023,2,1678959260000,39.600,13.296,-4.875,-1.443,0.069,-0.055,-1.371,0,0,3,0.825,6,-1.000,0.970,4.048,0.000,0x1fff
Thu Mar 16 03:44:20 2023,2,1678959860000,39.800,13.300,-4.813,-1.443,0.069,-0.056,-1.371,0,0,3,0.826,6,-1.000,0.969,4.048,0.000,0x1fff
Thu Mar 16 03:54:20 2023,2,1678960460000,40.400,13.300,-5.000,-1.635,0.070,-0.056,-1.372,0,0,3,0.823,6,-1.000,0.972,4.048,0.000,0x1fff
Thu Mar 16 04:04:20 2023,2,1678961060000,38.500,13.296,-5.313,-1.730,0.069,-0.056,-1.372,0,0,3,0.823,6,-1.000,0.972,4.048,0.000,0x1fff
Thu Mar 16 04:14:20 2023,2,1678961660000,40.000,13.300,-5.375,-2.018,0.069,-0.056,-1.372,0,0,3,0.820,6,-1.000,0.975,4.048,0.021,0x1fff
Thu Mar 16 04:24:20 2023,2,1678962260000,36.700,13.300,-5.250,-2.018,0.069,-0.056,-1.372,0,0,3,0.823,6,-1.000,0.972,4.048,0.021,0x1fff
Thu Mar 16 04:34:20 2023,2,1678962860000,39.900,13.296,-5.563,-2.210,0.069,-0.056,-1.372,0,0,2,0.821,6,-1.000,0.974,4.048,0.021,0x1fff
Thu Mar 16 04:44:20 2023,2,1678963460000,39.900,13.300,-6.063,-2.689,0.070,-0.057,-1.373,0,0,2,0.817,6,-1.000,0.978,4.048,0.024,0x1fff
Thu Mar 16 04:54:20 2023,2,1678964060000,40.200,13.292,-6.313,-3.024,0.069,-0.056,-1.373,0,0,1,0.817,6,-1.000,0.978,4.048,0.024,0x1fff
Thu Mar 16 05:04:20 2023,2,1678964660000,35.300,13.296,-6.500,-3.216,0.070,-0.055,-1.373,0,0,1,0.818,6,-1.000,0.977,4.048,0.024,0x1fff
Thu Mar 16 05:14:20 2023,2,1678965260000,37.100,13.296,-6.813,-3.120,0.070,-0.056,-1.373,0,0,1,0.818,6,-1.000,0.977,4.048,0.024,0x1fff
Thu Mar 16 05:24:20 2023,2,1678965860000,39.500,13.296,-7.125,-3.647,0.071,-0.056,-1.373,0,0,1,0.818,6,-1.000,0.977,4.048,0.024,0x1fff
Thu Mar 16 05:34:20 2023,2,1678966460000,39.800,13.296,-7.438,-4.127,0.070,-0.056,-1.374,0,0,0,0.815,6,-1.000,0.980,4.048,0.026,0x1fff
Thu Mar 16 05:44:20 2023,2,1678967060000,40.200,13.296,-7.375,-4.318,0.070,-0.055,-1.374,0,0,0,0.817,6,-1.000,0.978,4.048,0.026,0x1fff
Thu Mar 16 05:54:20 2023,2,1678967660000,40.100,13.292,-7.313,-3.983,0.070,-0.056,-1.374,0,0,0,0.818,6,-1.000,0.977,4.048,0.026,0x1fff
Thu Mar 16 06:04:20 2023,2,1678968260000,37.400,13.292,-7.563,-4.318,0.070,-0.055,-1.374,0,0,0,0.815,6,-1.000,0.980,4.048,0.026,0x1fff
Thu Mar 16 06:14:20 2023,2,1678968860000,39.700,13.292,-7.625,-4.366,0.070,-0.055,-1.374,0,0,0,0.817,6,-1.000,0.978,4.048,0.026,0x1ffe
Thu Mar 16 06:24:20 2023,2,1678969460000,40.200,13.292,-7.688,-4.462,0.071,-0.056,-1.375,0,0,0,0.818,6,-1.000,0.977,4.048,0.026,0x1fff
Thu Mar 16 06:34:20 2023,2,1678970060000,39.000,13.292,-7.813,-4.366,0.070,-0.055,-1.375,0,0,0,0.818,6,-1.000,0.977,4.048,0.026,0x1fff
