DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
1/25/2024 4:02:48 PM,208,2,128,1706223768000,39.800,13.192,8.688,12.023,0.005,-0.859,-0.512,0.021,-0.030,0.030,1.075,0,0,20,17,1.271,1.224,1.245,6,0x17,6,-1.000,0.521,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 4:12:48 PM,208,2,128,1706224368000,42.000,13.208,8.250,11.209,0.005,-0.859,-0.512,0.021,-0.030,0.030,1.075,0,0,19,17,1.270,1.223,1.245,6,0x17,6,-1.000,0.521,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 4:22:48 PM,208,2,128,1706224968000,40.700,13.204,8.000,11.017,0.005,-0.859,-0.512,0.020,-0.030,0.030,1.075,0,0,18,17,1.270,1.223,1.245,6,0x17,5,-1.000,0.521,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 4:32:48 PM,208,2,128,1706225568000,41.800,13.204,7.875,11.017,0.005,-0.859,-0.512,0.020,-0.030,0.030,1.075,0,0,18,17,1.271,1.224,1.246,6,0x17,5,-1.000,0.520,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 4:42:48 PM,208,2,128,1706226168000,37.200,13.196,7.438,10.586,0.005,-0.859,-0.512,0.020,-0.029,0.029,1.075,0,0,18,16,1.271,1.224,1.246,7,0x17,5,-1.000,0.520,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 4:52:48 PM,208,2,128,1706226768000,38.100,13.192,6.938,9.963,0.005,-0.859,-0.512,0.020,-0.029,0.030,1.075,0,0,17,15,1.270,1.223,1.246,6,0x17,4,-1.000,0.520,15.282,0.070,0.149,-1.000,0x1fff
1/25/2024 5:02:48 PM,208,2,128,1706227368000,41.100,13.188,6.500,9.531,0.005,-0.859,-0.512,0.020,-0.028,0.029,1.075,0,0,17,15,1.270,1.223,1.246,6,0x17,4,-1.000,0.520,15.352,0.000,0.149,-1.000,0x1fff
1/25/2024 5:12:48 PM,208,2,128,1706227968000,41.000,13.176,5.688,9.052,0.005,-0.859,-0.512,0.020,-0.028,0.029,1.075,0,0,16,14,1.270,1.223,1.247,6,0x17,3,-1.000,0.519,15.352,0.000,0.149,-1.000,0x1fff
1/25/2024 5:22:48 PM,208,2,128,1706228568000,37.100,13.172,5.000,8.046,0.005,-0.859,-0.512,0.019,-0.028,0.029,1.075,0,0,15,14,1.261,1.214,1.239,7,0x17,2,-1.000,0.527,15.352,0.000,0.151,-1.000,0x1fff
1/25/2024 5:32:48 PM,208,2,128,1706229168000,41.000,13.164,4.625,8.142,0.005,-0.859,-0.512,0.020,-0.028,0.029,1.075,0,0,15,13,1.260,1.213,1.238,6,0x17,2,-1.000,0.528,15.352,0.000,0.152,-1.000,0x1fff
1/25/2024 5:42:48 PM,208,2,128,1706229768000,41.100,13.168,4.313,7.423,0.005,-0.859,-0.512,0.020,-0.029,0.028,1.075,0,0,14,13,1.260,1.213,1.238,7,0x17,2,-1.000,0.528,15.352,0.000,0.152,-1.000,0x1fff
1/25/2024 5:52:48 PM,208,2,128,1706230368000,35.800,13.160,4.125,7.135,0.005,-0.859,-0.512,0.020,-0.028,0.029,1.075,0,0,14,13,1.260,1.213,1.238,6,0x17,1,-1.000,0.528,15.352,0.000,0.152,-1.000,0x1fff
1/25/2024 6:02:48 PM,208,2,128,1706230968000,39.500,13.152,3.875,7.279,0.005,-0.859,-0.512,0.019,-0.028,0.029,1.075,0,0,14,13,1.260,1.213,1.239,6,0x17,1,-1.000,0.527,15.352,0.000,0.151,-1.000,0x1fff
1/25/2024 6:12:48 PM,208,2,128,1706231568000,40.000,13.148,3.688,6.896,0.005,-0.859,-0.512,0.019,-0.028,0.029,1.075,0,0,14,12,1.260,1.213,1.239,6,0x17,1,-1.000,0.527,15.352,0.000,0.151,-1.000,0x1fff
1/25/2024 6:22:48 PM,208,2,128,1706232168000,41.400,13.148,3.750,6.896,0.005,-0.859,-0.512,0.019,-0.028,0.028,1.075,0,0,13,12,1.259,1.212,1.238,6,0x17,1,-1.000,0.528,15.352,0.000,0.152,-1.000,0x1fff
1/25/2024 6:32:48 PM,208,2,128,1706232768000,36.200,13.144,3.750,6.944,0.005,-0.859,-0.512,0.020,-0.028,0.029,1.075,0,0,13,12,1.260,1.213,1.239,6,0x17,1,-1.000,0.527,15.352,0.000,0.151,-1.000,0x1fff
1/25/2024 6:42:48 PM,208,2,128,1706233368000,41.400,13.140,3.688,6.752,0.005,-0.859,-0.512,0.019,-0.028,0.028,1.075,0,0,13,12,1.260,1.213,1.239,6,0x17,1,-1.000,0.527,15.352,0.000,0.151,-1.000,0x1fff
1/25/2024 6:52:48 PM,208,2,128,1706233968000,37.200,13.136,3.250,6.464,0.004,-0.859,-0.512,0.019,-0.027,0.028,1.075,0,0,13,12,1.259,1.212,1.238,6,0x17,0,-1.000,0.528,15.352,0.000,0.152,-1.000,0x1fff
1/25/2024 7:02:48 PM,208,2,128,1706234568000,37.700,13.136,3.125,6.273,0.005,-0.859,-0.512,0.019,-0.028,0.028,1.075,0,0,13,12,1.256,1.208,1.234,6,0x17,0,-1.000,0.532,15.352,0.000,0.153,-1.000,0x1fff
1/25/2024 7:12:48 PM,208,2,128,1706235168000,40.700,13.136,3.063,6.225,0.005,-0.859,-0.512,0.019,-0.027,0.028,1.075,0,0,13,12,1.250,1.201,1.227,6,0x17,0,-1.000,0.539,15.352,0.019,0.155,-1.000,0x1fff
