DATE,SNODAR_DISTANCE,SNODAR_SEASONAL_SNOW_DEPTH,ID,VER,POWER_CURRENT,POWER_VOLTAGE,IMU_TEMP,TMP_TEMP,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,IMU_R,IMU_P,IMU_Y,HEATER_ENABLED
11/30/2024 11:26:47 PM,NaN,1.113,-1,2,45.8,11.948,32.582,29.438,NaN,37,-1.568,0.021,-0.021,0
11/30/2024 11:36:43 PM,NaN,1.118,-1,2,48,11.944,34.643,31.25,NaN,39,-1.571,0.021,-0.021,0
11/30/2024 11:46:43 PM,NaN,1.182,-1,2,49.4,11.944,35.554,31.875,NaN,40,-1.572,0.021,-0.02,0
11/30/2024 11:56:43 PM,NaN,1.231,-1,2,49.9,11.944,36.081,32.125,NaN,40,-1.573,0.021,-0.02,0
12/09/2024 09:32:26 PM,1.7,0.016,208,2,39.4,13.68,12.215,8.688,17,16,0.014,-0.01,-0.986,0
12/09/2024 09:42:26 PM,1.71,0.007,208,2,41.5,13.756,13.413,9.625,18,17,0.013,-0.009,-0.991,0
12/09/2024 09:52:26 PM,1.71,0.007,208,2,41.1,14.02,13.222,9.625,19,17,0.014,-0.009,-0.991,0
12/09/2024 10:02:26 PM,1.709,0.007,208,2,41,13.952,12.742,9.125,18,17,0.014,-0.009,-0.994,0
12/09/2024 10:12:26 PM,1.707,0.009,208,2,38.2,14.052,12.407,8.688,18,16,0.013,-0.009,-0.998,0
12/09/2024 10:22:26 PM,1.709,0.007,208,2,36.9,13.96,11.832,8.313,18,16,0.014,-0.009,-0.993,0
12/09/2024 10:32:26 PM,1.709,0.006,208,2,39.3,13.96,11.305,7.875,17,16,0.014,-0.009,-0.99,0
12/09/2024 10:42:26 PM,1.709,0.006,208,2,41.5,13.952,10.825,7.5,17,15,0.014,-0.01,-0.991,0
12/09/2024 10:52:26 PM,1.704,0.011,208,2,39.9,14.032,10.969,7.375,16,15,0.014,-0.01,-0.99,0
12/09/2024 11:02:26 PM,1.71,0.004,208,2,34.5,13.976,10.777,7.063,16,15,0.014,-0.009,-0.989,0
12/09/2024 11:12:26 PM,1.707,0.007,208,2,39.5,13.968,10.298,6.75,16,15,0.014,-0.01,-0.989,0
12/09/2024 11:22:26 PM,1.709,0.005,208,2,41.5,14.004,10.059,6.375,16,14,0.014,-0.01,-0.99,0
12/09/2024 11:32:26 PM,1.709,0.004,208,2,41,13.976,9.579,5.875,15,13,0.015,-0.011,-0.99,0
12/09/2024 11:42:26 PM,1.706,0.007,208,2,34.8,13.98,8.861,5.313,15,13,0.014,-0.009,-0.99,0
12/09/2024 11:52:26 PM,1.701,0.011,208,2,41.4,13.94,7.998,4.313,14,12,0.013,-0.009,-0.99,0
12/10/2024 12:02:26 AM,1.701,0.01,208,2,38,13.916,6.944,3.438,13,11,0.014,-0.01,-0.991,0
12/10/2024 12:12:26 AM,1.7,0.01,208,2,41.3,13.884,6.464,2.688,13,11,0.014,-0.01,-0.991,0
12/10/2024 12:22:26 AM,1.7,0.01,208,2,41.3,13.86,6.177,2.188,12,10,0.014,-0.01,-0.991,0
12/10/2024 12:32:26 AM,1.7,0.009,208,2,41,13.832,5.746,1.875,11,10,0.014,-0.01,-0.991,0
12/10/2024 12:42:26 AM,1.697,0.012,208,2,41.5,13.808,5.123,1.438,11,9,0.013,-0.009,-0.992,0
12/10/2024 12:52:26 AM,1.699,0.009,208,2,38.2,13.792,4.643,0.813,11,9,0.013,-0.01,-0.992,0
12/10/2024 01:02:26 AM,1.694,0.014,208,2,41.2,13.768,4.068,0.25,10,8,0.013,-0.01,-0.992,0
12/10/2024 01:12:26 AM,1.696,0.012,208,2,41.7,13.748,3.637,-0.063,10,8,0.014,-0.01,-0.992,0
12/10/2024 01:22:26 AM,1.691,0.016,208,2,40.9,13.728,3.445,-0.375,9,7,0.014,-0.011,-0.992,0
12/10/2024 01:32:26 AM,1.697,0.01,208,2,41.5,13.716,3.397,-0.313,9,7,0.014,-0.01,-0.992,0
12/10/2024 01:42:26 AM,1.699,0.009,208,2,37.5,13.696,3.829,0.063,9,8,0.014,-0.011,-0.993,0
12/10/2024 01:52:26 AM,1.694,0.013,208,2,42.5,13.68,3.014,-0.438,9,7,0.014,-0.011,-0.993,0
12/10/2024 02:02:26 AM,1.694,0.013,208,2,41.6,13.668,3.11,-0.625,9,7,0.014,-0.01,-0.993,0
12/10/2024 02:12:26 AM,1.694,0.013,208,2,38,13.652,3.014,-0.688,9,7,0.014,-0.011,-0.993,0
12/10/2024 02:22:26 AM,1.691,0.015,208,2,40.7,13.636,2.535,-1.313,9,6,0.013,-0.01,-0.994,0
12/10/2024 02:32:26 AM,1.69,0.016,208,2,38.5,13.624,2.008,-1.875,8,6,0.013,-0.01,-0.994,0
12/10/2024 02:42:26 AM,1.691,0.014,208,2,39.2,13.612,1.528,-2.375,7,6,0.014,-0.01,-0.994,0
12/10/2024 02:52:26 AM,1.69,0.016,208,2,39.4,13.604,1.72,-2.125,7,6,0.012,-0.01,-0.994,0
12/10/2024 03:02:26 AM,1.691,0.015,208,2,42.3,13.588,1.72,-2.063,7,6,0.013,-0.009,-0.995,0
12/10/2024 03:12:26 AM,1.691,0.014,208,2,34.6,13.58,1.337,-2.563,7,5,0.013,-0.01,-0.995,0
12/10/2024 03:22:26 AM,1.69,0.015,208,2,42.9,13.564,0.953,-2.688,7,5,0.013,-0.01,-0.995,0
12/10/2024 03:32:26 AM,1.69,0.015,208,2,36.9,13.556,1.097,-2.813,7,5,0.013,-0.01,-0.995,0
12/10/2024 03:42:26 AM,1.693,0.012,208,2,36.8,13.548,1.001,-2.75,7,5,0.013,-0.01,-0.995,0
12/10/2024 03:52:26 AM,1.689,0.015,208,2,42.3,13.536,0.953,-2.938,7,5,0.013,-0.01,-0.996,0
12/10/2024 04:02:26 AM,1.69,0.015,208,2,38.5,13.524,0.426,-3.25,6,4,0.013,-0.009,-0.996,0
12/10/2024 04:12:26 AM,1.69,0.015,208,2,39.7,13.512,0.905,-2.813,6,5,0.014,-0.01,-0.996,0
12/10/2024 04:22:26 AM,1.69,0.016,208,2,42.2,13.504,1.72,-2.125,6,6,0.014,-0.011,-0.996,0
12/10/2024 04:32:26 AM,1.691,0.015,208,2,38.9,13.496,1.528,-2.25,7,6,0.013,-0.01,-0.997,0
12/10/2024 04:42:26 AM,1.69,0.016,208,2,40.7,13.488,1.337,-2.313,7,5,0.013,-0.01,-0.997,0
12/10/2024 04:52:26 AM,1.69,0.015,208,2,42.1,13.476,1.528,-2.563,7,5,0.014,-0.011,-0.997,0
12/10/2024 05:02:26 AM,1.69,0.015,208,2,40.1,12.864,1.001,-2.688,7,5,0.013,-0.01,-0.997,0
12/10/2024 05:12:26 AM,1.69,0.015,208,2,40.6,12.86,0.762,-3.25,7,5,0.013,-0.01,-0.998,0
12/10/2024 05:22:26 AM,1.69,0.014,208,2,38.3,12.852,0.043,-3.563,6,4,0.013,-0.011,-0.998,0
12/10/2024 05:32:26 AM,1.69,0.014,208,2,42.2,12.84,0.091,-3.563,6,4,0.013,-0.01,-0.998,0
12/10/2024 05:42:26 AM,1.69,0.014,208,2,42,12.832,0.139,-3.563,6,4,0.012,-0.01,-0.998,0
12/10/2024 05:52:26 AM,1.69,0.015,208,2,44.7,12.824,0.618,-3.125,6,5,0.014,-0.011,-0.998,0
12/10/2024 06:02:26 AM,1.69,0.015,208,2,44.3,12.82,0.905,-2.813,6,5,0.013,-0.01,-0.999,0
12/10/2024 06:12:26 AM,1.691,0.014,208,2,40.3,12.812,0.618,-3.25,7,5,0.014,-0.01,-0.999,0
12/10/2024 06:22:26 AM,1.689,0.014,208,2,39.7,12.804,0.282,-3.438,6,4,0.013,-0.01,-0.999,0
12/10/2024 06:32:26 AM,1.691,0.014,208,2,44.3,12.8,0.474,-3.313,6,4,0.013,-0.011,-0.999,0
12/10/2024 06:42:26 AM,1.69,0.015,208,2,43.7,12.788,0.81,-2.875,6,5,0.013,-0.011,-1,0
12/10/2024 06:52:26 AM,1.691,0.014,208,2,44.5,12.784,0.905,-2.875,6,5,0.014,-0.011,-1,0
12/10/2024 07:02:26 AM,1.69,0.015,208,2,40.5,12.776,0.81,-2.938,6,5,0.013,-0.011,-1,0
12/10/2024 07:12:26 AM,1.69,0.015,208,2,43.5,12.772,0.762,-3.125,6,5,0.014,-0.01,-1,0
12/10/2024 07:22:26 AM,1.69,0.015,208,2,44.3,12.768,0.282,-3.313,6,4,0.013,-0.01,-1.001,0
12/10/2024 07:32:26 AM,1.69,0.015,208,2,40.9,12.76,0.953,-2.563,6,5,0.014,-0.011,-1.001,0
12/10/2024 07:42:26 AM,1.691,0.015,208,2,44.1,12.752,1.96,-1.875,7,6,0.013,-0.011,-1.001,0
12/10/2024 07:52:26 AM,1.691,0.015,208,2,42.2,12.748,2.008,-1.625,7,6,0.014,-0.011,-1.001,0
12/10/2024 08:02:26 AM,1.693,0.014,208,2,44.6,12.744,2.774,-1.188,8,7,0.014,-0.011,-1.001,0
12/10/2024 08:12:26 AM,1.69,0.017,208,2,39.5,12.736,2.678,-1,8,7,0.014,-0.012,-1.002,0
12/10/2024 08:22:26 AM,1.691,0.016,208,2,45.1,12.736,2.918,-0.875,8,7,0.014,-0.012,-1.002,0
12/10/2024 08:32:26 AM,1.697,0.01,208,2,44.9,12.728,3.062,-0.75,8,7,0.014,-0.011,-1.002,0
12/10/2024 08:42:26 AM,1.693,0.014,208,2,43.5,12.728,2.87,-0.875,9,7,0.014,-0.011,-1.002,0
12/10/2024 08:52:26 AM,1.694,0.013,208,2,44.6,12.72,2.774,-0.875,8,7,0.014,-0.011,-1.003,0
12/10/2024 09:02:26 AM,1.694,0.013,208,2,41.8,12.716,3.014,-0.75,8,7,0.014,-0.012,-1.003,0
12/10/2024 09:12:26 AM,1.693,0.014,208,2,40.5,12.712,3.014,-0.688,9,7,0.014,-0.011,-1.003,0
12/10/2024 09:22:26 AM,1.694,0.013,208,2,40.2,12.704,3.014,-0.938,9,7,0.014,-0.012,-1.003,0
12/10/2024 09:32:26 AM,1.696,0.011,208,2,41.9,12.7,2.678,-1.125,8,7,0.014,-0.011,-1.004,0
12/10/2024 09:42:26 AM,1.693,0.014,208,2,45,12.7,2.774,-0.938,8,7,0.014,-0.012,-1.004,0
12/10/2024 09:52:26 AM,1.694,0.013,208,2,43.9,12.696,3.062,-0.75,8,7,0.014,-0.01,-1.004,0
12/10/2024 10:02:26 AM,1.694,0.013,208,2,44.8,12.692,3.062,-0.813,9,7,0.014,-0.011,-1.004,0
12/10/2024 10:12:26 AM,1.691,0.016,208,2,42.5,12.692,2.87,-0.938,8,7,0.014,-0.01,-1.004,0
12/10/2024 10:22:26 AM,1.693,0.014,208,2,40.7,12.692,2.774,-1,8,7,0.014,-0.012,-1.005,0
12/10/2024 10:32:26 AM,1.693,0.014,208,2,45.2,12.684,2.726,-1.063,8,7,0.014,-0.011,-1.005,0
12/10/2024 10:42:26 AM,1.69,0.017,208,2,44.5,12.68,2.87,-1.063,8,7,0.014,-0.011,-1.005,0
12/10/2024 10:52:26 AM,1.693,0.014,208,2,44.9,12.676,2.487,-1.25,8,7,0.014,-0.011,-1.005,0
12/10/2024 11:02:26 AM,1.693,0.013,208,2,45,12.672,2.151,-1.563,8,6,0.015,-0.012,-1.006,0
12/10/2024 11:12:26 AM,1.69,0.016,208,2,44.5,12.672,2.343,-1.625,8,6,0.015,-0.012,-1.006,0
12/10/2024 11:22:26 AM,1.697,0.009,208,2,41,12.668,2.391,-1.375,8,7,0.014,-0.012,-1.006,0
12/10/2024 11:32:26 AM,1.693,0.014,208,2,44.9,12.668,2.678,-1,8,7,0.014,-0.011,-1.006,0
12/10/2024 11:42:26 AM,1.691,0.016,208,2,42.5,12.664,2.678,-1.063,8,7,0.014,-0.011,-1.006,0
12/10/2024 11:52:26 AM,1.691,0.015,208,2,42.7,12.66,2.535,-1.313,8,7,0.015,-0.011,-1.007,0
12/10/2024 12:02:26 PM,1.69,0.016,208,2,44.6,12.656,1.624,-2.125,8,6,0.014,-0.011,-1.007,0
12/10/2024 12:12:26 PM,1.691,0.014,208,2,44.1,12.656,1.097,-2.625,7,5,0.014,-0.011,-1.007,0
12/10/2024 12:22:26 PM,1.691,0.014,208,2,44.5,12.652,1.337,-2.438,7,5,0.013,-0.011,-1.007,0
12/10/2024 12:32:26 PM,1.69,0.016,208,2,43.8,12.652,2.343,-1.625,7,6,0.014,-0.011,-1.008,0
12/10/2024 12:42:26 PM,1.693,0.013,208,2,42.9,12.648,2.391,-1.375,8,6,0.014,-0.011,-1.008,0
12/10/2024 12:52:26 PM,1.69,0.016,208,2,44.1,12.648,1.72,-2.125,8,6,0.014,-0.011,-1.008,0
12/10/2024 01:02:26 PM,1.69,0.016,208,2,44.3,12.648,1.528,-2.313,7,5,0.014,-0.011,-1.008,0
12/10/2024 01:12:26 PM,1.69,0.015,208,2,43.5,12.644,1.145,-2.438,7,5,0.014,-0.011,-1.009,0
12/10/2024 01:22:26 PM,1.69,0.015,208,2,44.7,12.648,1.097,-2.75,7,5,0.014,-0.011,-1.009,0
12/10/2024 01:32:26 PM,1.69,0.015,208,2,39.7,12.648,1.337,-2.375,7,5,0.013,-0.011,-1.009,0
12/10/2024 01:42:26 PM,1.69,0.016,208,2,44.4,12.64,1.816,-1.875,7,6,0.014,-0.011,-1.009,0
12/10/2024 01:52:26 PM,1.693,0.013,208,2,44.2,12.64,2.199,-1.563,7,6,0.014,-0.011,-1.009,0
12/10/2024 02:02:26 PM,1.691,0.015,208,2,42.4,12.64,1.96,-1.813,8,6,0.014,-0.011,-1.009,0
12/10/2024 02:12:26 PM,1.694,0.012,208,2,45.1,12.64,1.72,-2.188,8,6,0.013,-0.011,-1.01,0
12/10/2024 02:22:26 PM,1.69,0.016,208,2,44.7,12.632,1.72,-2,7,6,0.014,-0.011,-1.01,0
12/10/2024 02:32:26 PM,1.69,0.016,208,2,44.7,12.636,1.72,-1.875,7,6,0.013,-0.011,-1.01,0
12/10/2024 02:42:26 PM,1.693,0.013,208,2,44.4,12.632,2.151,-1.5,7,6,0.014,-0.012,-1.011,0
12/10/2024 02:52:26 PM,1.699,0.008,208,2,40.2,12.636,2.535,-1.063,8,7,0.014,-0.012,-1.011,0
12/10/2024 03:02:26 PM,1.69,0.017,208,2,41.4,12.632,2.726,-1,8,7,0.014,-0.012,-1.012,0
12/10/2024 03:12:26 PM,1.694,0.013,208,2,45.3,12.628,2.678,-0.875,8,7,0.014,-0.012,-1.012,0
12/10/2024 03:22:26 PM,1.693,0.015,208,2,44.9,12.62,3.541,0.063,8,7,0.014,-0.012,-1.013,0
12/10/2024 03:32:26 PM,1.694,0.014,208,2,39.8,13.188,4.26,0.813,9,8,0.014,-0.012,-1.012,0
12/10/2024 03:42:26 PM,1.696,0.013,208,2,43.8,12.476,4.643,1.313,10,9,0.015,-0.012,-1.012,0
12/10/2024 03:52:26 PM,1.699,0.01,208,2,40.6,12.632,5.218,1.75,10,9,0.015,-0.013,-1.012,0
12/10/2024 04:02:26 PM,1.699,0.011,208,2,40.1,12.628,5.746,2.313,11,10,0.014,-0.012,-1.013,0
12/10/2024 04:12:26 PM,1.7,0.01,208,2,46.1,12.628,6.177,2.75,11,10,0.015,-0.011,-1.014,0
12/10/2024 04:22:26 PM,1.7,0.01,208,2,45.7,12.628,6.56,2.813,12,10,0.014,-0.011,-1.016,0
12/10/2024 04:32:26 PM,1.697,0.013,208,2,26.8,-10.188,6.225,2.5,12,10,0.015,-0.011,-1.017,0
12/10/2024 04:42:26 PM,1.7,0.01,208,2,41.2,12.632,5.937,2.125,12,10,0.015,-0.013,-1.021,0
12/10/2024 04:52:26 PM,1.696,0.014,208,2,121.3,12.628,5.65,2.063,11,10,0.014,-0.011,-1.026,0
12/10/2024 05:02:26 PM,1.699,0.011,208,2,26.5,-10.14,5.841,2.188,11,10,0.015,-0.011,-1.024,0
12/10/2024 05:12:26 PM,1.697,0.013,208,2,24.2,-12.984,6.081,2.375,11,10,0.015,-0.012,-1.023,0
12/10/2024 05:22:26 PM,1.7,0.01,208,2,42.7,12.632,6.416,2.625,12,11,0.015,-0.011,-1.022,0
12/10/2024 05:32:26 PM,1.7,0.011,208,2,43.1,12.636,6.608,3.063,12,11,0.015,-0.011,-1.029,0
12/10/2024 05:42:26 PM,1.7,0.011,208,2,45.3,12.636,7.327,3.625,12,12,0.015,-0.01,-1.032,0
12/10/2024 05:52:26 PM,1.709,0.003,208,2,41.2,12.636,8.19,4.688,13,13,0.015,-0.012,-1.035,0
12/10/2024 06:02:26 PM,1.706,0.007,208,2,45.9,12.64,9.244,5.875,14,13,0.015,-0.011,-1.03,0
12/10/2024 06:12:26 PM,1.706,0.008,208,2,46.7,12.64,10.059,6.688,15,14,0.015,-0.011,-1.034,0
12/10/2024 06:22:26 PM,1.71,0.004,208,2,45.9,12.64,10.586,7.125,16,15,0.014,-0.011,-1.035,0
12/10/2024 06:32:26 PM,1.71,0.005,208,2,45.8,12.644,10.825,7.5,16,15,0.014,-0.01,-1.048,0
12/10/2024 06:42:26 PM,1.709,0.006,208,2,27.1,-10.316,11.161,7.813,16,16,0.014,-0.009,-1.056,0
12/10/2024 06:52:26 PM,1.71,0.005,208,2,45.7,12.644,11.544,8.063,17,16,0.014,-0.01,-1.066,0
12/10/2024 07:02:26 PM,1.71,0.006,208,2,26.7,-10.368,11.88,8.438,17,16,0.013,-0.009,-1.076,0
12/10/2024 07:12:26 PM,1.71,0.006,208,2,46,12.648,12.215,8.688,17,16,0.014,-0.011,-1.079,0
12/10/2024 07:22:26 PM,1.709,0.007,208,2,42.8,12.648,12.503,9,18,17,0.014,-0.009,-1.085,0
12/10/2024 07:32:26 PM,1.706,0.01,208,2,45.3,12.652,12.886,9.25,18,17,0.014,-0.008,-1.083,0
12/10/2024 07:42:26 PM,1.71,0.006,208,2,38.6,12.66,12.742,9.25,18,17,0.013,-0.009,-1.075,0
12/10/2024 07:52:26 PM,1.71,0.006,208,2,43.4,12.656,12.886,9.188,18,17,0.015,-0.009,-1.072,0
12/10/2024 08:02:26 PM,1.711,0.006,208,2,27.4,-10.388,13.222,9.625,18,17,0.014,-0.009,-1.071,0
12/10/2024 08:12:26 PM,1.71,0.007,208,2,45.8,12.656,13.557,10,18,18,0.014,-0.01,-1.079,0
12/10/2024 08:22:26 PM,1.713,0.004,208,2,43.6,13.404,13.797,10.25,19,18,0.014,-0.009,-1.08,0
12/10/2024 08:32:26 PM,1.711,0.006,208,2,42.8,13.444,13.845,10.313,19,18,0.014,-0.012,-1.088,0
12/10/2024 08:42:26 PM,1.711,0.006,208,2,42.5,13.484,13.988,10.313,19,18,0.013,-0.007,-1.073,0
12/10/2024 08:52:26 PM,1.713,0.004,208,2,40.4,13.512,14.132,10.375,19,18,0.013,-0.009,-1.076,0
12/10/2024 09:02:26 PM,1.711,0.006,208,2,42.7,13.544,13.845,10.313,19,18,0.013,-0.009,-1.077,0
12/10/2024 09:12:26 PM,1.711,0.006,208,2,39.8,13.572,13.845,10.188,19,18,0.013,-0.01,-1.086,0
