DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/9/2024 9:45:30 AM,208,2,128,1712677530000,41.200,13.216,19.875,23.094,0.048,0.587,-0.808,0.013,0.035,-0.093,-1.884,1,0,31,29,1.420,1.376,1.387,6,0x17,16,-1.000,0.239,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 9:55:30 AM,208,2,128,1712678130000,41.800,13.224,18.438,21.656,0.048,0.587,-0.808,0.013,0.035,-0.093,-1.884,1,0,30,27,1.420,1.376,1.388,6,0x17,14,-1.000,0.238,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 10:05:30 AM,208,2,128,1712678730000,37.500,13.232,17.375,20.506,0.048,0.587,-0.808,0.013,0.034,-0.093,-1.884,1,0,28,26,1.419,1.375,1.388,6,0x17,13,-1.000,0.238,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 10:15:30 AM,208,2,128,1712679330000,39.700,13.240,17.063,20.266,0.048,0.586,-0.808,0.013,0.035,-0.094,-1.885,1,0,27,25,1.420,1.376,1.389,6,0x17,13,-1.000,0.237,4.024,0.000,0.080,-1.000,0x1fff
4/9/2024 10:25:30 AM,208,2,128,1712679930000,37.500,13.248,17.500,20.506,0.049,0.586,-0.808,0.013,0.035,-0.094,-1.885,1,0,27,26,1.417,1.373,1.386,6,0x17,13,-1.000,0.240,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 10:35:30 AM,208,2,128,1712680530000,41.300,13.248,16.875,20.314,0.048,0.586,-0.809,0.013,0.035,-0.094,-1.885,1,0,27,25,1.420,1.376,1.389,6,0x17,12,-1.000,0.237,4.024,0.000,0.080,-1.000,0x1fff
4/9/2024 10:45:30 AM,208,2,128,1712681130000,40.100,13.260,16.000,19.212,0.049,0.586,-0.809,0.013,0.036,-0.094,-1.885,1,0,26,24,1.416,1.372,1.386,6,0x17,12,-1.000,0.240,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 10:55:30 AM,208,2,128,1712681730000,37.500,13.260,17.313,20.506,0.048,0.586,-0.809,0.013,0.035,-0.093,-1.886,1,0,26,25,1.419,1.375,1.388,6,0x17,13,-1.000,0.238,4.024,0.000,0.081,-1.000,0x1fff
4/9/2024 11:05:30 AM,208,2,128,1712682330000,41.100,13.272,17.375,20.458,0.048,0.586,-0.809,0.013,0.035,-0.094,-1.886,1,0,27,25,1.420,1.376,1.389,6,0x17,13,-1.000,0.237,4.024,0.000,0.080,-1.000,0x1fff
4/9/2024 11:15:30 AM,208,2,128,1712682930000,41.000,13.292,17.188,20.122,0.048,0.586,-0.809,0.013,0.035,-0.094,-1.886,1,0,27,25,1.419,1.375,1.388,6,0x17,13,-1.000,0.238,4.024,0.000,0.081,-1.000,0x1fff
