DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/13/2024 1:10:14 PM,208,2,128,1707855014000,37.900,13.064,13.313,16.624,0.016,0.861,0.508,0.013,0.041,-0.006,1.067,0,0,24,22,1.190,1.137,1.154,6,0x17,9,-1.000,0.472,2.107,0.024,0.142,-1.000,0x1fff
2/13/2024 1:20:14 PM,208,2,128,1707855614000,39.400,13.060,13.438,16.816,0.016,0.861,0.508,0.013,0.041,-0.006,1.067,0,0,24,22,1.190,1.137,1.154,6,0x17,9,-1.000,0.472,2.107,0.024,0.142,-1.000,0x1fff
2/13/2024 1:30:14 PM,208,2,128,1707856214000,41.600,13.052,12.500,15.953,0.016,0.861,0.508,0.014,0.042,-0.007,1.067,0,0,24,22,1.190,1.137,1.155,6,0x17,8,-1.000,0.471,2.107,0.024,0.142,-1.000,0x1fff
2/13/2024 1:40:14 PM,208,2,128,1707856814000,38.200,13.072,11.938,15.234,0.016,0.861,0.508,0.013,0.041,-0.006,1.067,0,0,23,21,1.189,1.136,1.154,6,0x17,8,-1.000,0.472,2.107,0.024,0.142,-1.000,0x1fff
2/13/2024 1:50:14 PM,208,2,128,1707857414000,38.400,13.068,11.375,14.899,0.016,0.861,0.508,0.014,0.042,-0.007,1.067,0,0,22,20,1.180,1.127,1.146,6,0x17,7,-1.000,0.480,2.107,0.028,0.145,-1.000,0x1fff
2/13/2024 2:00:14 PM,208,2,128,1707858014000,36.400,13.072,11.500,14.899,0.016,0.861,0.508,0.014,0.042,-0.007,1.067,0,0,22,20,1.180,1.127,1.145,6,0x17,7,-1.000,0.481,2.107,0.029,0.145,-1.000,0x1fff
2/13/2024 2:10:14 PM,208,2,128,1707858614000,41.500,13.080,11.938,15.330,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,22,21,1.173,1.119,1.137,6,0x17,8,-1.000,0.489,2.107,0.037,0.148,-1.000,0x1fff
2/13/2024 2:20:14 PM,208,2,128,1707859214000,45.600,13.076,12.500,16.049,0.016,0.861,0.508,0.013,0.041,-0.007,1.067,0,0,22,21,1.180,1.127,1.145,6,0x17,8,-1.000,0.481,2.107,0.037,0.145,-1.000,0x1fff
2/13/2024 2:30:14 PM,208,2,128,1707859814000,37.200,13.072,11.813,15.138,0.016,0.861,0.508,0.013,0.041,-0.007,1.067,0,0,23,21,1.180,1.127,1.145,6,0x17,7,-1.000,0.481,2.107,0.037,0.145,-1.000,0x1fff
2/13/2024 2:40:14 PM,208,2,128,1707860414000,40.900,13.072,10.000,13.557,0.016,0.861,0.508,0.014,0.042,-0.007,1.067,0,0,22,19,1.180,1.127,1.147,6,0x17,6,-1.000,0.479,2.107,0.037,0.144,-1.000,0x1fff
2/13/2024 2:50:14 PM,208,2,128,1707861014000,40.400,13.060,8.625,12.215,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,20,17,1.171,1.117,1.138,6,0x17,4,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 3:00:14 PM,208,2,128,1707861614000,41.800,13.060,8.250,11.688,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,18,17,1.170,1.116,1.138,6,0x17,4,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 3:10:14 PM,208,2,128,1707862214000,40.800,13.056,8.438,11.880,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,18,17,1.170,1.116,1.137,6,0x17,4,-1.000,0.489,2.107,0.037,0.148,-1.000,0x1ffe
2/13/2024 3:20:14 PM,208,2,128,1707862814000,40.700,13.064,8.250,11.880,0.016,0.861,0.508,0.014,0.041,-0.007,1.067,0,0,18,17,1.170,1.116,1.138,6,0x17,4,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 3:30:14 PM,208,2,128,1707863414000,39.600,13.064,7.938,11.353,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,18,16,1.170,1.116,1.138,6,0x17,3,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 3:40:14 PM,208,2,128,1707864014000,40.100,13.064,7.688,11.113,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,18,16,1.170,1.116,1.138,6,0x17,3,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 3:50:14 PM,208,2,128,1707864614000,37.100,13.064,7.500,11.017,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,17,16,1.170,1.116,1.138,6,0x17,3,-1.000,0.488,2.107,0.037,0.147,-1.000,0x1fff
2/13/2024 4:00:14 PM,208,2,128,1707865214000,41.000,13.064,7.500,10.921,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,17,16,1.170,1.116,1.138,6,0x17,3,-1.000,0.488,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 4:10:14 PM,208,2,128,1707865814000,39.600,13.064,7.938,11.688,0.016,0.861,0.508,0.014,0.041,-0.007,1.067,0,0,17,17,1.169,1.115,1.137,6,0x17,4,-1.000,0.489,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 4:20:14 PM,208,2,128,1707866414000,41.400,13.064,8.063,11.544,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,18,17,1.170,1.116,1.138,7,0x17,4,-1.000,0.488,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 4:30:14 PM,208,2,128,1707867014000,40.600,13.064,8.063,11.688,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,18,17,1.163,1.109,1.131,6,0x17,4,-1.000,0.495,2.144,0.000,0.150,-1.000,0x1fff
2/13/2024 4:40:14 PM,208,2,128,1707867614000,41.600,13.056,7.813,11.305,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,18,16,1.170,1.116,1.138,6,0x17,3,-1.000,0.488,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 4:50:14 PM,208,2,128,1707868214000,40.300,13.060,7.000,10.298,0.016,0.861,0.508,0.014,0.042,-0.008,1.067,0,0,17,16,1.170,1.116,1.139,6,0x17,2,-1.000,0.487,2.144,0.000,0.147,-1.000,0x1ffe
2/13/2024 5:00:14 PM,208,2,128,1707868814000,41.000,13.056,6.438,9.915,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,17,15,1.170,1.116,1.139,6,0x17,2,-1.000,0.487,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 5:10:14 PM,208,2,128,1707869414000,38.900,13.056,5.625,9.244,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,16,14,1.170,1.116,1.140,6,0x17,1,-1.000,0.486,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 5:20:14 PM,208,2,128,1707870014000,41.100,13.052,4.938,8.525,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,15,13,1.170,1.116,1.141,6,0x17,0,-1.000,0.485,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 5:30:14 PM,208,2,128,1707870614000,40.600,13.052,4.375,7.854,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,14,13,1.170,1.116,1.141,6,0x17,0,-1.000,0.485,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 5:40:14 PM,208,2,128,1707871214000,35.900,13.048,3.938,7.662,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,14,12,1.170,1.116,1.142,6,0x17,0,-1.000,0.484,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 5:50:14 PM,208,2,128,1707871814000,38.100,13.048,3.438,7.087,0.016,0.861,0.508,0.015,0.042,-0.009,1.067,0,0,13,12,1.170,1.116,1.142,6,0x17,-1,-1.000,0.484,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 6:00:14 PM,208,2,128,1707872414000,40.600,13.044,3.188,6.752,0.016,0.861,0.508,0.015,0.042,-0.009,1.067,0,0,13,11,1.170,1.116,1.142,6,0x17,-1,-1.000,0.484,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 6:10:14 PM,208,2,128,1707873014000,35.100,13.040,3.250,6.800,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,13,12,1.170,1.116,1.142,6,0x17,-1,-1.000,0.484,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 6:20:14 PM,208,2,128,1707873614000,37.800,13.036,3.188,6.800,0.016,0.861,0.508,0.014,0.041,-0.008,1.067,0,0,13,12,1.170,1.116,1.142,7,0x17,-1,-1.000,0.484,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 6:30:14 PM,208,2,128,1707874214000,40.300,13.040,2.500,6.081,0.016,0.861,0.508,0.015,0.042,-0.009,1.067,0,0,13,11,1.167,1.113,1.140,6,0x17,-2,-1.000,0.486,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 6:40:14 PM,208,2,128,1707874814000,35.600,13.036,1.875,5.410,0.016,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,12,10,1.169,1.115,1.143,6,0x17,-2,-1.000,0.483,2.144,0.000,0.146,-1.000,0x1fff
2/13/2024 6:50:14 PM,208,2,128,1707875414000,35.800,13.036,1.375,5.027,0.016,0.861,0.508,0.015,0.042,-0.009,1.067,0,0,11,10,1.166,1.112,1.140,6,0x17,-3,-1.000,0.486,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 7:00:14 PM,208,2,128,1707876014000,38.600,13.036,0.375,3.924,0.016,0.861,0.508,0.015,0.042,-0.009,1.067,0,0,11,8,1.160,1.106,1.135,6,0x17,-4,-1.000,0.491,2.144,0.000,0.149,-1.000,0x1fff
2/13/2024 7:10:14 PM,208,2,128,1707876614000,40.400,13.036,-0.438,3.301,0.016,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,10,8,1.160,1.106,1.136,6,0x17,-4,-1.000,0.490,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 7:20:14 PM,208,2,128,1707877214000,39.600,13.028,-1.438,2.199,0.016,0.861,0.508,0.014,0.042,-0.009,1.067,0,0,9,7,1.160,1.106,1.137,6,0x17,-5,-1.000,0.489,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 7:30:14 PM,208,2,128,1707877814000,40.800,13.028,-1.813,1.960,0.015,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,8,7,1.160,1.106,1.137,6,0x17,-6,-1.000,0.489,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 7:40:14 PM,208,2,128,1707878414000,39.800,13.032,-1.688,2.008,0.015,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,8,7,1.160,1.106,1.137,6,0x17,-6,-1.000,0.489,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 7:50:14 PM,208,2,128,1707879014000,36.700,13.024,-0.063,3.541,0.015,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,8,8,1.160,1.106,1.135,6,0x17,-4,-1.000,0.491,2.144,0.000,0.149,-1.000,0x1fff
2/13/2024 8:00:14 PM,208,2,128,1707879614000,39.900,13.028,-0.688,2.870,0.016,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,9,7,1.160,1.106,1.136,6,0x17,-5,-1.000,0.490,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 8:10:14 PM,208,2,128,1707880214000,38.500,13.024,-2.000,1.624,0.015,0.861,0.508,0.015,0.042,-0.010,1.067,0,0,9,6,1.160,1.106,1.137,6,0x17,-6,-1.000,0.489,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 8:20:14 PM,208,2,128,1707880814000,40.300,13.024,-2.750,0.905,0.015,0.861,0.508,0.014,0.041,-0.009,1.067,0,0,8,5,1.160,1.106,1.138,6,0x17,-7,-1.000,0.488,2.144,0.000,0.148,-1.000,0x1fff
2/13/2024 8:30:14 PM,208,2,128,1707881414000,39.600,13.020,-3.625,0.139,0.015,0.861,0.508,0.014,0.040,-0.009,1.067,0,0,7,5,1.160,1.106,1.139,6,0x17,-8,-1.000,0.487,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 8:40:14 PM,208,2,128,1707882014000,37.600,13.020,-4.063,-0.580,0.015,0.861,0.508,0.015,0.041,-0.010,1.067,0,0,6,4,1.160,1.106,1.139,6,0x17,-8,-1.000,0.487,2.144,0.000,0.147,-1.000,0x1fff
2/13/2024 8:50:14 PM,208,2,128,1707882614000,39.600,13.020,-4.500,-0.964,0.015,0.861,0.508,0.015,0.041,-0.010,1.067,0,0,5,4,1.159,1.105,1.139,6,0x17,-8,-1.000,0.487,2.144,0.000,0.147,-1.000,0x1fff
