DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
3/13/2025 2:02:26 PM,2,1741896146000,43.100,13.944,12.125,15.666,0.012,-0.016,2.506,0,0,21,0.730,5,-1.000,0.932,2.224,0.044,0x1fff
3/13/2025 2:12:26 PM,2,1741896746000,43.200,13.948,13.125,16.480,0.013,-0.016,2.506,0,0,21,0.737,6,-1.000,0.925,2.224,0.044,0x1fff
3/13/2025 2:22:26 PM,2,1741897346000,43.200,13.948,13.625,17.247,0.012,-0.017,2.506,0,0,22,0.736,5,-1.000,0.926,2.224,0.044,0x1fff
3/13/2025 2:32:26 PM,2,1741897946000,38.100,13.948,13.938,17.343,0.013,-0.016,2.506,0,0,22,0.736,5,-1.000,0.926,2.224,0.044,0x1fff
3/13/2025 2:42:26 PM,2,1741898546000,42.800,13.948,13.500,17.151,0.014,-0.016,2.505,0,0,22,0.737,5,-1.000,0.925,2.224,0.044,0x1fff
3/13/2025 2:52:26 PM,2,1741899146000,38.400,13.944,13.313,16.768,0.014,-0.017,2.505,0,0,22,0.737,5,-1.000,0.925,2.224,0.044,0x1fff
3/13/2025 3:02:26 PM,2,1741899746000,44.300,13.944,13.500,16.816,0.013,-0.016,2.504,0,0,22,0.737,5,-1.000,0.925,2.224,0.044,0x1fff
3/13/2025 3:12:26 PM,2,1741900346000,40.800,13.964,13.688,17.247,0.013,-0.017,2.504,0,0,22,0.747,5,-1.000,0.915,2.224,0.044,0x1fff
3/13/2025 3:22:26 PM,2,1741900946000,38.700,13.976,11.938,15.714,0.013,-0.017,2.504,0,0,20,0.739,5,-1.000,0.923,2.224,0.044,0x1fff
3/13/2025 3:32:26 PM,2,1741901546000,42.800,13.948,11.688,15.426,0.014,-0.017,2.504,0,0,20,0.738,6,-1.000,0.924,2.224,0.044,0x1fff
