DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
10/29/2025 1:12:26 PM,208,2,128,1761765146000,41.900,14.000,21.500,24.819,0.031,-0.024,-0.999,-0.002,0.003,-0.062,3.095,0,0,29,29,1.760,1.687,1.696,10,0x17,19,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1ffe
10/29/2025 1:22:26 PM,208,2,128,1761765746000,38.400,13.948,21.063,24.483,0.031,-0.024,-0.999,-0.002,0.003,-0.063,3.094,0,0,30,29,1.757,1.683,1.693,10,0x17,19,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 1:32:26 PM,208,2,128,1761766346000,38.000,13.964,21.063,24.483,0.031,-0.024,-0.999,-0.002,0.003,-0.063,3.094,0,0,30,29,1.760,1.687,1.697,10,0x17,19,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 1:42:26 PM,208,2,128,1761766946000,42.600,13.972,21.375,24.531,0.031,-0.023,-0.999,-0.002,0.003,-0.063,3.095,0,0,30,29,1.760,1.687,1.696,10,0x17,19,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 1:52:26 PM,208,2,128,1761767546000,42.200,14.036,21.313,24.723,0.031,-0.024,-0.999,-0.002,0.003,-0.063,3.095,0,0,30,29,1.763,1.690,1.699,10,0x17,19,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:02:26 PM,208,2,128,1761768146000,40.600,13.976,20.313,23.812,0.032,-0.024,-0.999,-0.002,0.003,-0.064,3.094,0,0,30,28,1.757,1.683,1.693,10,0x17,18,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:12:26 PM,208,2,128,1761768746000,43.000,13.964,19.688,23.142,0.032,-0.024,-0.999,-0.002,0.003,-0.064,3.094,0,0,29,27,1.759,1.685,1.696,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:22:26 PM,208,2,128,1761769346000,38.600,13.960,19.563,23.094,0.031,-0.024,-0.999,-0.002,0.003,-0.063,3.094,0,0,29,27,1.757,1.683,1.694,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:32:26 PM,208,2,128,1761769946000,42.500,13.956,19.375,22.950,0.032,-0.022,-0.999,-0.003,0.004,-0.064,3.097,0,0,28,27,1.757,1.683,1.694,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:42:26 PM,208,2,128,1761770546000,38.100,13.960,19.500,23.142,0.032,-0.023,-0.999,-0.002,0.003,-0.064,3.096,0,0,28,27,1.754,1.680,1.691,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 2:52:26 PM,208,2,128,1761771146000,41.700,14.048,19.688,23.333,0.033,-0.024,-0.999,-0.002,0.003,-0.066,3.094,0,0,28,27,1.759,1.685,1.696,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:02:26 PM,208,2,128,1761771746000,40.400,13.956,19.188,22.950,0.032,-0.025,-0.999,-0.003,0.004,-0.064,3.091,0,0,29,27,1.756,1.682,1.693,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:12:26 PM,208,2,128,1761772346000,43.100,14.084,19.250,22.806,0.032,-0.026,-0.999,-0.003,0.004,-0.064,3.091,0,0,28,27,1.753,1.679,1.690,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:22:26 PM,208,2,128,1761772946000,42.100,13.956,19.313,22.950,0.032,-0.026,-0.999,-0.002,0.003,-0.063,3.090,0,0,28,27,1.754,1.680,1.691,11,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:32:26 PM,208,2,128,1761773546000,42.100,13.952,19.438,23.237,0.032,-0.024,-0.999,-0.003,0.003,-0.065,3.093,0,0,28,27,1.759,1.685,1.696,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:42:26 PM,208,2,128,1761774146000,41.800,13.956,19.625,23.429,0.032,-0.027,-0.999,-0.003,0.004,-0.065,3.088,0,0,28,27,1.759,1.685,1.696,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 3:52:26 PM,208,2,128,1761774746000,42.500,13.964,19.688,23.333,0.032,-0.027,-0.999,-0.003,0.003,-0.063,3.087,0,0,28,27,1.757,1.683,1.694,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
10/29/2025 4:02:26 PM,208,2,128,1761775346000,41.000,13.956,19.563,23.046,0.032,-0.027,-0.999,-0.003,0.004,-0.064,3.088,0,0,28,27,1.757,1.683,1.694,10,0x17,17,-1.000,0.000,0.700,0.036,0.000,-1.000,0x1fff
