DATE,SNODAR_DISTANCE,SNODAR_SEASONAL_SNOW_DEPTH,ID,VER,POWER_CURRENT,POWER_VOLTAGE,IMU_TEMP,TMP_TEMP,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,IMU_R,IMU_P,IMU_Y,HEATER_ENABLED
12/14/2024 12:24:10 AM,1.57,0,208,2,41.7,13.46,8.861,5.25,14,13,-0.014,-0.042,2.472,0
12/14/2024 12:34:10 AM,1.569,0.001,208,2,39.6,13.456,10.059,6.188,15,14,-0.014,-0.042,2.472,0
12/14/2024 12:44:10 AM,1.57,0,208,2,43.4,13.444,10.107,6.5,15,14,-0.015,-0.041,2.472,0
12/14/2024 12:54:10 AM,1.57,0,208,2,39.5,13.436,10.107,6.438,16,14,-0.015,-0.041,2.472,0
12/14/2024 01:04:10 AM,1.57,0,208,2,43.7,13.424,9.867,6.375,16,14,-0.015,-0.041,2.472,0
12/14/2024 01:14:10 AM,1.57,0,208,2,44.1,13.416,10.059,6.25,16,14,-0.015,-0.041,2.472,0
12/14/2024 01:24:10 AM,1.567,0.001,208,2,38.5,13.408,9.867,6.063,16,14,-0.015,-0.041,2.471,0
12/14/2024 01:34:10 AM,1.569,0.001,208,2,42.2,13.4,10.059,6.188,15,14,-0.015,-0.041,2.471,0
12/14/2024 01:44:10 AM,1.569,0.001,208,2,39.1,13.392,10.107,6.313,15,14,-0.015,-0.041,2.471,0
12/14/2024 01:54:10 AM,1.57,0,208,2,43.2,13.384,10.059,6.375,16,14,-0.015,-0.041,2.471,0
12/14/2024 02:04:10 AM,1.57,0,208,2,43.7,13.376,10.154,6.375,16,14,-0.015,-0.041,2.471,0
12/14/2024 02:14:10 AM,1.57,0,208,2,38.9,13.368,10.107,6.375,16,14,-0.015,-0.041,2.471,0
12/14/2024 02:24:10 AM,1.57,0,208,2,40.9,13.36,10.059,6.375,16,14,-0.014,-0.041,2.47,0
12/14/2024 02:34:10 AM,1.569,0.001,208,2,43.9,13.356,10.059,6.313,16,14,-0.014,-0.042,2.47,0
12/14/2024 02:44:10 AM,1.57,0,208,2,43.9,13.348,10.059,6.25,16,14,-0.015,-0.041,2.47,0
12/14/2024 02:54:10 AM,1.569,0.001,208,2,40.5,13.34,9.771,6.188,16,14,-0.015,-0.041,2.47,0
12/14/2024 03:04:10 AM,1.57,0,208,2,43.6,13.336,9.771,6.125,16,14,-0.015,-0.041,2.47,0
12/14/2024 03:14:10 AM,1.569,0,208,2,40.3,13.328,9.771,6.063,15,14,-0.015,-0.041,2.47,0
12/14/2024 03:24:10 AM,1.57,0,208,2,39.6,13.324,9.723,6,15,14,-0.015,-0.04,2.47,0
12/14/2024 03:34:10 AM,1.57,0,208,2,44.4,13.32,9.771,6,15,13,-0.015,-0.041,2.469,0
12/14/2024 03:44:10 AM,1.566,0.001,208,2,43.8,13.312,9.771,6.125,15,14,-0.014,-0.042,2.469,0
12/14/2024 03:54:10 AM,1.569,0.001,208,2,39.8,13.308,9.915,6.25,15,14,-0.015,-0.041,2.469,0
12/14/2024 04:04:10 AM,1.57,0,208,2,39.5,13.3,9.771,6,16,14,-0.015,-0.041,2.469,0
12/14/2024 04:14:10 AM,1.567,0.001,208,2,43.5,13.3,9.723,5.875,15,14,-0.014,-0.042,2.469,0
12/14/2024 04:24:10 AM,1.567,0.001,208,2,43.5,13.292,9.388,5.875,15,13,-0.015,-0.04,2.469,0
12/14/2024 04:34:10 AM,1.57,0,208,2,44.2,13.292,9.723,6.063,15,14,-0.015,-0.041,2.468,0
12/14/2024 04:44:10 AM,1.57,0,208,2,43.6,13.288,9.771,6.063,15,14,-0.015,-0.041,2.468,0
12/14/2024 04:54:10 AM,1.57,0,208,2,40,13.28,9.963,6.125,15,14,-0.014,-0.041,2.468,0
12/14/2024 05:04:10 AM,1.57,0,208,2,45,13.276,9.723,6.125,15,14,-0.015,-0.041,2.468,0
12/14/2024 05:14:10 AM,1.57,0,208,2,42,13.276,9.723,6,15,14,-0.014,-0.042,2.468,0
12/14/2024 05:24:10 AM,1.569,0,208,2,38.9,13.272,9.867,6.063,15,14,-0.015,-0.041,2.468,0
12/14/2024 05:34:10 AM,1.57,0,208,2,44.3,13.268,9.867,6.188,15,14,-0.015,-0.041,2.468,0
12/14/2024 05:44:10 AM,1.569,0.001,208,2,44.1,13.272,10.107,6.375,15,14,-0.015,-0.04,2.467,0
12/14/2024 05:54:10 AM,1.569,0.001,208,2,44.6,13.268,9.963,6.5,16,14,-0.015,-0.041,2.467,0
12/14/2024 06:04:10 AM,1.569,0.001,208,2,41.8,13.26,10.49,6.563,16,14,-0.015,-0.04,2.467,0
12/14/2024 06:14:10 AM,1.569,0.001,208,2,42.9,13.26,10.154,6.563,16,14,-0.016,-0.041,2.467,0
12/14/2024 06:24:10 AM,1.57,0,208,2,41.3,13.26,10.154,6.438,16,14,-0.015,-0.041,2.467,0
12/14/2024 06:34:10 AM,1.57,0,208,2,39.9,13.256,9.963,6.25,16,14,-0.014,-0.041,2.466,0
12/14/2024 06:44:10 AM,1.57,0,208,2,43.9,13.256,9.867,6.188,16,14,-0.015,-0.041,2.466,0
12/14/2024 06:54:10 AM,1.57,0,208,2,41.7,13.256,9.771,6.188,15,14,-0.014,-0.041,2.466,0
12/14/2024 07:04:10 AM,1.57,0,208,2,43.9,13.252,9.867,6.25,15,14,-0.015,-0.041,2.466,0
12/14/2024 07:14:10 AM,1.569,0.001,208,2,41.4,13.256,10.059,6.188,15,14,-0.015,-0.04,2.466,0
12/14/2024 07:24:10 AM,1.57,0,208,2,40.8,13.248,10.059,6.125,15,14,-0.015,-0.042,2.466,0
12/14/2024 07:34:10 AM,1.569,0,208,2,41.1,13.248,9.771,6.125,15,14,-0.015,-0.041,2.465,0
12/14/2024 07:44:10 AM,1.57,0,208,2,44.7,13.248,9.627,6,15,14,-0.016,-0.04,2.465,0
12/14/2024 07:54:10 AM,1.57,0,208,2,39.5,13.248,9.436,5.813,15,14,-0.015,-0.041,2.465,0
12/14/2024 08:04:10 AM,1.57,0,208,2,39.9,13.244,9.196,5.625,15,13,-0.015,-0.041,2.465,0
12/14/2024 08:14:10 AM,1.57,0,208,2,44.8,13.248,9.1,5.5,15,13,-0.015,-0.04,2.465,0
12/14/2024 08:24:10 AM,1.569,0,208,2,44.6,13.244,9.1,5.5,15,13,-0.015,-0.04,2.465,0
12/14/2024 08:34:10 AM,1.57,0,208,2,44.9,13.24,9.244,5.438,15,13,-0.016,-0.04,2.464,0
12/14/2024 08:44:10 AM,1.566,0.001,208,2,45.4,13.244,8.908,5.375,15,13,-0.015,-0.041,2.465,0
12/14/2024 08:54:10 AM,1.566,0.001,208,2,44.2,13.236,8.908,5.188,15,13,-0.015,-0.04,2.465,0
12/14/2024 09:04:10 AM,1.56,0.003,208,2,43.6,13.244,8.717,5.125,14,13,-0.015,-0.041,2.464,0
12/14/2024 09:14:10 AM,1.561,0.001,208,2,39.6,13.24,8.813,5.063,14,13,-0.015,-0.04,2.464,0
12/14/2024 09:24:10 AM,1.56,0.002,208,2,44.1,13.24,8.861,5,14,13,-0.015,-0.04,2.464,0
12/14/2024 09:34:10 AM,1.56,0.002,208,2,38.7,13.24,8.669,4.938,14,13,-0.015,-0.042,2.464,0
12/14/2024 09:44:10 AM,1.56,0.002,208,2,44.2,13.236,8.573,4.938,14,12,-0.015,-0.04,2.464,0
12/14/2024 09:54:10 AM,1.56,0.002,208,2,42.3,13.236,8.813,4.938,14,13,-0.015,-0.041,2.464,0
12/14/2024 10:04:10 AM,1.559,0.003,208,2,44.5,13.24,8.717,4.938,14,13,-0.015,-0.041,2.463,0
12/14/2024 10:14:10 AM,1.56,0.002,208,2,43.3,13.236,8.573,4.875,14,13,-0.015,-0.04,2.463,0
12/14/2024 10:24:10 AM,1.554,0.008,208,2,43,13.236,8.669,4.875,14,13,-0.014,-0.041,2.463,0
12/14/2024 10:34:10 AM,1.55,0.011,208,2,44.2,13.236,8.573,4.875,14,12,-0.014,-0.041,2.463,0
12/14/2024 10:44:10 AM,1.55,0.011,208,2,38.6,13.236,8.573,4.875,14,13,-0.015,-0.041,2.463,0
12/14/2024 10:54:10 AM,1.55,0.011,208,2,43.4,13.236,8.573,4.875,14,13,-0.014,-0.041,2.463,0
12/14/2024 11:04:10 AM,1.549,0.012,208,2,44,13.232,8.717,4.938,14,13,-0.015,-0.041,2.462,0
12/14/2024 11:14:10 AM,1.54,0.021,208,2,42.6,13.236,8.573,5,14,13,-0.015,-0.042,2.462,0
12/14/2024 11:24:10 AM,1.54,0.021,208,2,41.4,13.236,8.813,5.063,14,13,-0.015,-0.041,2.462,0
12/14/2024 11:34:10 AM,1.536,0.026,208,2,44.5,13.232,8.908,5.125,14,13,-0.015,-0.041,2.462,0
12/14/2024 11:44:10 AM,1.53,0.032,208,2,41.9,13.232,9.052,5.188,14,13,-0.014,-0.041,2.462,0
12/14/2024 11:54:10 AM,1.52,0.042,208,2,43.1,13.228,8.861,5.188,14,13,-0.015,-0.041,2.462,0
12/14/2024 12:04:10 PM,1.52,0.042,208,2,42,13.228,8.717,5.188,14,13,-0.013,-0.042,2.462,0
12/14/2024 12:14:10 PM,1.51,0.051,208,2,41.9,13.236,9.1,5.25,14,13,-0.015,-0.041,2.461,0
12/14/2024 12:24:10 PM,1.51,0.051,208,2,41.5,13.236,9.052,5.313,14,13,-0.014,-0.041,2.461,0
12/14/2024 12:34:10 PM,1.5,0.057,208,2,41.9,13.236,9.1,5.375,15,13,-0.015,-0.04,2.461,0
12/14/2024 12:44:10 PM,1.5,0.057,208,2,41.3,13.232,9.34,5.5,15,13,-0.014,-0.041,2.461,0
12/14/2024 12:54:10 PM,1.5,0.057,208,2,39.8,13.232,9.244,5.5,15,13,-0.015,-0.041,2.461,0
