DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/1/2025 12:44:10 PM,208,2,128,1743533050000,43.600,13.552,9.688,13.269,0.032,-0.864,-0.502,-0.018,-0.037,-0.064,1.052,0,0,20,18,1.390,1.346,1.366,6,0x17,8,-1.000,0.170,2.411,0.101,0.056,-1.000,0x1fff
4/1/2025 12:54:10 PM,208,2,128,1743533650000,41.400,13.600,9.563,12.934,0.032,-0.864,-0.502,-0.019,-0.036,-0.064,1.052,0,0,20,18,1.391,1.347,1.367,6,0x17,8,-1.000,0.169,2.411,0.101,0.055,-1.000,0x1fff
4/1/2025 1:04:10 PM,208,2,128,1743534250000,44.800,13.660,9.375,12.790,0.031,-0.864,-0.502,-0.019,-0.035,-0.064,1.052,0,0,20,18,1.394,1.350,1.370,6,0x17,8,-1.000,0.166,2.411,0.101,0.054,-1.000,0x1fff
4/1/2025 1:14:10 PM,208,2,128,1743534850000,42.600,13.752,8.875,12.742,0.032,-0.864,-0.502,-0.019,-0.035,-0.065,1.053,0,0,20,17,1.396,1.352,1.373,6,0x17,7,-1.000,0.163,2.411,0.101,0.053,-1.000,0x1fff
4/1/2025 1:24:10 PM,208,2,128,1743535450000,41.200,13.904,8.313,12.215,0.031,-0.864,-0.502,-0.019,-0.035,-0.065,1.051,0,0,19,17,1.397,1.353,1.374,6,0x17,7,-1.000,0.162,2.411,0.102,0.053,-1.000,0x1fff
4/1/2025 1:34:10 PM,208,2,128,1743536050000,43.700,14.080,8.438,12.023,0.031,-0.864,-0.502,-0.020,-0.035,-0.065,1.051,0,0,19,17,1.390,1.346,1.367,6,0x17,7,-1.000,0.169,2.411,0.102,0.055,-1.000,0x1fff
4/1/2025 1:44:10 PM,208,2,128,1743536650000,43.100,14.048,8.375,12.263,0.031,-0.864,-0.502,-0.019,-0.035,-0.065,1.051,0,0,19,17,1.390,1.346,1.367,6,0x17,7,-1.000,0.169,2.411,0.102,0.055,-1.000,0x1fff
4/1/2025 1:54:10 PM,208,2,128,1743537250000,43.900,14.060,8.938,12.742,0.032,-0.864,-0.502,-0.019,-0.036,-0.064,1.050,0,0,19,18,1.391,1.347,1.368,6,0x17,7,-1.000,0.168,2.411,0.102,0.055,-1.000,0x1fff
4/1/2025 2:04:10 PM,208,2,128,1743537850000,43.000,14.056,9.438,13.317,0.031,-0.864,-0.502,-0.018,-0.036,-0.063,1.051,0,0,19,18,1.391,1.347,1.367,6,0x17,8,-1.000,0.169,2.411,0.102,0.055,-1.000,0x1fff
4/1/2025 2:14:10 PM,208,2,128,1743538450000,41.100,14.064,9.938,13.605,0.032,-0.864,-0.502,-0.018,-0.036,-0.063,1.051,0,0,20,18,1.394,1.350,1.370,6,0x17,8,-1.000,0.166,2.411,0.102,0.054,-1.000,0x1fff
