DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
1/9/2024 2:05:39 PM,208,2,128,1704834339000,41.500,12.060,5.125,8.525,0.001,0.997,0.071,-0.018,0.000,0.035,0.142,0,0,15,14,1.503,1.454,1.478,6,0x17,1,-1.000,0.052,0.089,0.052,0.013,-1.000,0x1fff
1/9/2024 2:15:39 PM,208,2,128,1704834939000,44.300,12.056,5.250,8.669,0.001,0.997,0.070,-0.018,0.000,0.036,0.140,0,0,15,14,1.497,1.452,1.476,7,0x17,2,-1.000,0.054,0.089,0.054,0.013,-1.000,0x1fff
1/9/2024 2:25:39 PM,208,2,128,1704835539000,38.800,12.060,3.688,6.992,0.001,0.998,0.058,-0.018,0.001,0.035,0.117,0,0,15,12,1.453,1.407,1.433,6,0x17,0,-1.000,0.097,0.089,0.097,0.024,-1.000,0x1fff
1/9/2024 2:35:39 PM,208,2,128,1704836139000,42.600,12.080,2.938,6.369,0.002,0.998,0.063,-0.017,0.002,0.034,0.126,0,0,13,11,1.490,1.445,1.472,6,0x17,0,-1.000,0.058,0.089,0.097,0.014,-1.000,0x1fff
1/9/2024 2:45:39 PM,208,2,128,1704836739000,44.800,12.088,2.813,6.225,0.002,0.998,0.067,-0.017,0.001,0.034,0.134,0,0,13,11,1.500,1.455,1.482,6,0x17,0,-1.000,0.048,0.089,0.097,0.012,-1.000,0x1fff
1/9/2024 2:55:39 PM,208,2,128,1704837339000,44.700,12.064,3.375,6.608,0.002,0.998,0.065,-0.017,0.001,0.034,0.130,0,0,13,12,1.500,1.455,1.481,6,0x17,0,-1.000,0.049,0.089,0.097,0.012,-1.000,0x1fff
1/9/2024 3:05:39 PM,208,2,128,1704837939000,39.900,12.064,3.688,7.135,0.002,0.998,0.066,-0.017,0.001,0.034,0.132,0,0,13,12,1.500,1.455,1.481,6,0x17,0,-1.000,0.049,0.089,0.097,0.012,-1.000,0x1fff
1/9/2024 3:15:39 PM,208,2,128,1704838539000,43.000,-16.288,3.813,7.279,0.002,0.998,0.066,-0.017,0.001,0.034,0.131,0,0,13,12,1.500,1.455,1.481,6,0x17,0,-1.000,0.049,0.089,0.097,0.012,-1.000,0x1fff
1/9/2024 3:25:39 PM,208,2,128,1704839139000,45.000,12.064,4.125,7.279,0.002,0.998,0.068,-0.018,0.001,0.037,0.136,0,0,14,13,1.501,1.456,1.481,6,0x17,0,-1.000,0.049,0.089,0.097,0.012,-1.000,0x1fff
1/9/2024 3:35:39 PM,208,2,128,1704839739000,42.900,12.060,4.313,7.758,0.002,0.997,0.071,-0.017,0.002,0.034,0.141,0,0,14,13,1.510,1.461,1.486,6,0x17,1,-1.000,0.044,0.089,0.097,0.011,-1.000,0x1fff
