DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
11/15/2023 2:05:39 PM,208,2,128,1700082339000,42.100,13.112,21.938,24.819,0.012,-0.999,-0.031,0.010,-0.025,0.019,0.062,0,0,31,29,1.573,1.516,1.525,10,0x17,18,-1.000,0.005,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 2:15:39 PM,208,2,128,1700082939000,42.200,13.108,21.250,24.292,0.012,-0.999,-0.031,0.010,-0.026,0.019,0.062,0,0,31,29,1.571,1.514,1.523,10,0x17,18,-1.000,0.007,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 2:25:39 PM,208,2,128,1700083539000,41.700,13.108,21.438,24.483,0.012,-0.999,-0.031,0.010,-0.025,0.019,0.062,0,0,31,29,1.570,1.513,1.522,10,0x17,18,-1.000,0.008,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 2:35:39 PM,208,2,128,1700084139000,41.400,13.108,21.750,24.819,0.012,-0.999,-0.031,0.010,-0.026,0.020,0.062,0,0,31,29,1.573,1.516,1.525,10,0x17,18,-1.000,0.005,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 2:45:39 PM,208,2,128,1700084739000,42.100,13.108,21.750,24.675,0.012,-0.999,-0.031,0.010,-0.026,0.018,0.062,0,0,31,29,1.571,1.514,1.523,10,0x17,18,-1.000,0.007,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 2:55:39 PM,208,2,128,1700085339000,42.700,13.108,21.250,24.292,0.012,-0.999,-0.031,0.010,-0.025,0.019,0.063,0,0,31,29,1.573,1.516,1.525,12,0x17,18,-1.000,0.005,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 3:05:39 PM,208,2,128,1700085939000,41.900,13.112,21.250,24.148,0.012,-0.999,-0.031,0.010,-0.025,0.019,0.063,0,0,31,29,1.571,1.514,1.523,10,0x17,18,-1.000,0.007,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 3:15:39 PM,208,2,128,1700086539000,42.100,13.112,21.313,24.292,0.013,-0.999,-0.031,0.010,-0.026,0.019,0.063,0,0,30,28,1.571,1.514,1.523,10,0x17,18,-1.000,0.007,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 3:25:39 PM,208,2,128,1700087139000,37.200,13.112,21.375,24.340,0.012,-0.999,-0.031,0.009,-0.025,0.018,0.063,0,0,30,29,1.573,1.516,1.525,10,0x17,18,-1.000,0.005,0.000,0.000,0.001,-1.000,0x1fff
11/15/2023 3:35:39 PM,208,2,128,1700087739000,42.700,13.116,21.250,24.004,0.012,-0.999,-0.031,0.010,-0.025,0.019,0.063,0,0,30,28,1.571,1.514,1.523,10,0x17,17,-1.000,0.007,0.000,0.000,0.001,-1.000,0x1fff
