DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
12/23/2022 2:16:09 PM,208,2,128,1671830169000,58.400,13.268,-4.938,-0.389,0.002,0.316,-0.949,-0.000,0.002,-0.003,-2.500,0,0,4,1,2.040,1.985,2.019,6,0x17,-8,-1.000,0.000,0.000,0.000,0.000,-1.000,0x1fff
12/23/2022 2:26:09 PM,208,2,128,1671830769000,40.900,12.380,-4.625,-0.245,0.003,-0.310,0.951,-0.001,-0.004,0.005,-2.512,0,0,5,2,2.040,1.985,2.019,7,0x17,-7,-1.000,0.000,0.000,0.000,0.000,-1.000,0x1fff
12/23/2022 2:36:09 PM,208,2,128,1671831369000,41.300,12.256,-4.563,-0.245,0.000,0.329,-0.944,-0.004,0.008,0.002,-2.472,0,0,5,2,2.031,1.976,2.010,7,0x17,-7,-1.000,0.009,0.000,0.000,0.002,-1.000,0x1fff
12/23/2022 2:46:09 PM,208,2,128,1671831969000,41.600,12.412,-4.438,0.139,0.000,0.328,-0.945,-0.004,0.008,0.003,-2.474,0,0,5,2,1.990,1.932,1.965,6,0x17,-7,-1.000,0.054,0.000,0.054,0.012,-1.000,0x1fff
12/23/2022 2:48:34 PM,208,2,128,1671832114000,40.900,12.408,-4.375,0.091,0.000,-0.328,0.945,0.004,0.008,0.003,-2.474,0,0,5,2,1.994,1.937,1.970,6,0x17,-7,-1.000,0.005,0.000,0.054,0.001,-1.000,0x1fff
12/23/2022 2:58:34 PM,208,2,128,1671832714000,38.500,12.408,-4.375,0.139,0.000,0.327,-0.945,-0.005,0.009,0.003,-2.475,0,0,5,2,1.994,1.937,1.970,6,0x17,-7,-1.000,0.005,0.000,0.054,0.001,-1.000,0x1fff
12/23/2022 3:08:34 PM,208,2,128,1671833314000,40.900,12.460,-4.500,0.043,0.000,-0.327,0.945,0.005,0.009,0.003,-2.475,0,0,5,2,1.994,1.937,1.971,6,0x17,-7,-1.000,0.004,0.000,0.054,0.001,-1.000,0x1fff
12/23/2022 3:18:34 PM,208,2,128,1671833914000,41.300,12.452,-4.625,-0.149,0.001,-0.327,0.945,0.005,0.008,0.004,-2.476,0,0,5,1,1.990,1.932,1.966,55990,0x17,-7,-1.000,0.004,0.000,0.054,0.001,-1.000,0x15ff
12/23/2022 3:28:34 PM,208,2,128,1671834514000,37.600,12.456,-4.625,-0.149,0.001,-0.326,0.945,0.005,0.008,0.005,-2.476,0,0,5,2,1.990,1.932,1.966,5,0x17,-7,-1.000,0.009,0.000,0.054,0.002,-1.000,0x1fff
12/23/2022 3:38:34 PM,208,2,128,1671835114000,40.600,12.424,-4.563,0.139,0.000,-0.326,0.945,0.005,0.009,0.004,-2.477,0,0,5,1,1.990,1.932,1.966,6,0x17,-7,-1.000,0.009,0.000,0.054,0.002,-1.000,0x1fff
12/23/2022 3:48:34 PM,208,2,128,1671835714000,35.700,12.444,-4.500,0.043,0.001,-0.326,0.945,0.005,0.008,0.004,-2.477,0,0,5,1,1.990,1.932,1.966,6,0x17,-7,-1.000,0.009,0.000,0.054,0.002,-1.000,0x1fff
12/23/2022 3:58:34 PM,208,2,128,1671836314000,40.400,12.460,-4.313,0.234,0.001,-0.326,0.945,0.005,0.008,0.004,-2.477,0,0,5,2,1.990,1.932,1.965,6,0x17,-7,-1.000,0.010,0.000,0.054,0.002,-1.000,0x1ffe
12/23/2022 4:08:34 PM,208,2,128,1671836914000,41.100,12.448,-4.188,0.234,0.001,-0.325,0.946,0.005,0.008,0.005,-2.479,0,0,5,2,1.990,1.932,1.965,6,0x17,-7,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 4:18:34 PM,208,2,128,1671837514000,38.900,12.436,-3.938,0.426,0.001,-0.325,0.946,0.005,0.009,0.005,-2.479,0,0,5,2,1.990,1.932,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 4:28:34 PM,208,2,128,1671838114000,40.800,12.440,-3.563,0.810,0.001,-0.325,0.946,0.005,0.008,0.005,-2.479,0,0,6,3,1.990,1.932,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 4:38:34 PM,208,2,128,1671838714000,40.400,12.428,-3.563,1.001,0.001,-0.325,0.946,0.005,0.009,0.005,-2.480,0,0,6,3,1.990,1.932,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 4:48:34 PM,208,2,128,1671839314000,41.500,12.424,-3.563,0.953,0.001,-0.325,0.946,0.005,0.009,0.005,-2.480,0,0,6,3,1.993,1.936,1.969,6,0x17,-6,-1.000,0.006,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 4:58:34 PM,208,2,128,1671839914000,36.300,12.420,-3.438,1.097,0.002,-0.324,0.946,0.005,0.008,0.006,-2.481,0,0,6,3,1.990,1.932,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 5:08:34 PM,208,2,128,1671840514000,35.600,12.420,-3.438,0.953,0.002,-0.324,0.946,0.005,0.008,0.007,-2.481,0,0,6,3,1.990,1.932,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 5:18:34 PM,208,2,128,1671841114000,39.900,12.420,-3.313,1.097,0.001,-0.324,0.946,0.005,0.009,0.006,-2.482,0,0,6,3,1.996,1.939,1.971,6,0x17,-6,-1.000,0.004,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 5:28:34 PM,208,2,128,1671841714000,41.100,12.420,-3.188,1.193,0.002,-0.324,0.946,0.005,0.008,0.007,-2.482,0,0,6,3,1.991,1.933,1.965,6,0x17,-6,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 5:38:34 PM,208,2,128,1671842314000,39.000,12.420,-3.000,1.337,0.002,-0.323,0.946,0.005,0.008,0.008,-2.483,0,0,6,3,1.991,1.933,1.965,6,0x17,-5,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 5:48:34 PM,208,2,128,1671842914000,40.700,12.420,-2.875,1.528,0.002,-0.323,0.946,0.005,0.009,0.008,-2.483,0,0,6,3,1.991,1.933,1.965,6,0x17,-5,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 5:58:34 PM,208,2,128,1671843514000,40.600,12.420,-2.938,1.528,0.002,-0.323,0.946,0.005,0.008,0.008,-2.484,0,0,7,4,1.990,1.932,1.964,6,0x17,-5,-1.000,0.011,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 6:08:34 PM,208,2,128,1671844114000,40.900,12.416,-2.875,1.720,0.002,-0.323,0.946,0.005,0.009,0.008,-2.484,0,0,7,4,1.993,1.936,1.968,6,0x17,-5,-1.000,0.007,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 6:18:34 PM,208,2,128,1671844714000,39.300,12.416,-2.813,1.528,0.002,-0.323,0.947,0.005,0.009,0.008,-2.485,0,0,7,3,1.994,1.937,1.969,6,0x17,-5,-1.000,0.006,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 6:28:34 PM,208,2,128,1671845314000,41.200,12.420,-2.688,1.720,0.003,-0.322,0.947,0.005,0.008,0.009,-2.485,0,0,7,4,1.996,1.939,1.971,6,0x17,-5,-1.000,0.004,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 6:38:34 PM,208,2,128,1671845914000,40.500,12.420,-2.500,1.720,0.003,-0.322,0.947,0.006,0.009,0.009,-2.486,0,0,7,4,2.000,1.943,1.975,6,0x17,-5,-1.000,0.000,0.054,0.000,0.000,-1.000,0x1fff
12/23/2022 6:48:34 PM,208,2,128,1671846514000,38.700,12.420,-2.500,1.864,0.003,-0.322,0.947,0.006,0.009,0.008,-2.486,0,0,7,4,1.991,1.933,1.965,6,0x17,-5,-1.000,0.010,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 6:58:34 PM,208,2,128,1671847114000,37.100,12.420,-2.500,1.864,0.003,-0.322,0.947,0.006,0.009,0.009,-2.487,0,0,7,4,1.993,1.936,1.968,6,0x17,-5,-1.000,0.007,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 7:08:34 PM,208,2,128,1671847714000,38.300,12.416,-2.375,2.056,0.003,-0.321,0.947,0.006,0.009,0.010,-2.487,0,0,7,4,1.994,1.937,1.969,6,0x17,-5,-1.000,0.006,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 7:18:34 PM,208,2,128,1671848314000,40.800,12.416,-2.313,2.151,0.003,-0.321,0.947,0.006,0.009,0.009,-2.488,0,0,7,4,1.996,1.939,1.970,6,0x17,-5,-1.000,0.005,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 7:28:34 PM,208,2,128,1671848914000,39.800,12.412,-2.188,2.056,0.003,-0.321,0.947,0.006,0.009,0.010,-2.488,0,0,7,4,2.000,1.943,1.974,6,0x17,-5,-1.000,0.001,0.054,0.000,0.000,-1.000,0x1fff
12/23/2022 7:38:34 PM,208,2,128,1671849514000,36.400,12.420,-2.125,2.247,0.004,-0.321,0.947,0.006,0.008,0.011,-2.489,0,0,7,5,1.996,1.939,1.970,6,0x17,-5,-1.000,0.005,0.054,0.000,0.001,-1.000,0x1fff
12/23/2022 7:48:34 PM,208,2,128,1671850114000,41.300,12.420,-2.063,2.247,0.004,-0.321,0.947,0.006,0.009,0.011,-2.489,0,0,7,4,1.990,1.932,1.963,6,0x17,-4,-1.000,0.012,0.054,0.000,0.003,-1.000,0x1fff
12/23/2022 7:58:34 PM,208,2,128,1671850714000,41.000,12.416,-2.000,2.535,0.004,-0.320,0.947,0.006,0.009,0.011,-2.490,0,0,7,4,1.990,1.932,1.963,6,0x17,-4,-1.000,0.012,0.054,0.000,0.003,-1.000,0x1fff
12/23/2022 8:08:34 PM,208,2,128,1671851314000,39.700,12.416,-2.000,2.535,0.004,-0.320,0.947,0.006,0.009,0.011,-2.490,0,0,7,4,1.991,1.933,1.964,6,0x17,-4,-1.000,0.011,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 8:18:34 PM,208,2,128,1671851914000,41.600,12.420,-1.875,2.487,0.004,-0.320,0.947,0.006,0.009,0.011,-2.491,0,0,7,5,1.993,1.936,1.967,6,0x17,-4,-1.000,0.008,0.054,0.000,0.002,-1.000,0x1fff
12/23/2022 8:28:34 PM,208,2,128,1671852514000,41.600,12.416,-1.875,2.391,0.004,-0.320,0.948,0.006,0.009,0.011,-2.491,0,0,8,5,1.990,1.932,1.963,6,0x17,-4,-1.000,0.012,0.054,0.000,0.003,-1.000,0x1fff
12/23/2022 8:38:34 PM,208,2,128,1671853114000,41.100,12.416,-1.875,2.487,0.004,-0.319,0.948,0.006,0.009,0.011,-2.491,0,0,8,5,1.990,1.932,1.963,6,0x17,-4,-1.000,0.012,0.054,0.000,0.003,-1.000,0x1fff
12/23/2022 8:48:34 PM,208,2,128,1671853714000,40.400,12.416,-1.938,2.487,0.005,-0.319,0.948,0.006,0.009,0.013,-2.492,0,0,8,4,1.990,1.932,1.963,6,0x17,-4,-1.000,0.012,0.054,0.000,0.003,-1.000,0x1fff
