DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
Fri Dec 23 14:16:09 2022,2,1671830169000,58.400,13.268,-4.938,-0.389,0.002,-0.003,-2.500,0,0,1,2.019,6,-1.000,0.000,0.000,0.000,0x1fff
Fri Dec 23 14:26:09 2022,2,1671830769000,40.900,12.380,-4.625,-0.245,-0.004,0.005,-2.512,0,0,2,2.019,7,-1.000,0.000,0.000,0.000,0x1fff
Fri Dec 23 14:36:09 2022,2,1671831369000,41.300,12.256,-4.563,-0.245,0.008,0.002,-2.472,0,0,2,2.010,7,-1.000,0.009,0.000,0.000,0x1fff
Fri Dec 23 14:46:09 2022,2,1671831969000,41.600,12.412,-4.438,0.139,0.008,0.003,-2.474,0,0,2,1.965,6,-1.000,0.054,0.000,0.054,0x1fff
Fri Dec 23 14:48:34 2022,2,1671832114000,40.900,12.408,-4.375,0.091,0.008,0.003,-2.474,0,0,2,1.970,6,-1.000,0.005,0.000,0.054,0x1fff
Fri Dec 23 14:58:34 2022,2,1671832714000,38.500,12.408,-4.375,0.139,0.009,0.003,-2.475,0,0,2,1.970,6,-1.000,0.005,0.000,0.054,0x1fff
Fri Dec 23 15:08:34 2022,2,1671833314000,40.900,12.460,-4.500,0.043,0.009,0.003,-2.475,0,0,2,1.971,6,-1.000,0.004,0.000,0.054,0x1fff
Fri Dec 23 15:18:34 2022,2,1671833914000,41.300,12.452,-4.625,-0.149,0.008,0.004,-2.476,0,0,1,1.966,55990,-1.000,0.004,0.000,0.054,0x15ff
Fri Dec 23 15:28:34 2022,2,1671834514000,37.600,12.456,-4.625,-0.149,0.008,0.005,-2.476,0,0,2,1.966,5,-1.000,0.009,0.000,0.054,0x1fff
Fri Dec 23 15:38:34 2022,2,1671835114000,40.600,12.424,-4.563,0.139,0.009,0.004,-2.477,0,0,1,1.966,6,-1.000,0.009,0.000,0.054,0x1fff
