DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
12/1/2023 1:36:42 PM,2,1701463002000,39.800,12.624,2.438,6.896,-0.012,0.038,-0.003,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 1:46:42 PM,2,1701463602000,40.500,12.620,2.500,6.992,-0.013,0.038,-0.003,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 1:56:42 PM,2,1701464202000,41.000,12.624,2.563,7.135,-0.012,0.038,-0.002,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 2:06:42 PM,2,1701464802000,41.000,12.624,2.750,7.231,-0.012,0.038,-0.001,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 2:16:42 PM,2,1701465402000,40.700,12.620,2.750,6.896,-0.011,0.037,-0.001,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 2:26:42 PM,2,1701466002000,39.900,12.616,2.688,7.087,-0.011,0.037,-0.000,0,0,10,6,-1.000,0.096,7.856,0.106,0x1fff
12/1/2023 2:36:42 PM,2,1701466602000,39.700,12.620,2.688,6.992,-0.012,0.038,0.000,0,0,10,6,-1.000,0.097,7.856,0.106,0x1fff
12/1/2023 2:46:42 PM,2,1701467202000,40.800,12.616,2.688,7.135,-0.012,0.037,0.000,0,0,10,6,-1.000,0.103,7.856,0.106,0x1fff
12/1/2023 2:56:42 PM,2,1701467802000,40.800,12.616,2.813,7.279,-0.012,0.037,-0.002,0,0,10,6,-1.000,0.106,7.856,0.106,0x1fff
12/1/2023 3:06:42 PM,2,1701468402000,37.300,12.620,3.125,7.327,-0.012,0.038,-0.005,0,0,10,6,-1.000,0.118,7.856,0.118,0x1fff
12/1/2023 3:16:42 PM,2,1701469002000,36.100,12.620,3.188,7.615,-0.011,0.036,0.016,0,0,11,6,-1.000,0.140,7.856,0.140,0x1fff
12/1/2023 3:26:42 PM,2,1701469602000,40.900,12.616,3.188,7.519,-0.011,0.036,0.027,0,0,11,6,-1.000,0.129,7.856,0.140,0x1fff
12/1/2023 3:36:42 PM,2,1701470202000,41.500,12.616,2.875,7.279,-0.013,0.036,0.016,0,0,10,6,-1.000,0.117,7.856,0.140,0x1fff
12/1/2023 3:46:42 PM,2,1701470802000,40.400,12.616,2.813,7.327,-0.012,0.038,0.016,0,0,10,6,-1.000,0.116,7.856,0.140,0x1fff
12/1/2023 3:56:42 PM,2,1701471402000,41.200,12.620,2.813,7.279,-0.012,0.037,0.013,0,0,10,6,-1.000,0.107,7.856,0.140,0x1fff
12/1/2023 4:06:42 PM,2,1701472002000,39.200,12.612,2.875,7.423,-0.012,0.039,0.007,0,0,10,6,-1.000,0.106,7.856,0.140,0x1fff
12/1/2023 4:16:42 PM,2,1701472602000,40.300,12.608,2.750,7.135,-0.012,0.039,0.005,0,0,10,6,-1.000,0.106,7.856,0.140,0x1fff
12/1/2023 4:26:42 PM,2,1701473202000,40.300,12.612,2.625,6.992,-0.011,0.040,0.005,0,0,10,6,-1.000,0.107,7.856,0.140,0x1fff
12/1/2023 4:36:42 PM,2,1701473802000,40.700,12.608,2.563,6.944,-0.012,0.038,0.010,0,0,10,6,-1.000,0.106,7.856,0.140,0x1fff
12/1/2023 4:46:42 PM,2,1701474402000,40.900,12.612,2.625,6.992,-0.011,0.038,-0.013,0,0,10,6,-1.000,0.110,7.856,0.140,0x1fff
12/1/2023 4:56:42 PM,2,1701475002000,40.900,12.604,2.563,7.231,-0.010,0.039,-0.021,0,0,10,6,-1.000,0.106,7.856,0.140,0x1fff
12/1/2023 5:06:42 PM,2,1701475602000,40.700,12.616,2.625,6.992,-0.012,0.038,0.001,0,0,10,6,-1.000,0.106,7.996,0.000,0x1fff
12/1/2023 5:16:42 PM,2,1701476202000,41.300,12.612,2.625,7.231,-0.010,0.030,-0.003,0,0,10,6,-1.000,0.106,7.996,0.000,0x1fff
12/1/2023 5:26:42 PM,2,1701476802000,39.800,12.612,2.625,6.944,-0.012,0.036,0.007,0,0,10,6,-1.000,0.105,7.996,0.000,0x1fff
12/1/2023 5:36:42 PM,2,1701477402000,41.400,12.608,2.563,6.992,-0.012,0.036,0.012,0,0,10,6,-1.000,0.105,7.996,0.000,0x1fff
12/1/2023 5:46:42 PM,2,1701478002000,40.800,12.608,2.500,6.896,-0.013,0.037,0.022,0,0,10,6,-1.000,0.102,7.996,0.000,0x1fff
12/1/2023 5:56:42 PM,2,1701478602000,38.100,12.608,2.563,6.992,-0.012,0.037,0.031,0,0,10,6,-1.000,0.102,7.996,0.000,0x1fff
12/1/2023 6:06:42 PM,2,1701479202000,35.500,12.612,2.625,6.896,-0.012,0.037,0.047,0,0,10,6,-1.000,0.097,7.996,0.000,0x1fff
12/1/2023 6:16:42 PM,2,1701479802000,40.900,12.612,2.563,6.800,-0.012,0.037,0.049,0,0,10,6,-1.000,0.097,7.996,0.000,0x1fff
12/1/2023 6:26:42 PM,2,1701480402000,35.600,12.608,2.500,6.944,-0.012,0.036,0.052,0,0,10,6,-1.000,0.097,7.996,0.000,0x1fff
12/1/2023 6:36:42 PM,2,1701481002000,41.100,12.608,2.500,6.992,-0.012,0.039,0.051,0,0,10,6,-1.000,0.096,7.996,0.000,0x1fff
12/1/2023 6:46:42 PM,2,1701481602000,38.300,12.608,2.438,6.896,-0.011,0.038,0.047,0,0,10,6,-1.000,0.096,7.996,0.000,0x1fff
12/1/2023 6:56:42 PM,2,1701482202000,40.900,12.608,2.438,6.800,-0.012,0.038,0.042,0,0,10,6,-1.000,0.106,7.996,0.000,0x1fff
12/1/2023 7:06:42 PM,2,1701482802000,41.200,12.604,2.375,6.992,-0.012,0.037,0.036,0,0,10,6,-1.000,0.106,7.996,0.000,0x1fff
12/1/2023 7:16:42 PM,2,1701483402000,35.400,12.608,2.375,6.752,-0.012,0.041,0.034,0,0,9,6,-1.000,0.118,7.996,0.022,0x1fff
12/1/2023 7:26:42 PM,2,1701484002000,35.600,12.608,2.313,6.608,-0.011,0.036,0.035,0,0,10,6,-1.000,0.100,7.996,0.022,0x1fff
12/1/2023 7:36:42 PM,2,1701484602000,39.700,12.608,2.375,6.896,-0.012,0.037,0.014,0,0,10,6,-1.000,0.096,7.996,0.022,0x1fff
12/1/2023 7:46:42 PM,2,1701485202000,35.200,12.608,2.500,6.944,-0.011,0.040,0.053,0,0,10,6,-1.000,0.096,7.996,0.022,0x1fff
