DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
9/15/2023 11:05:39 AM,208,2,128,1694797539000,38.900,13.628,26.500,30.665,0.203,0.424,0.880,-0.072,0.049,0.431,2.233,3,0,35,35,2.039,1.984,1.988,11,0x17,23,-1.000,0.000,5.745,0.000,0.000,-1.000,0x1fff
11/4/2023 12:06:53 AM,208,2,128,1699078013000,43.500,11.944,24.625,28.365,0.091,0.183,0.979,0.004,0.042,0.178,2.767,1,0,25,25,0.060,-0.004,0.002,6,0x17,22,-1.000,1.961,5.745,1.961,0.546,-1.000,0x1fff
11/4/2023 12:08:28 AM,208,2,128,1699078108000,44.300,11.940,25.438,29.228,0.091,-0.022,0.996,-0.000,-0.004,0.182,-3.098,1,0,31,31,0.070,0.006,0.011,6,0x17,23,-1.000,1.952,5.745,1.961,0.543,-1.000,0x1fff
11/4/2023 12:18:24 AM,208,2,128,1699078704000,44.300,11.936,29.250,33.493,0.090,-0.022,0.996,-0.000,-0.005,0.180,-3.097,1,0,32,37,0.080,0.016,0.018,6,0x17,26,-1.000,1.945,5.745,1.961,0.540,-1.000,0x1fff
11/4/2023 12:23:19 AM,208,2,128,1699078999000,44.200,11.936,30.188,34.355,0.131,-0.693,0.709,0.000,-0.185,0.187,-1.577,5,0,39,39,0.100,0.036,0.037,6,0x17,28,-1.000,1.926,5.745,1.961,0.533,-1.000,0x1fff
11/4/2023 7:46:46 PM,208,2,128,1699148806000,39.100,13.352,13.000,16.576,0.042,-0.863,0.503,0.002,-0.071,0.046,-1.054,4,0,14,14,1.971,1.912,1.929,13,0x17,11,-1.000,0.034,5.745,1.961,0.006,-1.000,0x1fff
11/4/2023 7:56:42 PM,208,2,128,1699149402000,38.900,13.348,14.625,19.068,0.007,-0.883,0.470,0.004,-0.008,0.015,-0.979,0,0,24,22,2.010,1.954,1.970,13,0x17,12,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:06:42 PM,208,2,128,1699150002000,39.100,13.340,13.313,17.774,0.008,-0.883,0.469,0.006,-0.009,0.018,-0.977,0,0,24,21,2.009,1.953,1.970,13,0x17,10,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:16:42 PM,208,2,128,1699150602000,39.500,13.332,12.250,16.624,0.008,-0.883,0.469,0.006,-0.009,0.018,-0.977,0,0,23,19,2.009,1.953,1.971,13,0x17,9,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:26:42 PM,208,2,128,1699151202000,37.500,13.324,11.563,16.097,0.009,-0.883,0.469,0.006,-0.009,0.019,-0.976,0,0,22,19,2.010,1.954,1.972,13,0x17,9,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:36:42 PM,208,2,128,1699151802000,35.800,13.320,11.125,15.666,0.008,-0.883,0.469,0.007,-0.009,0.020,-0.977,0,0,21,19,2.010,1.954,1.973,13,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:46:42 PM,208,2,128,1699152402000,38.500,13.316,11.000,15.234,0.008,-0.883,0.469,0.007,-0.009,0.020,-0.977,0,0,21,18,2.009,1.953,1.972,12,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 8:56:42 PM,208,2,128,1699153002000,39.500,13.312,10.938,15.234,0.008,-0.883,0.469,0.007,-0.009,0.020,-0.976,0,0,20,18,2.010,1.954,1.973,12,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 9:06:42 PM,208,2,128,1699153602000,39.000,13.308,10.813,15.330,0.009,-0.883,0.469,0.007,-0.010,0.021,-0.976,0,0,20,18,2.010,1.954,1.973,12,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 9:16:42 PM,208,2,128,1699154202000,39.200,13.304,10.750,15.234,0.009,-0.883,0.469,0.007,-0.010,0.021,-0.976,0,0,20,18,2.010,1.954,1.973,12,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 9:26:42 PM,208,2,128,1699154802000,34.000,13.300,10.750,15.138,0.009,-0.883,0.469,0.007,-0.010,0.021,-0.975,0,0,20,18,2.009,1.953,1.972,12,0x17,8,-1.000,0.000,7.706,0.000,0.000,-1.000,0x1fff
11/4/2023 9:36:42 PM,208,2,128,1699155402000,35.100,13.296,10.750,15.043,0.009,-0.883,0.468,0.007,-0.009,0.021,-0.975,0,0,20,18,1.991,1.933,1.952,13,0x17,8,-1.000,0.018,7.706,0.018,0.003,-1.000,0x1fff
11/4/2023 9:46:42 PM,208,2,128,1699156002000,34.200,13.292,10.813,15.330,0.009,-0.884,0.468,0.007,-0.009,0.021,-0.975,0,0,20,18,2.010,1.954,1.973,12,0x17,8,-1.000,0.000,7.706,0.018,0.000,-1.000,0x1fff
11/4/2023 9:56:42 PM,208,2,128,1699156602000,38.000,13.288,10.875,15.426,0.009,-0.884,0.468,0.008,-0.009,0.022,-0.974,0,0,20,18,1.981,1.922,1.941,13,0x17,8,-1.000,0.029,7.706,0.029,0.005,-1.000,0x1fff
11/4/2023 10:06:42 PM,208,2,128,1699157202000,33.900,13.284,10.813,15.186,0.009,-0.884,0.468,0.008,-0.009,0.022,-0.974,0,0,20,18,2.001,1.944,1.963,13,0x17,8,-1.000,0.007,7.706,0.029,0.001,-1.000,0x1fff
