DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/9/2024 3:12:16 PM,208,2,128,1712697136000,40.200,13.248,16.125,20.506,0.003,-0.878,-0.479,0.016,-0.021,0.026,1.000,0,0,26,23,2.040,1.985,1.999,10,0x17,13,-1.000,0.026,13.988,0.000,0.009,-1.000,0x1fff
4/9/2024 3:22:16 PM,208,2,128,1712697736000,39.100,13.256,15.625,19.979,0.004,-0.876,-0.483,0.016,-0.023,0.024,1.008,0,0,26,23,2.040,1.985,2.000,10,0x17,13,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 3:32:16 PM,208,2,128,1712698336000,43.300,13.248,15.250,19.883,0.005,-0.883,-0.468,0.015,-0.022,0.021,0.975,0,0,25,23,2.041,1.987,2.002,10,0x17,12,-1.000,0.023,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 3:42:16 PM,208,2,128,1712698936000,37.600,13.256,15.063,19.356,0.004,-0.875,-0.483,0.016,-0.023,0.024,1.009,0,0,25,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 3:52:16 PM,208,2,128,1712699536000,36.200,13.252,14.688,18.876,0.004,-0.881,-0.474,0.016,-0.023,0.024,0.987,0,0,25,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 4:02:16 PM,208,2,128,1712700136000,40.200,13.252,15.188,19.643,0.005,-0.877,-0.480,0.015,-0.023,0.022,1.003,0,0,24,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 4:12:16 PM,208,2,128,1712700736000,38.200,13.256,15.250,19.739,0.004,-0.866,-0.500,0.015,-0.023,0.022,1.048,0,0,25,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 4:22:16 PM,208,2,128,1712701336000,39.700,13.248,15.500,19.643,0.004,-0.864,-0.504,0.013,-0.019,0.019,1.056,0,0,25,23,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 4:32:16 PM,208,2,128,1712701936000,39.400,13.252,15.313,19.547,0.004,-0.858,-0.514,0.016,-0.023,0.024,1.079,0,0,25,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
4/9/2024 4:42:16 PM,208,2,128,1712702536000,40.100,13.256,15.250,19.356,0.003,-0.856,-0.517,0.014,-0.020,0.022,1.086,0,0,25,22,2.040,1.985,2.000,10,0x17,12,-1.000,0.025,13.988,0.000,0.008,-1.000,0x1fff
