DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/14/2024 8:11:58 AM,208,2,128,1707923518000,47.900,9.564,-2.688,1.480,0.022,-0.340,0.940,-0.001,-0.016,0.041,-2.446,0,0,6,3,0.059,-0.005,0.027,7,0x17,-5,-1.000,1.943,11.312,1.808,0.706,-1.000,0x1fff
3/13/2024 8:33:34 PM,208,2,128,1710383614000,41.000,11.952,22.500,26.257,0.021,0.283,0.938,-0.201,-0.378,0.154,2.585,5,0,23,24,0.101,0.037,0.045,13,0x17,20,-1.000,1.789,11.312,1.808,0.676,-1.000,0x1fff
3/13/2024 8:41:49 PM,208,2,128,1710384109000,39.500,11.944,26.188,30.330,0.104,-0.223,0.969,0.010,-0.028,0.208,-2.687,1,0,34,35,1.663,1.593,1.598,56,0x15,24,-1.000,0.372,11.312,1.808,0.120,-1.000,0x1fff
3/13/2024 8:51:45 PM,208,2,128,1710384705000,41.300,11.944,27.625,31.911,0.105,-0.222,0.969,0.010,-0.028,0.209,-2.687,1,0,36,37,0.799,0.730,0.733,56,0x15,25,-1.000,1.237,11.312,1.808,0.443,-1.000,0x1fff
3/13/2024 9:01:45 PM,208,2,128,1710385305000,44.600,11.948,28.063,32.439,0.105,-0.222,0.969,0.010,-0.028,0.210,-2.688,1,0,37,37,0.781,0.710,0.713,56,0x15,25,-1.000,1.257,11.312,1.808,0.451,-1.000,0x1fff
3/13/2024 9:11:45 PM,208,2,128,1710385905000,37.900,11.956,28.188,32.391,0.105,-0.222,0.969,0.010,-0.029,0.210,-2.688,1,0,38,37,2.463,2.412,2.415,56,0x15,25,-1.000,0.000,11.312,1.808,0.000,-1.000,0x1fff
3/13/2024 9:21:45 PM,208,2,128,1710386505000,44.600,11.948,28.250,32.774,0.105,-0.222,0.969,0.009,-0.029,0.209,-2.689,1,0,38,37,3.309,3.222,3.225,56,0x15,25,-1.000,0.000,11.312,1.948,0.000,-1.000,0x1fff
3/13/2024 9:31:45 PM,208,2,128,1710387105000,44.600,11.948,28.188,32.582,0.105,-0.221,0.969,0.010,-0.028,0.210,-2.690,1,0,38,37,0.834,0.766,0.769,56,0x15,25,-1.000,1.201,11.312,1.948,0.428,-1.000,0x1fff
3/13/2024 9:41:45 PM,208,2,128,1710387705000,44.000,11.944,28.250,32.534,0.105,-0.221,0.969,0.010,-0.028,0.209,-2.690,1,0,38,37,0.903,0.835,0.838,56,0x15,25,-1.000,1.132,11.312,1.948,0.401,-1.000,0x1fff
3/14/2024 10:25:50 AM,208,2,128,1710433550000,38.600,13.700,6.563,10.682,0.049,-0.639,0.767,0.000,-0.063,0.076,-1.750,0,0,9,7,1.606,1.546,1.569,5,0x17,4,-1.000,0.400,11.312,1.948,0.130,-1.000,0x1fff
3/14/2024 10:42:16 AM,208,2,128,1710434536000,34.700,13.860,9.938,14.276,0.008,-0.652,0.758,-0.006,-0.020,0.004,-1.720,0,0,19,18,1.654,1.584,1.604,6,0x17,7,-1.000,0.421,11.312,1.948,0.137,-1.000,0x1fff
3/14/2024 10:52:16 AM,208,2,128,1710435136000,38.200,13.900,10.500,14.707,0.009,-0.653,0.758,-0.006,-0.020,0.005,-1.719,0,0,20,19,1.653,1.583,1.602,6,0x17,8,-1.000,0.423,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 11:02:16 AM,208,2,128,1710435736000,34.300,13.940,9.625,14.084,0.009,-0.653,0.757,-0.006,-0.021,0.007,-1.719,0,0,21,17,1.653,1.583,1.603,6,0x17,7,-1.000,0.422,11.312,1.948,0.137,-1.000,0x1fff
3/14/2024 11:12:16 AM,208,2,128,1710436336000,33.800,13.948,10.500,14.515,0.009,-0.653,0.757,-0.005,-0.020,0.007,-1.719,0,0,20,18,1.653,1.583,1.602,6,0x17,8,-1.000,0.423,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 11:22:16 AM,208,2,128,1710436936000,38.500,13.932,12.688,16.624,0.010,-0.653,0.757,-0.005,-0.020,0.008,-1.719,0,0,21,20,1.656,1.586,1.603,6,0x17,10,-1.000,0.422,11.312,1.948,0.137,-1.000,0x1fff
3/14/2024 11:32:16 AM,208,2,128,1710437536000,38.300,13.944,13.313,17.295,0.010,-0.653,0.757,-0.005,-0.021,0.008,-1.718,0,0,23,22,1.660,1.590,1.607,6,0x17,10,-1.000,0.418,11.312,1.948,0.136,-1.000,0x1fff
3/14/2024 11:42:16 AM,208,2,128,1710438136000,36.500,14.048,14.625,18.685,0.011,-0.653,0.757,-0.005,-0.021,0.010,-1.718,0,0,24,22,1.651,1.582,1.598,6,0x17,12,-1.000,0.427,11.312,1.948,0.139,-1.000,0x1fff
3/14/2024 11:52:16 AM,208,2,128,1710438736000,39.100,13.952,13.125,17.487,0.011,-0.653,0.757,-0.005,-0.021,0.010,-1.718,0,0,25,21,1.653,1.583,1.600,6,0x17,10,-1.000,0.425,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 12:02:16 PM,208,2,128,1710439336000,38.400,13.932,12.750,16.624,0.011,-0.653,0.757,-0.005,-0.021,0.010,-1.718,0,0,24,21,1.654,1.584,1.601,6,0x17,10,-1.000,0.424,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 12:12:16 PM,208,2,128,1710439936000,38.100,13.940,14.563,18.493,0.011,-0.653,0.757,-0.005,-0.021,0.010,-1.717,0,0,23,23,1.660,1.590,1.606,6,0x17,12,-1.000,0.419,11.312,1.948,0.136,-1.000,0x1fff
3/14/2024 12:22:16 PM,208,2,128,1710440536000,38.600,13.940,14.563,18.541,0.011,-0.653,0.757,-0.005,-0.021,0.010,-1.717,0,0,25,23,1.657,1.587,1.603,6,0x17,12,-1.000,0.422,11.312,1.948,0.137,-1.000,0x1fff
3/14/2024 12:32:16 PM,208,2,128,1710441136000,34.900,13.932,13.813,18.205,0.011,-0.654,0.757,-0.005,-0.022,0.010,-1.717,0,0,25,22,1.654,1.584,1.600,6,0x17,11,-1.000,0.425,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 12:42:16 PM,208,2,128,1710441736000,38.600,13.924,13.063,17.343,0.011,-0.654,0.757,-0.005,-0.022,0.011,-1.717,0,0,24,21,1.654,1.584,1.601,6,0x17,10,-1.000,0.424,11.312,1.948,0.138,-1.000,0x1fff
3/14/2024 12:52:16 PM,208,2,128,1710442336000,38.600,13.936,13.625,17.678,0.011,-0.654,0.757,-0.005,-0.021,0.010,-1.716,0,0,23,22,1.653,1.583,1.599,6,0x17,11,-1.000,0.426,11.312,1.948,0.139,-1.000,0x1fff
