DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
Mon Feb  6 09:36:12 2023,2,1675701372000,41.700,10.424,-0.750,2.774,0.015,0.066,2.431,0,0,-1,1.834,7,-1.000,0.141,2.101,0.000,0x1fff
Thu Mar 30 22:00:17 2023,2,1680235217000,37.000,11.964,19.875,23.573,0.451,-0.531,-2.348,15,0,24,1.580,54,-1.000,0.395,2.101,0.273,0x1ffe
Fri Mar 31 16:46:50 2023,2,1680302810000,33.600,13.172,6.813,10.682,-0.028,0.095,-1.930,1,0,7,1.311,7,-1.000,0.664,2.101,0.542,0x1fff
Fri Mar 31 16:55:40 2023,2,1680303340000,39.100,13.164,8.813,13.030,0.022,0.003,-1.630,0,0,16,1.697,5,-1.000,0.266,2.101,0.542,0x1fff
Fri Mar 31 17:05:39 2023,2,1680303939000,39.800,13.172,9.750,14.180,0.022,0.007,-1.631,0,0,17,1.696,6,-1.000,0.267,2.643,0.000,0x1fff
Fri Mar 31 17:15:39 2023,2,1680304539000,37.700,13.132,9.938,14.372,0.022,0.009,-1.631,0,0,18,1.686,6,-1.000,0.277,2.643,0.000,0x1fff
Fri Mar 31 17:25:39 2023,2,1680305139000,40.400,13.164,9.750,14.132,0.022,0.010,-1.630,0,0,17,1.692,6,-1.000,0.271,2.643,0.000,0x1fff
Fri Mar 31 17:35:39 2023,2,1680305739000,40.700,13.176,8.750,13.269,0.022,0.011,-1.630,0,0,16,1.686,6,-1.000,0.277,2.643,0.000,0x1fff
Fri Mar 31 17:45:39 2023,2,1680306339000,39.400,13.160,8.625,13.222,0.022,0.011,-1.630,0,0,16,1.686,6,-1.000,0.277,2.643,0.000,0x1fff
Fri Mar 31 17:55:39 2023,2,1680306939000,34.600,13.160,8.063,12.359,0.022,0.013,-1.630,0,0,15,1.687,6,-1.000,0.276,2.643,0.000,0x1fff
Fri Mar 31 18:05:39 2023,2,1680307539000,39.800,13.164,7.750,12.263,0.023,0.013,-1.630,0,0,15,1.687,6,-1.000,0.276,2.643,0.000,0x1fff
Fri Mar 31 18:15:39 2023,2,1680308139000,34.600,13.164,7.688,11.880,0.023,0.013,-1.629,0,0,15,1.687,6,-1.000,0.276,2.643,0.000,0x1fff
Fri Mar 31 18:25:39 2023,2,1680308739000,38.200,13.140,7.625,11.880,0.022,0.014,-1.629,0,0,15,1.688,6,-1.000,0.275,2.643,0.000,0x1fff
