DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
Thu Dec 29 14:16:50 2022,2,1672348610000,35.400,12.344,-0.813,2.247,-0.006,-0.549,2.719,0,0,9,1.951,6,-1.000,1.451,0.000,1.451,0x1fff
Thu Dec 29 14:17:15 2022,2,1672348635000,35.300,12.340,-0.813,2.726,-0.006,-0.551,3.122,0,0,10,1.951,7,-1.000,1.451,0.000,1.451,0x1fff
Thu Dec 29 14:21:52 2022,2,1672348912000,35.100,12.344,-0.813,2.678,-0.006,-0.550,3.121,0,0,10,1.950,8,-1.000,1.452,0.000,1.452,0x1fff
Thu Dec 29 14:31:48 2022,2,1672349508000,41.000,12.336,-1.500,1.960,-0.006,-0.551,3.121,0,0,9,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
Thu Dec 29 14:41:48 2022,2,1672350108000,40.300,12.336,-1.750,1.960,-0.006,-0.550,3.121,0,0,8,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
Thu Dec 29 14:51:48 2022,2,1672350708000,41.700,12.336,-1.750,1.528,-0.006,-0.551,3.121,0,0,9,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
Thu Dec 29 15:01:48 2022,2,1672351308000,41.000,12.340,-1.625,1.864,-0.006,-0.551,3.121,0,0,8,1.952,7,-1.000,1.450,0.000,1.452,0x1fff
Thu Dec 29 15:11:48 2022,2,1672351908000,36.900,12.340,-1.813,1.624,-0.007,-0.549,3.120,0,0,8,1.946,7,-1.000,1.456,0.000,1.456,0x1fff
Thu Dec 29 15:21:48 2022,2,1672352508000,35.600,12.336,-2.125,1.433,-0.007,-0.550,3.120,0,0,8,1.946,7,-1.000,1.456,0.000,1.456,0x1fff
Thu Dec 29 15:31:48 2022,2,1672353108000,41.700,12.336,-2.313,1.193,-0.006,-0.550,3.120,0,0,8,1.943,7,-1.000,1.459,0.000,1.459,0x1fff
Thu Dec 29 15:41:48 2022,2,1672353708000,40.400,12.340,-2.188,1.193,-0.006,-0.550,3.120,0,0,8,1.948,7,-1.000,1.454,0.000,1.459,0x1ffe
Thu Dec 29 15:51:48 2022,2,1672354308000,39.000,12.336,-2.125,1.337,-0.006,-0.550,3.119,0,0,8,1.948,7,-1.000,1.454,0.000,1.459,0x1fff
Thu Dec 29 16:01:48 2022,2,1672354908000,40.100,12.340,-2.188,1.145,-0.006,-0.551,3.119,0,0,8,1.942,7,-1.000,1.460,1.459,0.000,0x1fff
Thu Dec 29 16:11:48 2022,2,1672355508000,40.600,12.336,-2.375,1.337,-0.007,-0.550,3.118,0,0,8,1.949,7,-1.000,1.453,1.459,0.000,0x1fff
Thu Dec 29 16:21:48 2022,2,1672356108000,41.500,12.340,-2.563,1.001,-0.007,-0.551,3.118,0,0,8,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 16:31:48 2022,2,1672356708000,41.600,12.340,-2.625,0.905,-0.007,-0.550,3.118,0,0,7,1.953,7,-1.000,1.449,1.459,0.000,0x1fff
Thu Dec 29 16:41:48 2022,2,1672357308000,40.600,12.340,-2.625,0.810,-0.007,-0.550,3.118,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 16:51:48 2022,2,1672357908000,41.200,12.340,-2.688,0.762,-0.007,-0.550,3.118,0,0,7,1.946,7,-1.000,1.456,1.459,0.000,0x1fff
Thu Dec 29 17:01:48 2022,2,1672358508000,40.900,12.344,-2.875,0.666,-0.007,-0.551,3.118,0,0,7,1.944,7,-1.000,1.458,1.459,0.000,0x1fff
Thu Dec 29 17:11:48 2022,2,1672359108000,40.500,12.336,-2.938,0.666,-0.006,-0.551,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 17:21:48 2022,2,1672359708000,40.700,12.340,-2.938,0.570,-0.007,-0.551,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 17:31:48 2022,2,1672360308000,40.900,12.336,-2.938,0.474,-0.007,-0.549,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 17:41:48 2022,2,1672360908000,39.600,12.336,-2.938,0.570,-0.006,-0.550,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 17:51:48 2022,2,1672361508000,41.100,12.336,-2.938,0.570,-0.006,-0.550,3.117,0,0,7,1.942,7,-1.000,1.460,1.459,0.000,0x1fff
Thu Dec 29 18:01:48 2022,2,1672362108000,40.600,12.340,-2.938,0.474,-0.006,-0.550,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 18:11:48 2022,2,1672362708000,36.900,12.340,-2.875,0.666,-0.006,-0.551,3.116,0,0,7,1.944,7,-1.000,1.458,1.459,0.000,0x1fff
Thu Dec 29 18:21:48 2022,2,1672363308000,40.300,12.336,-2.875,0.474,-0.006,-0.551,3.117,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 18:31:48 2022,2,1672363908000,35.200,12.344,-2.813,0.666,-0.006,-0.550,3.116,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 18:41:48 2022,2,1672364508000,39.200,12.340,-2.875,0.666,-0.006,-0.551,3.116,0,0,7,1.943,7,-1.000,1.459,1.459,0.000,0x1fff
Thu Dec 29 18:51:48 2022,2,1672365108000,40.400,12.340,-2.938,0.474,-0.007,-0.551,3.116,0,0,7,1.944,6,-1.000,1.458,1.459,0.000,0x1fff
Thu Dec 29 19:01:48 2022,2,1672365708000,40.200,12.340,-2.938,0.570,-0.006,-0.551,3.116,0,0,7,1.939,7,-1.000,1.463,1.459,0.000,0x1fff
Thu Dec 29 19:11:48 2022,2,1672366308000,41.000,12.336,-2.938,0.474,-0.007,-0.551,3.115,0,0,7,1.939,7,-1.000,1.463,1.459,0.000,0x1fff
Thu Dec 29 19:21:48 2022,2,1672366908000,41.100,12.340,-2.938,0.474,-0.007,-0.550,3.115,0,0,7,1.938,7,-1.000,1.464,1.459,0.000,0x1fff
Thu Dec 29 19:31:48 2022,2,1672367508000,40.500,12.336,-2.938,0.666,-0.006,-0.551,3.115,0,0,7,1.932,7,-1.000,1.470,1.459,0.017,0x1fff
Thu Dec 29 19:41:48 2022,2,1672368108000,36.500,12.340,-2.938,0.666,-0.006,-0.551,3.115,0,0,7,1.943,7,-1.000,1.459,1.459,0.017,0x1fff
Thu Dec 29 19:51:48 2022,2,1672368708000,37.200,12.340,-2.875,0.762,-0.006,-0.551,3.115,0,0,7,1.943,7,-1.000,1.459,1.459,0.017,0x1fff
