DATE,SNODAR_DISTANCE,SNODAR_SEASONAL_SNOW_DEPTH,ID,VER,POWER_CURRENT,POWER_VOLTAGE,IMU_TEMP,TMP_TEMP,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,IMU_R,IMU_P,IMU_Y,HEATER_ENABLED
12/09/2024 09:55:24 PM,NaN,0.019,-1,2,45.1,12.168,11.832,8.438,NaN,18,0.363,0.063,0.557,0
12/09/2024 10:05:24 PM,NaN,0.017,-1,2,41.3,12.172,11.305,7.938,NaN,18,0.363,0.062,0.555,0
12/09/2024 10:15:24 PM,NaN,0.017,-1,2,44.8,12.168,11.161,7.75,NaN,17,0.364,0.062,0.555,0
12/09/2024 10:25:24 PM,NaN,0.02,-1,2,46,12.168,10.586,7.125,NaN,17,0.365,0.061,0.554,0
12/09/2024 10:35:24 PM,NaN,0.021,-1,2,44,12.172,10.442,7.25,NaN,17,0.365,0.062,0.553,0
12/09/2024 10:45:24 PM,NaN,0.017,-1,2,45.1,12.172,10.586,7.438,NaN,17,0.364,0.062,0.553,0
12/09/2024 10:55:24 PM,NaN,0.021,-1,2,44.7,12.172,10.586,7.125,NaN,17,0.365,0.062,0.553,0
12/09/2024 11:05:24 PM,NaN,0.016,-1,2,46,12.164,9.963,6.813,NaN,17,0.393,0.07,0.552,0
12/09/2024 11:15:24 PM,NaN,0.021,-1,2,39.8,12.172,9.867,6.5,NaN,16,0.365,0.062,0.552,0
12/09/2024 11:25:24 PM,NaN,0.02,-1,2,45.2,12.168,9.34,6.125,NaN,16,0.366,0.061,0.552,0
12/09/2024 11:35:24 PM,NaN,0.017,-1,2,40.5,12.172,8.908,5.688,NaN,16,0.367,0.061,0.552,0
12/09/2024 11:45:24 PM,NaN,0.021,-1,2,45.3,12.168,8.046,4.75,NaN,14,0.368,0.061,0.552,0
12/09/2024 11:55:24 PM,NaN,0.02,-1,2,39.9,12.172,6.896,3.688,NaN,13,0.37,0.059,0.551,0
12/10/2024 12:05:24 AM,NaN,0.017,-1,2,44.9,12.172,6.033,2.875,NaN,13,0.371,0.059,0.551,0
12/10/2024 12:15:24 AM,NaN,0.02,-1,2,45.2,12.172,5.506,2.438,NaN,12,0.372,0.058,0.551,0
12/10/2024 12:25:24 AM,NaN,0.019,-1,2,45.1,12.168,5.41,2.063,NaN,12,0.373,0.057,0.551,0
12/10/2024 12:35:24 AM,NaN,0.018,-1,2,45.3,12.164,5.123,1.813,NaN,11,0.373,0.057,0.551,0
12/10/2024 12:45:24 AM,NaN,0.018,-1,2,43.1,12.168,4.691,1.688,NaN,11,0.373,0.058,0.55,0
12/10/2024 12:55:24 AM,NaN,0.018,-1,2,40.7,12.168,4.643,1.5,NaN,11,0.374,0.057,0.55,0
12/10/2024 01:05:24 AM,NaN,0.015,-1,2,44.9,12.168,4.595,1.5,NaN,11,0.373,0.057,0.55,0
12/10/2024 01:15:24 AM,NaN,0.019,-1,2,44.6,12.168,4.356,1.125,NaN,10,0.375,0.057,0.55,0
12/10/2024 01:25:24 AM,NaN,0.02,-1,2,44.1,12.168,3.924,0.75,NaN,10,0.376,0.056,0.55,0
12/10/2024 01:35:24 AM,NaN,0.02,-1,2,42,12.168,3.781,0.563,NaN,10,0.376,0.056,0.55,0
12/10/2024 01:45:24 AM,NaN,0.02,-1,2,40.2,12.168,3.445,0.375,NaN,10,0.376,0.055,0.549,0
12/10/2024 01:55:24 AM,NaN,0.018,-1,2,40,12.172,3.397,0.063,NaN,10,0.377,0.055,0.549,0
12/10/2024 02:05:24 AM,NaN,0.018,-1,2,43.7,12.168,3.254,0.125,NaN,10,0.377,0.056,0.549,0
12/10/2024 02:15:24 AM,NaN,0.017,-1,2,45.1,12.168,3.11,0.125,NaN,10,0.377,0.055,0.549,0
12/10/2024 02:25:24 AM,NaN,0.017,-1,2,40.6,12.168,3.11,-0.063,NaN,10,0.377,0.055,0.549,0
12/10/2024 02:35:24 AM,NaN,0.02,-1,2,40.4,12.168,3.11,0,NaN,10,0.377,0.055,0.549,0
12/10/2024 02:45:24 AM,NaN,0.016,-1,2,43.4,12.164,2.678,-0.438,NaN,9,0.377,0.055,0.548,0
12/10/2024 02:55:24 AM,NaN,0.019,-1,2,42.7,12.164,2.535,-0.75,NaN,9,0.378,0.055,0.548,0
12/10/2024 03:05:24 AM,NaN,0.016,-1,2,45.1,12.164,2.774,-0.313,NaN,9,0.377,0.055,0.548,0
12/10/2024 03:15:24 AM,NaN,0.018,-1,2,44.7,12.168,2.87,-0.188,NaN,9,0.377,0.055,0.548,0
12/10/2024 03:25:24 AM,NaN,0.016,-1,2,44.2,12.168,3.062,-0.313,NaN,9,0.377,0.055,0.548,0
12/10/2024 03:35:24 AM,NaN,0.017,-1,2,41,12.172,2.678,-0.313,NaN,9,0.378,0.055,0.548,0
12/10/2024 03:45:24 AM,NaN,0.018,-1,2,44.2,12.168,2.678,-0.188,NaN,10,0.376,0.055,0.548,0
12/10/2024 03:55:24 AM,NaN,0.021,-1,2,45.5,12.168,3.014,-0.25,NaN,9,0.377,0.056,0.547,0
12/10/2024 04:05:24 AM,NaN,0.02,-1,2,44.4,12.168,2.247,-0.938,NaN,8,0.379,0.054,0.547,0
12/10/2024 04:15:24 AM,NaN,0.021,-1,2,44.7,12.168,2.008,-1.063,NaN,8,0.379,0.054,0.547,0
12/10/2024 04:25:24 AM,NaN,0.017,-1,2,44.9,12.164,2.151,-0.938,NaN,9,0.378,0.055,0.547,0
12/10/2024 04:35:24 AM,NaN,0.017,-1,2,41.4,12.168,2.535,-0.5,NaN,9,0.378,0.055,0.547,0
12/10/2024 04:45:24 AM,NaN,0.022,-1,2,44.8,12.168,2.678,-0.438,NaN,9,0.378,0.054,0.547,0
12/10/2024 04:55:24 AM,NaN,0.017,-1,2,42.5,12.168,2.535,-0.625,NaN,9,0.378,0.055,0.546,0
12/10/2024 05:05:24 AM,NaN,0.016,-1,2,44.2,12.168,2.343,-0.813,NaN,9,0.378,0.055,0.546,0
12/10/2024 05:15:24 AM,NaN,0.019,-1,2,44,12.164,2.343,-0.813,NaN,9,0.378,0.054,0.546,0
12/10/2024 05:25:24 AM,NaN,0.019,-1,2,44.4,12.164,2.535,-0.563,NaN,9,0.378,0.054,0.546,0
12/10/2024 05:35:24 AM,NaN,0.02,-1,2,42.3,12.164,2.343,-0.875,NaN,9,0.38,0.054,0.546,0
12/10/2024 05:45:24 AM,NaN,0.019,-1,2,40.9,12.168,1.528,-1.688,NaN,8,0.381,0.053,0.546,0
12/10/2024 05:55:24 AM,NaN,0.021,-1,2,43.3,12.168,0.762,-2.313,NaN,7,0.382,0.053,0.545,0
12/10/2024 06:05:24 AM,NaN,0.018,-1,2,44.7,12.164,0.139,-2.875,NaN,7,0.383,0.052,0.545,0
12/10/2024 06:15:24 AM,NaN,0.019,-1,2,42.9,12.168,0.666,-2.438,NaN,7,0.382,0.053,0.545,0
12/10/2024 06:25:24 AM,NaN,0.017,-1,2,44,12.16,0.81,-2.375,NaN,7,0.383,0.053,0.545,0
12/10/2024 06:35:24 AM,NaN,0.017,-1,2,43,12.168,0.234,-2.813,NaN,7,0.383,0.051,0.545,0
12/10/2024 06:45:24 AM,NaN,0.015,-1,2,42.9,12.168,-0.101,-3.188,NaN,6,0.384,0.053,0.545,0
12/10/2024 06:55:24 AM,NaN,0.022,-1,2,44.2,12.168,-0.149,-3.25,NaN,6,0.383,0.052,0.544,0
12/10/2024 07:05:24 AM,NaN,0.019,-1,2,39.7,12.164,0.57,-2.438,NaN,7,0.382,0.053,0.544,0
12/10/2024 07:15:24 AM,NaN,0.022,-1,2,43.6,12.164,1.337,-1.75,NaN,7,0.38,0.053,0.544,0
12/10/2024 07:25:24 AM,NaN,0.018,-1,2,45,12.164,1.72,-1.375,NaN,8,0.379,0.054,0.544,0
12/10/2024 07:35:24 AM,NaN,0.017,-1,2,39.8,12.168,2.008,-1.063,NaN,8,0.379,0.054,0.544,0
12/10/2024 07:45:24 AM,NaN,0.017,-1,2,43.7,12.164,2.056,-0.875,NaN,9,0.379,0.054,0.544,0
12/10/2024 07:55:24 AM,NaN,0.02,-1,2,45.1,12.168,2.678,-0.5,NaN,9,0.378,0.054,0.543,0
12/10/2024 08:05:24 AM,NaN,0.016,-1,2,43,12.164,2.535,-0.5,NaN,9,0.378,0.054,0.543,0
12/10/2024 08:15:24 AM,NaN,0.02,-1,2,41.3,12.168,2.151,-0.813,NaN,9,0.379,0.054,0.543,0
12/10/2024 08:25:24 AM,NaN,0.02,-1,2,44.5,12.168,2.535,-0.563,NaN,9,0.379,0.054,0.543,0
12/10/2024 08:35:24 AM,NaN,0.017,-1,2,39.7,12.164,3.11,-0.188,NaN,10,0.377,0.055,0.543,0
12/10/2024 08:45:24 AM,NaN,0.018,-1,2,44.2,12.164,3.11,-0.063,NaN,9,0.376,0.055,0.543,0
12/10/2024 08:55:24 AM,NaN,0.02,-1,2,41.1,12.164,3.062,-0.188,NaN,9,0.377,0.055,0.542,0
12/10/2024 09:05:24 AM,NaN,0.016,-1,2,44.2,12.168,2.774,-0.375,NaN,9,0.378,0.055,0.542,0
12/10/2024 09:15:24 AM,NaN,0.019,-1,2,44.7,12.164,2.343,-0.625,NaN,9,0.379,0.054,0.542,0
12/10/2024 09:25:24 AM,NaN,0.021,-1,2,44.4,12.164,2.247,-0.875,NaN,8,0.379,0.054,0.542,0
12/10/2024 09:35:24 AM,NaN,0.017,-1,2,44.9,12.168,2.487,-0.625,NaN,9,0.378,0.054,0.542,0
12/10/2024 09:45:24 AM,NaN,0.021,-1,2,44.3,12.164,2.678,-0.5,NaN,9,0.377,0.054,0.542,0
12/10/2024 09:55:24 AM,NaN,0.02,-1,2,44.8,12.168,2.678,-0.625,NaN,9,0.378,0.054,0.542,0
12/10/2024 10:05:24 AM,NaN,0.021,-1,2,39.9,12.164,2.343,-0.75,NaN,9,0.378,0.055,0.541,0
12/10/2024 10:15:24 AM,NaN,0.017,-1,2,44.2,12.164,2.487,-0.938,NaN,9,0.379,0.055,0.541,0
12/10/2024 10:25:24 AM,NaN,0.017,-1,2,39.7,12.164,2.535,-0.625,NaN,9,0.378,0.054,0.541,0
12/10/2024 10:35:24 AM,NaN,0.016,-1,2,44.8,12.168,2.535,-0.625,NaN,9,0.378,0.054,0.541,0
12/10/2024 10:45:24 AM,NaN,0.02,-1,2,44.3,12.164,2.487,-0.813,NaN,9,0.378,0.054,0.541,0
12/10/2024 10:55:24 AM,NaN,0.021,-1,2,44.8,12.168,2.056,-1,NaN,8,0.379,0.054,0.54,0
12/10/2024 11:05:24 AM,NaN,0.02,-1,2,45.2,12.168,1.816,-1.313,NaN,8,0.379,0.054,0.54,0
12/10/2024 11:15:24 AM,NaN,0.02,-1,2,39.1,12.164,1.72,-1.438,NaN,8,0.379,0.054,0.54,0
12/10/2024 11:25:24 AM,NaN,0.016,-1,2,41.1,12.172,1.72,-1.375,NaN,8,0.379,0.054,0.54,0
12/10/2024 11:35:24 AM,NaN,0.022,-1,2,40.7,12.164,1.96,-1.25,NaN,8,0.379,0.053,0.54,0
12/10/2024 11:45:24 AM,NaN,0.021,-1,2,41,12.168,1.96,-1.188,NaN,8,0.38,0.053,0.54,0
12/10/2024 11:55:24 AM,NaN,0.02,-1,2,45.4,12.168,1.96,-1.188,NaN,8,0.38,0.054,0.54,0
12/10/2024 12:05:24 PM,NaN,0.023,-1,2,44.4,12.164,1.96,-1.125,NaN,8,0.379,0.054,0.539,0
12/10/2024 12:15:24 PM,NaN,0.016,-1,2,43.3,12.168,1.72,-1.25,NaN,8,0.379,0.054,0.539,0
12/10/2024 12:25:24 PM,NaN,0.02,-1,2,44.7,12.164,1.864,-1.313,NaN,8,0.38,0.053,0.539,0
12/10/2024 12:35:24 PM,NaN,0.023,-1,2,42.3,12.164,1.96,-1.25,NaN,8,0.38,0.054,0.539,0
12/10/2024 12:45:24 PM,NaN,0.019,-1,2,44.5,12.164,1.72,-1.563,NaN,8,0.381,0.053,0.539,0
12/10/2024 12:55:24 PM,NaN,0.019,-1,2,44.7,12.164,1.337,-1.813,NaN,8,0.381,0.054,0.539,0
12/10/2024 01:05:24 PM,NaN,0.018,-1,2,39.1,12.168,1.337,-1.875,NaN,8,0.381,0.053,0.538,0
12/10/2024 01:15:24 PM,NaN,0.016,-1,2,44.5,12.168,1.528,-1.5,NaN,8,0.379,0.053,0.538,0
12/10/2024 01:25:24 PM,NaN,0.016,-1,2,44.5,12.164,2.056,-1.063,NaN,9,0.378,0.054,0.538,0
12/10/2024 01:35:24 PM,NaN,0.019,-1,2,41,12.168,2.056,-0.875,NaN,8,0.378,0.054,0.538,0
12/10/2024 01:45:24 PM,NaN,0.017,-1,2,39.7,12.168,2.247,-0.938,NaN,9,0.379,0.053,0.538,0
12/10/2024 01:55:24 PM,NaN,0.019,-1,2,44.8,12.164,1.96,-1.125,NaN,8,0.38,0.053,0.538,0
12/10/2024 02:05:24 PM,NaN,0.015,-1,2,43.1,12.168,1.864,-1.313,NaN,8,0.379,0.054,0.538,0
12/10/2024 02:15:24 PM,NaN,0.015,-1,2,44.8,12.164,1.289,-1.75,NaN,8,0.38,0.054,0.537,0
12/10/2024 02:25:24 PM,NaN,0.016,-1,2,45.2,12.168,1.193,-1.813,NaN,8,0.381,0.053,0.537,0
12/10/2024 02:35:24 PM,NaN,0.015,-1,2,44.3,12.168,1.433,-1.625,NaN,8,0.38,0.054,0.537,0
12/10/2024 02:45:24 PM,NaN,0.018,-1,2,44.7,12.168,1.816,-1.375,NaN,8,0.379,0.054,0.537,0
12/10/2024 02:55:24 PM,NaN,0.02,-1,2,43.9,12.164,1.72,-1.438,NaN,8,0.38,0.053,0.537,0
12/10/2024 03:05:24 PM,NaN,0.021,-1,2,44.5,12.164,1.864,-1.375,NaN,8,0.38,0.053,0.537,0
12/10/2024 03:15:24 PM,NaN,0.019,-1,2,44.7,12.164,2.343,-0.938,NaN,9,0.379,0.054,0.537,0
12/10/2024 03:25:24 PM,NaN,0.017,-1,2,45.1,12.168,3.062,-0.063,NaN,9,0.377,0.054,0.537,0
12/10/2024 03:35:24 PM,NaN,0.017,-1,2,45.1,12.168,3.733,0.563,NaN,10,0.376,0.055,0.536,0
12/10/2024 03:45:24 PM,NaN,0.018,-1,2,44.7,12.168,4.164,1.063,NaN,10,0.375,0.055,0.536,0
12/10/2024 03:55:24 PM,NaN,0.018,-1,2,45,12.168,4.691,1.688,NaN,11,0.374,0.056,0.535,0
12/10/2024 04:05:24 PM,NaN,0.019,-1,2,40.6,12.168,5.41,2.188,NaN,12,0.373,0.057,0.535,0
12/10/2024 04:15:24 PM,NaN,0.014,-1,2,42.5,12.164,5.506,2.625,NaN,12,0.372,0.056,0.535,0
12/10/2024 04:25:24 PM,NaN,0.017,-1,2,45.6,12.168,5.746,2.875,NaN,12,0.371,0.058,0.535,0
12/10/2024 04:35:24 PM,NaN,0.018,-1,2,45.4,12.176,6.177,3.125,NaN,13,0.37,0.058,0.535,0
12/10/2024 04:45:24 PM,NaN,0.02,-1,2,45.1,12.172,6.56,3.375,NaN,13,0.371,0.057,0.535,0
12/10/2024 04:55:24 PM,NaN,0.02,-1,2,43.1,12.172,6.8,3.688,NaN,13,0.37,0.058,0.535,0
12/10/2024 05:05:24 PM,NaN,0.018,-1,2,44.6,12.172,6.944,3.813,NaN,13,0.37,0.058,0.534,0
12/10/2024 05:15:24 PM,NaN,0.018,-1,2,45,12.172,7.087,4,NaN,14,0.37,0.059,0.535,0
12/10/2024 05:25:24 PM,NaN,0.021,-1,2,44.5,12.168,7.519,4.5,NaN,14,0.369,0.059,0.536,0
12/10/2024 05:35:24 PM,NaN,0.021,-1,2,45.1,12.172,8.285,4.938,NaN,14,0.368,0.06,0.535,0
12/10/2024 05:45:24 PM,NaN,0.016,-1,2,45.3,12.172,8.525,5.375,NaN,15,0.367,0.06,0.534,0
12/10/2024 05:55:24 PM,NaN,0.015,-1,2,44.8,12.168,9.34,6.125,NaN,16,0.367,0.061,0.534,0
12/10/2024 06:05:24 PM,NaN,0.018,-1,2,45.5,12.172,9.579,6.563,NaN,16,0.366,0.061,0.533,0
12/10/2024 06:15:24 PM,NaN,0.015,-1,2,42.1,12.168,10.107,6.938,NaN,17,0.365,0.061,0.534,0
12/10/2024 06:25:24 PM,NaN,0.021,-1,2,45.2,12.172,10.298,7.125,NaN,17,0.364,0.061,0.531,0
12/10/2024 06:35:24 PM,NaN,0.019,-1,2,41.4,12.168,10.682,7.438,NaN,17,0.364,0.062,0.531,0
12/10/2024 06:45:24 PM,NaN,0.019,-1,2,45.4,12.168,10.921,7.75,NaN,17,0.365,0.061,0.529,0
