DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/1/2025 3:07:58 PM,208,2,128,1743541678000,44.900,12.052,11.188,14.659,0.113,0.754,-0.630,-0.147,0.364,0.079,-1.406,0,0,22,22,2.546,2.494,2.513,8,0x17,10,-1.000,0.526,2.464,0.128,0.180,-1.000,0x1fff
4/1/2025 3:17:58 PM,208,2,128,1743542278000,45.000,12.048,11.563,14.995,0.112,0.754,-0.630,-0.147,0.363,0.080,-1.406,0,0,22,22,2.549,2.497,2.515,9,0x17,11,-1.000,0.524,2.464,0.128,0.180,-1.000,0x1fff
4/1/2025 3:27:58 PM,208,2,128,1743542878000,43.000,12.028,11.188,14.899,0.113,0.754,-0.630,-0.147,0.364,0.079,-1.407,0,0,22,22,2.544,2.492,2.511,8,0x17,11,-1.000,0.528,2.464,0.128,0.181,-1.000,0x1fff
4/1/2025 3:37:58 PM,208,2,128,1743543478000,46.700,12.044,11.000,14.707,0.113,0.754,-0.630,-0.147,0.365,0.079,-1.407,0,0,22,22,2.549,2.497,2.516,9,0x17,10,-1.000,0.523,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 3:47:58 PM,208,2,128,1743544078000,42.600,12.056,11.000,14.659,0.113,0.754,-0.630,-0.147,0.365,0.079,-1.407,0,0,22,22,2.550,2.498,2.517,9,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1ffe
4/1/2025 3:57:58 PM,208,2,128,1743544678000,43.900,12.052,11.000,14.803,0.113,0.754,-0.630,-0.147,0.365,0.079,-1.407,0,0,22,22,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:07:58 PM,208,2,128,1743545278000,46.100,12.036,10.688,14.180,0.113,0.754,-0.630,-0.147,0.365,0.078,-1.408,0,0,22,21,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:17:58 PM,208,2,128,1743545878000,45.400,12.052,10.563,14.180,0.113,0.754,-0.631,-0.147,0.364,0.079,-1.408,0,0,21,21,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:27:58 PM,208,2,128,1743546478000,47.100,12.040,10.625,14.180,0.113,0.754,-0.631,-0.147,0.365,0.079,-1.408,0,0,21,21,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:37:58 PM,208,2,128,1743547078000,42.600,12.044,10.750,14.372,0.113,0.754,-0.631,-0.147,0.365,0.079,-1.408,0,0,21,21,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:47:58 PM,208,2,128,1743547678000,46.700,12.060,10.688,14.324,0.113,0.753,-0.631,-0.147,0.365,0.078,-1.409,0,0,21,21,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
4/1/2025 4:57:58 PM,208,2,128,1743548278000,45.500,12.036,10.438,13.988,0.113,0.753,-0.631,-0.147,0.365,0.079,-1.409,0,0,21,20,2.550,2.498,2.517,8,0x17,10,-1.000,0.522,2.464,0.128,0.179,-1.000,0x1fff
