DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
12/9/2024 2:55:24 PM,2,1733781324000,45.100,12.168,8.438,11.832,0.363,0.063,0.557,0,0,18,15,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 3:05:24 PM,2,1733781924000,41.300,12.172,7.938,11.305,0.363,0.062,0.555,0,0,18,15,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 3:15:24 PM,2,1733782524000,44.800,12.168,7.750,11.161,0.364,0.062,0.555,0,0,17,15,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 3:25:24 PM,2,1733783124000,46.000,12.168,7.125,10.586,0.365,0.061,0.554,0,0,17,16,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 3:35:24 PM,2,1733783724000,44.000,12.172,7.250,10.442,0.365,0.062,0.553,0,0,17,14,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 3:45:24 PM,2,1733784324000,45.100,12.172,7.438,10.586,0.364,0.062,0.553,0,0,17,14,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 3:55:24 PM,2,1733784924000,44.700,12.172,7.125,10.586,0.365,0.062,0.553,0,0,17,14,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 4:05:24 PM,2,1733785524000,46.000,12.164,6.813,9.963,0.393,0.070,0.552,0,0,17,14,-1.000,0.016,0.096,0.000,0x1fff
12/9/2024 4:15:24 PM,2,1733786124000,39.800,12.172,6.500,9.867,0.365,0.062,0.552,0,0,16,14,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 4:25:24 PM,2,1733786724000,45.200,12.168,6.125,9.340,0.366,0.061,0.552,0,0,16,14,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 4:35:24 PM,2,1733787324000,40.500,12.172,5.688,8.908,0.367,0.061,0.552,0,0,16,16,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 4:45:24 PM,2,1733787924000,45.300,12.168,4.750,8.046,0.368,0.061,0.552,0,0,14,14,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 4:55:24 PM,2,1733788524000,39.900,12.172,3.688,6.896,0.370,0.059,0.551,0,0,13,14,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 5:05:24 PM,2,1733789124000,44.900,12.172,2.875,6.033,0.371,0.059,0.551,0,0,13,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 5:15:24 PM,2,1733789724000,45.200,12.172,2.438,5.506,0.372,0.058,0.551,0,0,12,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 5:25:24 PM,2,1733790324000,45.100,12.168,2.063,5.410,0.373,0.057,0.551,0,0,12,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 5:35:24 PM,2,1733790924000,45.300,12.164,1.813,5.123,0.373,0.057,0.551,0,0,11,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 5:45:24 PM,2,1733791524000,43.100,12.168,1.688,4.691,0.373,0.058,0.550,0,0,11,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 5:55:24 PM,2,1733792124000,40.700,12.168,1.500,4.643,0.374,0.057,0.550,0,0,11,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 6:05:24 PM,2,1733792724000,44.900,12.168,1.500,4.595,0.373,0.057,0.550,0,0,11,13,-1.000,0.015,0.096,0.000,0x1fff
12/9/2024 6:15:24 PM,2,1733793324000,44.600,12.168,1.125,4.356,0.375,0.057,0.550,0,0,10,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 6:25:24 PM,2,1733793924000,44.100,12.168,0.750,3.924,0.376,0.056,0.550,1,0,10,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 6:35:24 PM,2,1733794524000,42.000,12.168,0.563,3.781,0.376,0.056,0.550,0,0,10,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 6:45:24 PM,2,1733795124000,40.200,12.168,0.375,3.445,0.376,0.055,0.549,1,0,10,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 6:55:24 PM,2,1733795724000,40.000,12.172,0.063,3.397,0.377,0.055,0.549,1,0,10,15,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 7:05:24 PM,2,1733796324000,43.700,12.168,0.125,3.254,0.377,0.056,0.549,1,0,10,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 7:15:24 PM,2,1733796924000,45.100,12.168,0.125,3.110,0.377,0.055,0.549,1,0,10,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 7:25:24 PM,2,1733797524000,40.600,12.168,-0.063,3.110,0.377,0.055,0.549,1,0,10,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 7:35:24 PM,2,1733798124000,40.400,12.168,0.000,3.110,0.377,0.055,0.549,1,0,10,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 7:45:24 PM,2,1733798724000,43.400,12.164,-0.438,2.678,0.377,0.055,0.548,1,0,9,13,-1.000,0.016,0.096,0.000,0x1fff
12/9/2024 7:55:24 PM,2,1733799324000,42.700,12.164,-0.750,2.535,0.378,0.055,0.548,1,0,9,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 8:05:24 PM,2,1733799924000,45.100,12.164,-0.313,2.774,0.377,0.055,0.548,1,0,9,15,-1.000,0.016,0.096,0.000,0x1fff
12/9/2024 8:15:24 PM,2,1733800524000,44.700,12.168,-0.188,2.870,0.377,0.055,0.548,1,0,9,15,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 8:25:24 PM,2,1733801124000,44.200,12.168,-0.313,3.062,0.377,0.055,0.548,1,0,9,13,-1.000,0.016,0.096,0.000,0x1fff
12/9/2024 8:35:24 PM,2,1733801724000,41.000,12.172,-0.313,2.678,0.378,0.055,0.548,1,0,9,15,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 8:45:24 PM,2,1733802324000,44.200,12.168,-0.188,2.678,0.376,0.055,0.548,1,0,10,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 8:55:24 PM,2,1733802924000,45.500,12.168,-0.250,3.014,0.377,0.056,0.547,1,0,9,13,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 9:05:24 PM,2,1733803524000,44.400,12.168,-0.938,2.247,0.379,0.054,0.547,1,0,8,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 9:15:24 PM,2,1733804124000,44.700,12.168,-1.063,2.008,0.379,0.054,0.547,1,0,8,13,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 9:25:24 PM,2,1733804724000,44.900,12.164,-0.938,2.151,0.378,0.055,0.547,1,0,9,15,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 9:35:24 PM,2,1733805324000,41.400,12.168,-0.500,2.535,0.378,0.055,0.547,1,0,9,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 9:45:24 PM,2,1733805924000,44.800,12.168,-0.438,2.678,0.378,0.054,0.547,1,0,9,13,-1.000,0.022,0.096,0.000,0x1fff
12/9/2024 9:55:24 PM,2,1733806524000,42.500,12.168,-0.625,2.535,0.378,0.055,0.546,1,0,9,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 10:05:24 PM,2,1733807124000,44.200,12.168,-0.813,2.343,0.378,0.055,0.546,1,0,9,13,-1.000,0.016,0.096,0.000,0x1fff
12/9/2024 10:15:24 PM,2,1733807724000,44.000,12.164,-0.813,2.343,0.378,0.054,0.546,1,0,9,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 10:25:24 PM,2,1733808324000,44.400,12.164,-0.563,2.535,0.378,0.054,0.546,1,0,9,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 10:35:24 PM,2,1733808924000,42.300,12.164,-0.875,2.343,0.380,0.054,0.546,1,0,9,13,-1.000,0.020,0.096,0.000,0x1fff
12/9/2024 10:45:24 PM,2,1733809524000,40.900,12.168,-1.688,1.528,0.381,0.053,0.546,1,0,8,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 10:55:24 PM,2,1733810124000,43.300,12.168,-2.313,0.762,0.382,0.053,0.545,1,0,7,13,-1.000,0.021,0.096,0.000,0x1fff
12/9/2024 11:05:24 PM,2,1733810724000,44.700,12.164,-2.875,0.139,0.383,0.052,0.545,1,0,7,13,-1.000,0.018,0.096,0.000,0x1fff
12/9/2024 11:15:24 PM,2,1733811324000,42.900,12.168,-2.438,0.666,0.382,0.053,0.545,1,0,7,13,-1.000,0.019,0.096,0.000,0x1fff
12/9/2024 11:25:24 PM,2,1733811924000,44.000,12.160,-2.375,0.810,0.383,0.053,0.545,1,0,7,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 11:35:24 PM,2,1733812524000,43.000,12.168,-2.813,0.234,0.383,0.051,0.545,1,0,7,13,-1.000,0.017,0.096,0.000,0x1fff
12/9/2024 11:45:24 PM,2,1733813124000,42.900,12.168,-3.188,-0.101,0.384,0.053,0.545,1,0,6,13,-1.000,0.015,0.096,0.000,0x1fff
12/9/2024 11:55:24 PM,2,1733813724000,44.200,12.168,-3.250,-0.149,0.383,0.052,0.544,1,0,6,13,-1.000,0.022,0.096,0.000,0x1fff
12/10/2024 12:05:24 AM,2,1733814324000,39.700,12.164,-2.438,0.570,0.382,0.053,0.544,1,0,7,13,-1.000,0.019,0.096,0.000,0x1fff
12/10/2024 12:15:24 AM,2,1733814924000,43.600,12.164,-1.750,1.337,0.380,0.053,0.544,1,0,7,13,-1.000,0.022,0.096,0.000,0x1fff
12/10/2024 12:25:24 AM,2,1733815524000,45.000,12.164,-1.375,1.720,0.379,0.054,0.544,1,0,8,13,-1.000,0.018,0.096,0.000,0x1fff
