DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/12/2025 12:41:58 PM,208,2,128,1739389318000,47.100,12.048,8.063,10.921,0.186,0.981,0.038,-0.031,0.371,0.074,0.064,0,0,18,19,2.260,2.211,2.233,7,0x17,7,-1.000,0.786,1.129,0.035,0.247,-1.000,0x1fff
2/12/2025 12:51:58 PM,208,2,128,1739389918000,46.500,12.076,7.313,10.586,0.186,0.981,0.038,-0.031,0.372,0.074,0.064,0,0,19,19,2.260,2.211,2.233,7,0x17,6,-1.000,0.785,1.129,0.035,0.247,-1.000,0x1fff
2/12/2025 1:01:58 PM,208,2,128,1739390518000,44.900,12.040,6.750,9.963,0.186,0.981,0.038,-0.030,0.373,0.074,0.064,0,0,19,19,2.260,2.211,2.234,7,0x17,6,-1.000,0.784,1.129,0.035,0.247,-1.000,0x1fff
2/12/2025 1:11:58 PM,208,2,128,1739391118000,42.500,12.076,4.625,8.046,0.188,0.981,0.038,-0.030,0.376,0.073,0.063,0,0,18,17,2.260,2.211,2.236,7,0x17,4,-1.000,0.781,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 1:21:58 PM,208,2,128,1739391718000,45.600,12.068,2.063,5.554,0.190,0.981,0.037,-0.028,0.380,0.070,0.063,0,0,17,14,2.260,2.211,2.238,7,0x17,1,-1.000,0.778,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 1:31:58 PM,208,2,128,1739392318000,41.500,12.076,0.313,3.829,0.190,0.981,0.037,-0.028,0.380,0.070,0.063,0,0,14,13,2.257,2.208,2.237,8,0x17,0,-1.000,0.779,1.129,0.035,0.245,-1.000,0x1ffe
2/12/2025 1:41:58 PM,208,2,128,1739392918000,44.900,12.064,-0.375,3.062,0.191,0.980,0.037,-0.028,0.383,0.068,0.062,0,0,12,12,2.254,2.205,2.235,7,0x17,-1,-1.000,0.780,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 1:51:58 PM,208,2,128,1739393518000,46.400,12.080,0.250,3.541,0.191,0.981,0.037,-0.028,0.382,0.068,0.062,0,0,11,12,2.250,2.201,2.230,7,0x17,0,-1.000,0.785,1.129,0.035,0.247,-1.000,0x1fff
2/12/2025 2:01:58 PM,208,2,128,1739394118000,43.100,12.084,0.750,4.164,0.190,0.981,0.037,-0.028,0.381,0.069,0.062,0,0,12,13,2.259,2.210,2.239,7,0x17,0,-1.000,0.777,1.129,0.035,0.244,-1.000,0x1fff
2/12/2025 2:11:58 PM,208,2,128,1739394718000,46.500,12.080,1.875,5.123,0.190,0.981,0.037,-0.028,0.380,0.070,0.061,0,0,13,14,2.256,2.207,2.235,7,0x17,1,-1.000,0.781,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 2:21:58 PM,208,2,128,1739395318000,46.200,12.076,2.688,6.225,0.189,0.981,0.037,-0.029,0.378,0.071,0.061,0,0,13,15,2.260,2.211,2.238,7,0x17,2,-1.000,0.779,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 2:31:58 PM,208,2,128,1739395918000,41.800,12.084,2.313,5.937,0.189,0.981,0.037,-0.029,0.379,0.070,0.061,0,0,15,15,2.260,2.211,2.238,7,0x17,2,-1.000,0.779,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 2:41:58 PM,208,2,128,1739396518000,47.000,12.064,2.000,5.506,0.189,0.981,0.036,-0.029,0.379,0.070,0.061,0,0,14,14,2.260,2.211,2.238,7,0x17,1,-1.000,0.779,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 2:51:58 PM,208,2,128,1739397118000,45.500,12.048,1.938,5.170,0.190,0.981,0.036,-0.029,0.380,0.070,0.060,0,0,14,14,2.260,2.211,2.238,7,0x17,1,-1.000,0.778,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 3:01:58 PM,208,2,128,1739397718000,45.500,12.044,2.938,6.225,0.189,0.981,0.036,-0.029,0.378,0.071,0.060,0,0,14,15,2.260,2.211,2.238,7,0x17,3,-1.000,0.779,1.129,0.035,0.245,-1.000,0x1fff
2/12/2025 3:11:58 PM,208,2,128,1739398318000,42.400,12.060,4.250,7.615,0.188,0.981,0.036,-0.030,0.376,0.072,0.060,0,0,15,16,2.260,2.211,2.236,7,0x17,4,-1.000,0.781,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 3:21:58 PM,208,2,128,1739398918000,46.100,12.072,5.063,8.381,0.187,0.981,0.036,-0.030,0.375,0.073,0.060,0,0,16,17,2.260,2.211,2.236,7,0x17,5,-1.000,0.782,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 3:31:58 PM,208,2,128,1739399518000,46.100,12.068,5.438,8.861,0.187,0.981,0.036,-0.030,0.374,0.073,0.060,0,0,17,17,2.260,2.211,2.235,7,0x17,5,-1.000,0.783,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 3:41:58 PM,208,2,128,1739400118000,45.800,12.080,5.563,9.052,0.187,0.981,0.036,-0.031,0.374,0.074,0.060,0,0,17,17,2.261,2.212,2.236,8,0x17,5,-1.000,0.782,1.129,0.035,0.246,-1.000,0x1fff
2/12/2025 3:51:58 PM,208,2,128,1739400718000,41.900,12.076,4.000,7.327,0.187,0.981,0.036,-0.031,0.374,0.074,0.060,0,0,17,16,2.260,2.211,2.237,7,0x17,4,-1.000,0.781,1.129,0.035,0.246,-1.000,0x1ffe
2/12/2025 4:01:58 PM,208,2,128,1739401318000,46.100,12.012,3.188,6.704,0.189,0.981,0.036,-0.030,0.378,0.072,0.059,0,0,16,15,2.260,2.211,2.237,7,0x17,3,-1.000,0.780,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 4:11:58 PM,208,2,128,1739401918000,45.900,12.068,3.063,6.416,0.189,0.981,0.035,-0.029,0.378,0.071,0.059,0,0,15,15,2.260,2.211,2.237,7,0x17,3,-1.000,0.780,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 4:21:58 PM,208,2,128,1739402518000,43.600,12.036,3.000,6.081,0.189,0.981,0.035,-0.029,0.379,0.071,0.058,0,0,14,14,2.260,2.211,2.237,8,0x17,2,-1.000,0.780,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 4:31:58 PM,208,2,128,1739403118000,41.000,12.068,1.813,5.170,0.190,0.981,0.035,-0.029,0.380,0.070,0.058,0,0,14,13,2.259,2.210,2.238,7,0x17,1,-1.000,0.778,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 4:41:58 PM,208,2,128,1739403718000,45.600,12.072,0.250,3.397,0.191,0.981,0.035,-0.028,0.383,0.068,0.057,0,0,13,12,2.260,2.211,2.240,8,0x17,0,-1.000,0.775,1.164,0.000,0.243,-1.000,0x1fff
2/12/2025 4:51:58 PM,208,2,128,1739404318000,43.500,12.084,-1.000,2.487,0.192,0.980,0.034,-0.028,0.385,0.068,0.057,0,0,11,10,2.256,2.207,2.237,7,0x17,-1,-1.000,0.778,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 5:01:58 PM,208,2,128,1739404918000,41.400,12.068,-2.375,0.953,0.194,0.980,0.034,-0.027,0.388,0.066,0.057,0,0,10,9,2.254,2.205,2.237,7,0x17,-2,-1.000,0.777,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 5:11:58 PM,208,2,128,1739405518000,43.500,12.088,-3.813,-0.436,0.195,0.980,0.034,-0.026,0.391,0.064,0.056,0,0,8,7,2.253,2.204,2.237,7,0x17,-4,-1.000,0.776,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 5:21:58 PM,208,2,128,1739406118000,41.000,12.076,-4.688,-1.635,0.196,0.980,0.034,-0.026,0.393,0.063,0.056,0,0,7,6,2.250,2.201,2.235,7,0x17,-4,-1.000,0.777,1.164,0.000,0.245,-1.000,0x1fff
2/12/2025 5:31:58 PM,208,2,128,1739406718000,39.500,12.088,-5.625,-2.593,0.197,0.980,0.033,-0.025,0.395,0.062,0.055,0,0,6,5,2.250,2.201,2.236,7,0x17,-5,-1.000,0.775,1.164,0.000,0.244,-1.000,0x1fff
2/12/2025 5:41:58 PM,208,2,128,1739407318000,45.000,12.092,-7.188,-4.462,0.200,0.979,0.033,-0.024,0.401,0.060,0.055,0,0,5,3,2.250,2.201,2.237,7,0x17,-7,-1.000,0.772,1.164,0.000,0.243,-1.000,0x1fff
2/12/2025 5:51:58 PM,208,2,128,1739407918000,41.500,12.060,-9.125,-6.762,0.203,0.978,0.032,-0.023,0.407,0.058,0.054,0,0,3,0,2.250,2.201,2.239,7,0x17,-9,-1.000,0.769,1.164,0.000,0.242,-1.000,0x1fff
2/12/2025 6:01:58 PM,208,2,128,1739408518000,44.700,12.060,-11.688,-9.063,0.207,0.978,0.032,-0.020,0.416,0.053,0.053,1,0,1,-1,2.249,2.200,2.240,7,0x17,-12,-1.000,0.765,1.164,0.000,0.241,-1.000,0x1fff
2/12/2025 6:11:58 PM,208,2,128,1739409118000,44.800,12.068,-13.813,-11.363,0.212,0.977,0.031,-0.019,0.425,0.049,0.053,1,0,0,-3,2.250,2.201,2.243,7,0x17,-14,-1.000,0.759,1.164,0.000,0.239,-1.000,0x1fff
2/12/2025 6:21:58 PM,208,2,128,1739409718000,40.600,12.028,-15.000,-12.705,0.215,0.976,0.031,-0.018,0.432,0.048,0.052,1,0,-3,-5,2.250,2.201,2.244,6,0x17,-15,-1.000,0.756,1.164,0.000,0.238,-1.000,0x1fff
