DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
2/12/2025 6:31:58 PM,2,1739410318000,44.500,12.076,-15.813,-13.567,0.437,0.045,0.052,1,0,-5,2.245,6,-1.000,0.753,1.164,0.000,0x1fff
2/12/2025 6:41:58 PM,2,1739410918000,44.600,12.092,-16.688,-14.382,0.440,0.044,0.051,1,0,-6,2.246,6,-1.000,0.751,1.164,0.000,0x1fff
2/12/2025 6:51:58 PM,2,1739411518000,44.800,12.052,-17.250,-14.909,0.443,0.043,0.051,1,0,-7,2.246,6,-1.000,0.750,1.164,0.000,0x1fff
2/12/2025 7:01:58 PM,2,1739412118000,40.000,12.088,-17.625,-15.436,0.446,0.042,0.050,1,0,-7,2.247,6,-1.000,0.748,1.164,0.000,0x1fff
2/12/2025 7:11:58 PM,2,1739412718000,43.700,12.100,-17.375,-15.245,0.445,0.042,0.050,1,0,-7,2.247,7,-1.000,0.748,1.164,0.000,0x1fff
2/12/2025 7:21:58 PM,2,1739413318000,40.200,12.104,-17.750,-15.436,0.447,0.042,0.050,1,0,-8,2.246,6,-1.000,0.748,1.164,0.000,0x1fff
2/12/2025 7:31:58 PM,2,1739413918000,44.300,12.076,-18.188,-16.107,0.450,0.040,0.050,1,0,-8,2.247,6,-1.000,0.747,1.164,0.000,0x1fff
2/12/2025 7:41:58 PM,2,1739414518000,39.200,12.108,-17.125,-15.053,0.444,0.042,0.049,1,0,-7,2.246,6,-1.000,0.750,1.164,0.000,0x1fff
2/12/2025 7:51:58 PM,2,1739415118000,44.300,12.104,-16.750,-14.670,0.441,0.043,0.049,1,0,-6,2.246,6,-1.000,0.751,1.164,0.000,0x1fff
2/12/2025 8:01:58 PM,2,1739415718000,44.100,12.116,-17.688,-15.436,0.446,0.041,0.049,1,0,-7,2.247,6,-1.000,0.748,1.164,0.000,0x1fff
2/12/2025 8:11:58 PM,2,1739416318000,44.000,12.092,-18.188,-15.963,0.450,0.041,0.048,1,0,-8,2.247,6,-1.000,0.747,1.164,0.000,0x1fff
2/12/2025 8:21:58 PM,2,1739416918000,44.400,12.124,-18.563,-16.251,0.451,0.040,0.048,5,0,-8,2.248,6,-1.000,0.745,1.164,0.000,0x1fff
2/12/2025 8:31:58 PM,2,1739417518000,40.200,12.120,-18.375,-16.107,0.451,0.040,0.048,5,0,-8,2.248,6,-1.000,0.745,1.164,0.000,0x1fff
2/12/2025 8:41:58 PM,2,1739418118000,43.900,12.128,-18.688,-16.443,0.452,0.039,0.047,5,0,-8,2.248,7,-1.000,0.745,1.164,0.000,0x1fff
2/12/2025 8:51:58 PM,2,1739418718000,44.300,12.128,-19.063,-16.826,0.456,0.039,0.047,5,0,-9,2.248,6,-1.000,0.744,1.164,0.000,0x1fff
2/12/2025 9:01:58 PM,2,1739419318000,44.300,12.136,-19.563,-17.449,0.457,0.038,0.047,5,0,-9,2.249,6,-1.000,0.742,1.164,0.000,0x1fff
2/12/2025 9:11:58 PM,2,1739419918000,41.800,12.136,-19.563,-17.449,0.458,0.038,0.046,5,0,-9,2.249,6,-1.000,0.742,1.164,0.000,0x1fff
2/12/2025 9:21:58 PM,2,1739420518000,44.200,12.136,-18.875,-16.778,0.453,0.039,0.046,5,0,-9,2.248,6,-1.000,0.744,1.164,0.000,0x1fff
