DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
3/13/2025 2:37:58 PM,2,1741898278000,46.400,12.060,12.063,15.426,0.364,0.079,-0.043,0,0,22,2.282,7,-1.000,0.742,1.888,0.051,0x1fff
3/13/2025 2:47:58 PM,2,1741898878000,47.400,12.056,12.000,15.330,0.364,0.079,-0.044,0,0,22,2.279,7,-1.000,0.745,1.888,0.051,0x1fff
3/13/2025 2:57:58 PM,2,1741899478000,42.100,12.048,12.313,15.714,0.363,0.079,-0.045,0,0,23,2.280,7,-1.000,0.744,1.888,0.051,0x1fff
3/13/2025 3:07:58 PM,2,1741900078000,46.500,12.060,12.938,16.480,0.364,0.078,-0.045,0,0,23,2.281,7,-1.000,0.743,1.888,0.051,0x1fff
3/13/2025 3:17:58 PM,2,1741900678000,45.600,12.060,11.625,15.186,0.364,0.079,-0.046,0,0,22,2.282,7,-1.000,0.742,1.888,0.051,0x1fff
3/13/2025 3:27:58 PM,2,1741901278000,46.100,12.056,10.625,13.845,0.365,0.078,-0.047,0,0,21,2.281,7,-1.000,0.743,1.888,0.051,0x1fff
3/13/2025 3:37:58 PM,2,1741901878000,47.200,12.048,10.750,13.988,0.365,0.079,-0.048,0,0,21,2.284,7,-1.000,0.740,1.888,0.051,0x1fff
3/13/2025 3:47:58 PM,2,1741902478000,46.800,12.052,11.063,14.372,0.364,0.078,-0.048,0,0,21,2.283,7,-1.000,0.741,1.888,0.051,0x1fff
3/13/2025 3:57:58 PM,2,1741903078000,43.800,12.056,11.000,14.372,0.364,0.079,-0.049,0,0,21,2.283,7,-1.000,0.741,1.888,0.051,0x1fff
3/13/2025 4:07:58 PM,2,1741903678000,46.600,12.036,11.125,14.324,0.366,0.078,-0.050,0,0,21,2.280,8,-1.000,0.743,1.888,0.051,0x1fff
3/13/2025 4:17:58 PM,2,1741904278000,45.600,12.056,11.250,14.659,0.364,0.078,-0.050,0,0,22,2.284,7,-1.000,0.740,1.888,0.051,0x1fff
3/13/2025 4:27:58 PM,2,1741904878000,46.300,12.052,10.500,14.084,0.365,0.078,-0.051,0,0,20,2.280,7,-1.000,0.744,1.888,0.051,0x1fff
3/13/2025 4:37:58 PM,2,1741905478000,44.700,12.056,10.438,13.845,0.366,0.078,-0.052,0,0,20,2.284,7,-1.000,0.740,1.888,0.051,0x1fff
3/13/2025 4:47:58 PM,2,1741906078000,45.500,12.028,10.688,13.988,0.365,0.078,-0.053,0,0,21,2.284,7,-1.000,0.740,1.888,0.051,0x1fff
3/13/2025 4:57:58 PM,2,1741906678000,39.500,12.048,9.875,13.222,0.366,0.077,-0.053,0,0,20,2.285,7,-1.000,0.738,1.888,0.051,0x1fff
3/13/2025 5:07:58 PM,2,1741907278000,45.300,12.056,9.688,13.078,0.366,0.077,-0.054,0,0,20,2.288,7,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 5:17:58 PM,2,1741907878000,43.300,12.056,9.375,12.694,0.366,0.078,-0.055,0,0,19,2.284,7,-1.000,0.740,1.939,0.000,0x1fff
3/13/2025 5:27:58 PM,2,1741908478000,45.200,12.040,8.688,12.071,0.367,0.077,-0.056,0,0,18,2.282,8,-1.000,0.741,1.939,0.000,0x1fff
3/13/2025 5:37:58 PM,2,1741909078000,46.100,12.064,8.063,11.353,0.368,0.076,-0.056,0,0,18,2.283,7,-1.000,0.740,1.939,0.000,0x1fff
3/13/2025 5:47:58 PM,2,1741909678000,42.000,12.028,7.625,10.825,0.369,0.076,-0.057,0,0,17,2.287,7,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 5:57:58 PM,2,1741910278000,42.400,12.028,7.813,11.017,0.369,0.076,-0.058,0,0,17,2.286,7,-1.000,0.737,1.939,0.000,0x1fff
3/13/2025 6:07:58 PM,2,1741910878000,45.600,12.028,7.313,10.682,0.369,0.076,-0.058,0,0,17,2.283,7,-1.000,0.740,1.939,0.000,0x1fff
3/13/2025 6:17:58 PM,2,1741911478000,45.500,12.068,6.625,9.771,0.370,0.076,-0.059,0,0,16,2.287,7,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 6:27:58 PM,2,1741912078000,46.700,12.068,6.625,9.723,0.371,0.074,-0.060,0,0,16,2.284,7,-1.000,0.738,1.939,0.000,0x1fff
3/13/2025 6:37:58 PM,2,1741912678000,45.400,12.064,6.500,9.579,0.369,0.076,-0.060,0,0,16,2.284,7,-1.000,0.739,1.939,0.000,0x1fff
3/13/2025 6:47:58 PM,2,1741913278000,45.200,12.064,6.250,9.388,0.370,0.076,-0.061,0,0,16,2.287,7,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 6:57:58 PM,2,1741913878000,41.000,12.072,6.000,9.100,0.371,0.075,-0.062,0,0,16,2.286,7,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 7:07:58 PM,2,1741914478000,45.600,12.012,6.063,9.100,0.371,0.075,-0.063,0,0,15,2.285,7,-1.000,0.737,1.939,0.000,0x1fff
3/13/2025 7:17:58 PM,2,1741915078000,45.000,12.016,5.563,8.669,0.372,0.074,-0.063,0,0,15,2.285,7,-1.000,0.737,1.939,0.000,0x1fff
3/13/2025 7:27:58 PM,2,1741915678000,42.200,12.016,5.000,8.285,0.372,0.074,-0.064,0,0,14,2.287,7,-1.000,0.735,1.939,0.000,0x1fff
3/13/2025 7:37:58 PM,2,1741916278000,45.200,12.012,4.688,7.662,0.373,0.074,-0.065,0,0,14,2.286,9,-1.000,0.736,1.939,0.000,0x1fff
3/13/2025 7:47:58 PM,2,1741916878000,40.600,12.008,4.313,7.615,0.375,0.073,-0.066,0,0,14,2.286,7,-1.000,0.735,1.939,0.000,0x1fff
3/13/2025 7:57:58 PM,2,1741917478000,44.300,12.020,4.063,7.135,0.375,0.073,-0.066,0,0,13,2.287,7,-1.000,0.734,1.939,0.000,0x1fff
