DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
4/1/2025 3:17:19 PM,208,2,128,1743542239000,48.400,11.992,11.563,15.666,0.005,-0.996,-0.088,0.028,-0.014,0.055,0.176,0,0,22,18,2.390,2.340,2.358,8,0x17,11,-1.000,0.490,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 3:27:19 PM,208,2,128,1743542839000,43.000,12.016,11.313,15.522,0.005,-0.996,-0.088,0.028,-0.015,0.056,0.176,0,0,22,18,2.390,2.340,2.359,8,0x17,11,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 3:37:19 PM,208,2,128,1743543439000,42.100,12.044,11.063,15.378,0.005,-0.996,-0.087,0.028,-0.015,0.055,0.175,0,0,22,18,2.390,2.340,2.359,8,0x17,11,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 3:47:19 PM,208,2,128,1743544039000,47.800,12.052,11.063,15.138,0.005,-0.996,-0.087,0.028,-0.014,0.055,0.176,0,0,21,18,2.390,2.340,2.359,8,0x17,11,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 3:57:19 PM,208,2,128,1743544639000,42.300,12.040,11.125,15.234,0.005,-0.996,-0.088,0.028,-0.014,0.054,0.176,0,0,21,18,2.390,2.340,2.359,8,0x17,11,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 4:07:19 PM,208,2,128,1743545239000,46.200,12.040,10.813,14.899,0.005,-0.996,-0.088,0.028,-0.015,0.055,0.177,0,0,21,17,2.390,2.340,2.359,8,0x17,10,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 4:17:19 PM,208,2,128,1743545839000,47.900,12.044,10.688,14.803,0.005,-0.996,-0.088,0.028,-0.014,0.055,0.177,0,0,21,17,2.390,2.340,2.359,8,0x17,10,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 4:27:19 PM,208,2,128,1743546439000,47.800,12.036,10.688,14.899,0.004,-0.996,-0.088,0.028,-0.014,0.055,0.177,0,0,21,17,2.391,2.341,2.360,8,0x17,10,-1.000,0.488,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 4:37:19 PM,208,2,128,1743547039000,45.500,12.048,10.813,15.043,0.005,-0.996,-0.088,0.028,-0.014,0.055,0.177,0,0,21,17,2.390,2.340,2.359,8,0x17,10,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 4:47:19 PM,208,2,128,1743547639000,48.000,12.040,10.813,14.995,0.005,-0.996,-0.088,0.028,-0.014,0.054,0.178,0,0,21,17,2.394,2.344,2.363,8,0x17,10,-1.000,0.485,2.532,0.120,0.166,-1.000,0x1fff
4/1/2025 4:57:19 PM,208,2,128,1743548239000,47.200,12.032,10.563,14.707,0.004,-0.996,-0.088,0.028,-0.013,0.055,0.177,0,0,21,17,2.390,2.340,2.359,8,0x17,10,-1.000,0.489,2.532,0.120,0.167,-1.000,0x1fff
4/1/2025 5:07:19 PM,208,2,128,1743548839000,47.600,12.040,10.563,14.803,0.005,-0.996,-0.088,0.028,-0.014,0.055,0.178,0,0,21,17,2.396,2.346,2.365,8,0x17,10,-1.000,0.483,2.652,0.000,0.165,-1.000,0x1fff
