DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/12/2025 12:47:19 PM,208,2,128,1739389639000,43.100,12.072,5.813,9.771,0.027,-0.346,0.938,0.005,-0.009,0.054,-2.435,0,0,16,13,2.107,2.056,2.080,8,0x17,5,-1.000,0.768,1.162,0.013,0.241,-1.000,0x1fff
2/12/2025 12:57:19 PM,208,2,128,1739390239000,48.400,12.040,5.375,9.531,0.027,-0.346,0.938,0.005,-0.009,0.054,-2.434,0,0,17,12,2.109,2.058,2.082,7,0x17,5,-1.000,0.766,1.162,0.013,0.240,-1.000,0x1fff
2/12/2025 1:07:19 PM,208,2,128,1739390839000,48.100,12.076,5.000,9.196,0.027,-0.346,0.938,0.005,-0.010,0.054,-2.434,0,0,16,12,2.109,2.058,2.083,8,0x17,4,-1.000,0.765,1.162,0.013,0.240,-1.000,0x1fff
2/12/2025 1:17:19 PM,208,2,128,1739391439000,47.900,12.072,2.313,6.896,0.027,-0.346,0.938,0.004,-0.011,0.054,-2.434,0,0,16,9,2.103,2.051,2.078,7,0x17,1,-1.000,0.770,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 1:27:19 PM,208,2,128,1739392039000,47.700,12.080,0.438,4.979,0.027,-0.346,0.938,0.005,-0.010,0.054,-2.433,0,0,13,7,2.100,2.048,2.077,7,0x17,0,-1.000,0.771,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 1:37:19 PM,208,2,128,1739392639000,47.200,12.076,-0.688,3.733,0.027,-0.347,0.938,0.004,-0.010,0.053,-2.433,0,0,11,5,2.100,2.048,2.078,7,0x17,-1,-1.000,0.770,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 1:47:19 PM,208,2,128,1739393239000,47.400,12.052,-0.500,3.924,0.027,-0.347,0.938,0.004,-0.010,0.053,-2.433,0,0,10,6,2.100,2.048,2.078,7,0x17,0,-1.000,0.770,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 1:57:19 PM,208,2,128,1739393839000,44.800,12.072,0.250,4.835,0.026,-0.347,0.938,0.005,-0.010,0.053,-2.433,0,0,10,7,2.100,2.048,2.077,7,0x17,0,-1.000,0.771,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 2:07:19 PM,208,2,128,1739394439000,48.100,12.052,0.813,4.883,0.027,-0.347,0.937,0.005,-0.010,0.053,-2.432,0,0,11,7,2.100,2.048,2.077,7,0x17,0,-1.000,0.771,1.162,0.013,0.242,-1.000,0x1fff
2/12/2025 2:17:19 PM,208,2,128,1739395039000,44.500,12.068,2.063,6.273,0.027,-0.347,0.937,0.005,-0.010,0.054,-2.432,0,0,12,9,2.109,2.058,2.085,7,0x17,2,-1.000,0.763,1.162,0.013,0.239,-1.000,0x1fff
