DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
2/12/2025 6:27:19 PM,2,1739410039000,44.500,12.060,-1.375,5.746,-0.010,0.055,-2.425,0,0,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 6:37:19 PM,2,1739410639000,47.000,12.080,-2.000,5.123,-0.010,0.055,-2.425,0,0,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 6:47:19 PM,2,1739411239000,39.900,12.088,0.125,7.327,-0.010,0.054,-2.424,0,0,0,2.077,7,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 6:57:19 PM,2,1739411839000,45.400,12.080,-1.500,6.225,-0.009,0.055,-2.424,0,0,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 7:07:19 PM,2,1739412439000,284.100,11.780,-0.875,5.889,-0.009,0.054,-2.424,0,1,0,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 7:17:19 PM,2,1739413039000,40.800,12.096,-1.063,6.608,-0.009,0.055,-2.424,0,0,0,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 7:27:19 PM,2,1739413639000,283.800,11.792,0.000,7.519,-0.009,0.054,-2.423,0,1,-1,2.076,7,-1.000,0.772,1.175,0.000,0x1fff
2/12/2025 7:37:19 PM,2,1739414239000,45.300,12.104,-1.938,5.314,-0.010,0.055,-2.423,0,0,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 7:47:19 PM,2,1739414839000,284.800,11.796,-1.813,4.835,-0.010,0.055,-2.423,0,1,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 7:57:19 PM,2,1739415439000,46.200,12.108,-0.625,7.471,-0.010,0.054,-2.423,0,0,0,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 8:07:19 PM,2,1739416039000,284.600,11.800,0.000,7.615,-0.010,0.054,-2.422,0,1,-1,2.076,8,-1.000,0.772,1.175,0.000,0x1fff
2/12/2025 8:17:19 PM,2,1739416639000,283.100,11.816,-1.563,5.410,-0.009,0.055,-2.422,0,1,-1,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 8:27:19 PM,2,1739417239000,43.400,12.116,-1.813,5.650,-0.010,0.055,-2.422,0,0,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 8:37:19 PM,2,1739417839000,45.700,12.120,-0.750,7.279,-0.010,0.055,-2.421,0,0,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 8:47:19 PM,2,1739418439000,45.400,12.124,-0.500,7.854,-0.009,0.054,-2.421,0,0,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 8:57:19 PM,2,1739419039000,45.700,12.128,-0.438,8.190,-0.010,0.055,-2.421,0,0,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 9:07:19 PM,2,1739419639000,46.300,12.132,-0.563,7.854,-0.009,0.054,-2.421,0,0,-1,2.077,7,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 9:17:19 PM,2,1739420239000,45.600,12.132,-0.500,7.854,-0.009,0.054,-2.420,0,0,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 9:27:19 PM,2,1739420839000,46.400,12.124,0.063,7.519,-0.009,0.053,-2.420,0,0,-1,2.077,7,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 9:37:19 PM,2,1739421439000,281.500,11.828,-2.125,5.314,-0.010,0.056,-2.420,0,1,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 9:47:19 PM,2,1739422039000,282.500,11.832,-2.000,5.410,-0.009,0.055,-2.420,0,1,0,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 9:57:19 PM,2,1739422639000,284.900,11.840,-1.125,6.464,-0.009,0.054,-2.419,0,1,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 10:07:19 PM,2,1739423239000,46.100,12.136,0.000,8.142,-0.009,0.054,-2.419,0,0,-1,2.077,8,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 10:17:19 PM,2,1739423839000,45.700,12.136,-0.563,8.333,-0.010,0.055,-2.418,0,0,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 10:27:19 PM,2,1739424439000,45.700,12.144,-1.750,6.081,-0.009,0.055,-2.418,0,0,-1,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 10:37:19 PM,2,1739425039000,278.100,11.856,-0.875,6.608,-0.009,0.054,-2.418,0,1,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 10:47:19 PM,2,1739425639000,45.800,12.144,0.125,8.573,-0.010,0.054,-2.418,0,0,-1,2.077,7,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 10:57:19 PM,2,1739426239000,44.100,12.144,-1.500,6.752,-0.010,0.055,-2.417,0,0,-1,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 11:07:19 PM,2,1739426839000,281.300,11.848,-1.063,6.704,-0.009,0.054,-2.417,0,1,-1,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
2/12/2025 11:17:19 PM,2,1739427439000,41.900,12.140,-0.125,8.573,-0.009,0.054,-2.417,0,0,-1,2.077,7,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 11:27:19 PM,2,1739428039000,45.800,12.140,-1.938,6.416,-0.010,0.055,-2.417,0,0,-1,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 11:37:19 PM,2,1739428639000,282.400,11.844,-0.125,8.142,-0.009,0.054,-2.416,0,1,-1,2.077,8,-1.000,0.771,1.175,0.000,0x1fff
2/12/2025 11:47:19 PM,2,1739429239000,46.100,12.136,-1.313,7.135,-0.009,0.055,-2.416,0,0,-1,2.079,7,-1.000,0.769,1.175,0.000,0x1fff
2/12/2025 11:57:19 PM,2,1739429839000,284.000,11.848,-0.438,7.854,-0.009,0.054,-2.416,0,1,-2,2.078,7,-1.000,0.770,1.175,0.000,0x1fff
