DATE,ID,VER,LENGTH,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_Q0,IMU_QX,IMU_QY,IMU_QZ,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_SOC_TEMP,SNODAR_PCB_TEMP,SNODAR_DISTANCE_RAW,SNODAR_DISTANCE_DOFF,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,SNODAR_STATUS,NRF_TEMP,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,SNODAR_DOY_SWE,SNODAR_TEMP_SWE,LIVE_HEALTH_FLAGS
2/13/2025 1:17:19 PM,208,2,128,1739477839000,46.400,12.012,-2.000,1.960,0.026,-0.355,0.935,0.005,-0.009,0.052,-2.416,0,0,7,2,2.153,2.104,2.135,7,0x17,-2,-1.000,0.713,1.175,0.016,0.223,-1.000,0x1fff
2/13/2025 1:27:19 PM,208,2,128,1739478439000,43.100,12.036,-1.875,2.247,0.027,-0.353,0.935,0.005,-0.010,0.053,-2.419,0,0,7,2,2.170,2.121,2.152,7,0x17,-2,-1.000,0.696,1.175,0.016,0.217,-1.000,0x1fff
2/13/2025 1:37:19 PM,208,2,128,1739479039000,42.600,12.048,-1.750,2.247,0.027,-0.357,0.934,0.005,-0.010,0.053,-2.412,0,0,7,2,2.173,2.124,2.155,7,0x17,-2,-1.000,0.693,1.175,0.016,0.216,-1.000,0x1fff
2/13/2025 1:47:19 PM,208,2,128,1739479639000,42.100,12.060,-1.625,2.487,0.027,-0.356,0.934,0.005,-0.010,0.053,-2.413,0,0,7,3,2.171,2.122,2.153,8,0x17,-1,-1.000,0.695,1.175,0.016,0.216,-1.000,0x1fff
2/13/2025 1:57:19 PM,208,2,128,1739480239000,46.200,12.052,-1.563,2.487,0.027,-0.358,0.933,0.005,-0.010,0.054,-2.409,0,0,8,3,2.171,2.122,2.153,7,0x17,-1,-1.000,0.695,1.175,0.016,0.216,-1.000,0x1fff
2/13/2025 2:07:19 PM,208,2,128,1739480839000,40.800,12.060,-1.688,2.391,0.026,-0.358,0.933,0.004,-0.011,0.052,-2.409,0,0,8,2,2.170,2.121,2.152,7,0x17,-1,-1.000,0.696,1.175,0.016,0.217,-1.000,0x1fff
2/13/2025 2:17:19 PM,208,2,128,1739481439000,46.600,12.060,-1.688,2.343,0.027,-0.361,0.932,0.005,-0.010,0.055,-2.401,0,0,7,3,2.171,2.122,2.153,7,0x17,-1,-1.000,0.695,1.175,0.016,0.216,-1.000,0x1fff
2/13/2025 2:27:19 PM,208,2,128,1739482039000,46.900,12.068,-1.750,2.247,0.026,-0.359,0.933,0.005,-0.010,0.052,-2.407,0,0,7,2,2.170,2.121,2.152,7,0x17,-2,-1.000,0.696,1.175,0.016,0.217,-1.000,0x1fff
2/13/2025 2:37:19 PM,208,2,128,1739482639000,43.900,12.080,-1.750,2.391,0.027,-0.358,0.934,0.005,-0.009,0.054,-2.410,0,0,7,3,2.173,2.124,2.155,7,0x17,-1,-1.000,0.693,1.175,0.016,0.216,-1.000,0x1fff
2/13/2025 2:47:19 PM,208,2,128,1739483239000,41.400,12.088,-1.500,2.918,0.026,-0.358,0.933,0.005,-0.009,0.053,-2.409,0,0,7,3,2.174,2.125,2.156,7,0x17,-1,-1.000,0.692,1.175,0.016,0.215,-1.000,0x1fff
