DATE,VER,UNIX_TIME,POWER_CURRENT,POWER_VOLTAGE,TMP_TEMP,IMU_TEMP,IMU_R,IMU_P,IMU_Y,IMU_FLAG,HEATER_ENABLED,SNODAR_PCB_TEMP,SNODAR_DISTANCE,SENSOR_MEASUREMENT_TIME,OUTSIDE_TEMP,SNODAR_SEASONAL_SNOW_DEPTH,SNODAR_SEASONAL_SNOW_FALL,SNODAR_NEW_SNOW_FALL,LIVE_HEALTH_FLAGS
3/13/2025 2:37:19 PM,2,1741898239000,48.600,12.044,12.563,16.576,-0.015,0.055,-1.874,0,0,19,2.128,8,-1.000,0.720,1.916,0.061,0x1fff
3/13/2025 2:47:19 PM,2,1741898839000,48.300,12.052,12.563,16.576,-0.015,0.055,-1.873,0,0,19,2.127,7,-1.000,0.721,1.916,0.061,0x1fff
3/13/2025 2:57:19 PM,2,1741899439000,48.200,12.024,12.938,17.007,-0.015,0.055,-1.873,0,0,19,2.127,7,-1.000,0.721,1.916,0.061,0x1fff
3/13/2025 3:07:19 PM,2,1741900039000,48.000,12.044,13.500,17.247,-0.015,0.055,-1.873,0,0,19,2.128,7,-1.000,0.720,1.916,0.061,0x1fff
3/13/2025 3:17:19 PM,2,1741900639000,46.800,12.056,12.125,16.097,-0.014,0.054,-1.873,0,0,18,2.129,7,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 3:27:19 PM,2,1741901239000,47.800,12.052,11.188,15.138,-0.014,0.055,-1.873,0,0,17,2.129,7,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 3:37:19 PM,2,1741901839000,47.900,12.052,11.375,15.138,-0.015,0.055,-1.872,0,0,17,2.130,7,-1.000,0.718,1.916,0.061,0x1fff
3/13/2025 3:47:19 PM,2,1741902439000,48.000,12.052,11.688,15.714,-0.015,0.055,-1.872,0,0,17,2.129,8,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 3:57:19 PM,2,1741903039000,48.500,12.052,11.563,15.378,-0.014,0.055,-1.872,0,0,17,2.129,7,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 4:07:19 PM,2,1741903639000,48.300,12.052,11.750,15.570,-0.014,0.055,-1.872,0,0,18,2.129,7,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 4:17:19 PM,2,1741904239000,47.500,12.048,11.750,15.857,-0.014,0.055,-1.871,0,0,18,2.129,7,-1.000,0.719,1.916,0.061,0x1fff
3/13/2025 4:27:19 PM,2,1741904839000,42.000,12.048,10.938,15.234,-0.014,0.055,-1.871,0,0,16,2.130,7,-1.000,0.718,1.916,0.061,0x1fff
3/13/2025 4:37:19 PM,2,1741905439000,45.500,12.048,10.750,14.851,-0.014,0.055,-1.871,0,0,16,2.130,7,-1.000,0.718,1.916,0.061,0x1fff
3/13/2025 4:47:19 PM,2,1741906039000,43.400,12.040,10.938,15.043,-0.014,0.054,-1.871,0,0,17,2.130,7,-1.000,0.718,1.916,0.061,0x1fff
3/13/2025 4:57:19 PM,2,1741906639000,46.800,12.024,10.250,14.084,-0.015,0.056,-1.870,0,0,16,2.131,7,-1.000,0.717,1.916,0.061,0x1fff
3/13/2025 5:07:19 PM,2,1741907239000,47.400,12.044,10.063,14.084,-0.015,0.055,-1.870,0,0,16,2.131,7,-1.000,0.717,1.977,0.000,0x1fff
3/13/2025 5:17:19 PM,2,1741907839000,47.200,12.048,9.625,13.749,-0.014,0.055,-1.870,0,0,15,2.131,7,-1.000,0.717,1.977,0.000,0x1fff
3/13/2025 5:27:19 PM,2,1741908439000,45.700,12.036,8.938,12.742,-0.015,0.055,-1.870,0,0,14,2.132,7,-1.000,0.716,1.977,0.000,0x1fff
3/13/2025 5:37:19 PM,2,1741909039000,47.000,12.052,8.375,12.407,-0.014,0.055,-1.870,0,0,13,2.132,8,-1.000,0.716,1.977,0.000,0x1fff
3/13/2025 5:47:19 PM,2,1741909639000,47.100,12.004,7.813,11.880,-0.014,0.055,-1.869,0,0,13,2.133,7,-1.000,0.715,1.977,0.000,0x1fff
3/13/2025 5:57:19 PM,2,1741910239000,43.600,12.020,7.875,11.880,-0.014,0.054,-1.869,0,0,13,2.133,7,-1.000,0.715,1.977,0.000,0x1fff
3/13/2025 6:07:19 PM,2,1741910839000,42.100,12.064,7.438,11.305,-0.014,0.055,-1.869,0,0,12,2.133,7,-1.000,0.715,1.977,0.000,0x1fff
3/13/2025 6:17:19 PM,2,1741911439000,46.800,12.060,6.813,10.490,-0.013,0.055,-1.869,0,0,12,2.134,8,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 6:27:19 PM,2,1741912039000,46.500,12.052,6.813,10.442,-0.014,0.054,-1.868,0,0,12,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 6:37:19 PM,2,1741912639000,46.700,12.060,6.750,10.777,-0.014,0.055,-1.868,0,0,11,2.133,7,-1.000,0.715,1.977,0.000,0x1fff
3/13/2025 6:47:19 PM,2,1741913239000,40.900,12.060,6.438,10.298,-0.014,0.055,-1.868,0,0,11,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 6:57:19 PM,2,1741913839000,46.000,12.060,6.250,10.298,-0.014,0.055,-1.868,0,0,11,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 7:07:19 PM,2,1741914439000,42.700,12.060,6.375,10.059,-0.014,0.054,-1.867,0,0,11,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 7:17:19 PM,2,1741915039000,42.200,12.016,5.875,9.867,-0.014,0.054,-1.867,0,0,11,2.135,7,-1.000,0.713,1.977,0.000,0x1fff
3/13/2025 7:27:19 PM,2,1741915639000,46.300,12.012,5.250,9.100,-0.014,0.055,-1.867,0,0,10,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
3/13/2025 7:37:19 PM,2,1741916239000,41.700,12.008,4.813,8.717,-0.014,0.054,-1.867,0,0,9,2.136,7,-1.000,0.712,1.977,0.000,0x1fff
3/13/2025 7:47:19 PM,2,1741916839000,45.700,12.000,4.438,8.381,-0.014,0.054,-1.867,0,0,9,2.136,7,-1.000,0.712,1.977,0.000,0x1fff
3/13/2025 7:57:19 PM,2,1741917439000,42.300,12.004,4.188,8.285,-0.014,0.054,-1.866,0,0,9,2.136,7,-1.000,0.712,1.977,0.000,0x1fff
3/13/2025 8:07:19 PM,2,1741918039000,46.900,12.004,4.063,7.758,-0.014,0.054,-1.866,0,0,9,2.136,7,-1.000,0.712,1.977,0.000,0x1fff
3/13/2025 8:17:19 PM,2,1741918639000,44.600,12.004,3.813,7.519,-0.014,0.055,-1.866,0,0,8,2.137,7,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 8:27:19 PM,2,1741919239000,45.900,12.004,3.375,7.231,-0.014,0.054,-1.866,0,0,7,2.133,7,-1.000,0.715,1.977,0.000,0x1fff
3/13/2025 8:37:19 PM,2,1741919839000,46.300,12.008,3.250,6.992,-0.014,0.054,-1.866,0,0,8,2.137,7,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 8:47:19 PM,2,1741920439000,43.000,12.012,3.063,6.944,-0.013,0.053,-1.865,0,0,7,2.127,7,-1.000,0.721,1.977,0.000,0x1fff
3/13/2025 8:57:19 PM,2,1741921039000,44.600,12.004,2.875,6.608,-0.014,0.054,-1.865,0,0,7,2.137,7,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 9:07:19 PM,2,1741921639000,41.100,12.016,2.813,6.896,-0.013,0.054,-1.865,0,0,7,2.137,7,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 9:17:19 PM,2,1741922239000,47.000,12.016,2.875,6.800,-0.014,0.054,-1.865,0,0,7,2.138,9,-1.000,0.710,1.977,0.000,0x1fff
3/13/2025 9:27:19 PM,2,1741922839000,40.500,12.012,2.688,6.704,-0.013,0.054,-1.864,0,0,7,2.138,7,-1.000,0.710,1.977,0.000,0x1fff
3/13/2025 9:37:19 PM,2,1741923439000,44.300,12.012,2.500,6.416,-0.013,0.053,-1.864,0,0,7,2.135,7,-1.000,0.713,1.977,0.000,0x1fff
3/13/2025 9:47:19 PM,2,1741924039000,44.000,12.012,2.563,6.464,-0.014,0.054,-1.864,0,0,7,2.138,7,-1.000,0.710,1.977,0.000,0x1fff
3/13/2025 9:57:19 PM,2,1741924639000,43.200,12.020,2.750,6.608,-0.014,0.054,-1.864,0,0,7,2.138,7,-1.000,0.710,1.977,0.000,0x1fff
3/13/2025 10:07:19 PM,2,1741925239000,45.300,12.012,3.000,6.896,-0.014,0.054,-1.864,0,0,7,2.137,8,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 10:17:19 PM,2,1741925839000,46.300,12.012,3.125,6.944,-0.014,0.054,-1.863,0,0,7,2.137,7,-1.000,0.711,1.977,0.000,0x1fff
3/13/2025 10:27:19 PM,2,1741926439000,46.500,12.008,3.188,7.087,-0.013,0.054,-1.863,0,0,7,2.134,7,-1.000,0.714,1.977,0.000,0x1fff
