"Plot Title: Site0kmWY2026"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,10/29/25 09:43:32 AM,836.550,2.34,3.34,137.6,3.531,50.838
2,10/29/25 09:53:32 AM,836.750,0.33,2.00,129.2,4.869,47.976
3,10/29/25 10:03:32 AM,836.450,1.67,3.01,134.8,4.692,46.595
4,10/29/25 10:13:32 AM,836.450,2.00,3.34,126.4,4.566,46.831
5,10/29/25 10:23:32 AM,836.850,1.67,2.67,124.9,4.577,45.553
6,10/29/25 10:33:32 AM,836.850,2.00,3.01,127.8,4.668,45.736
7,10/29/25 10:43:32 AM,836.850,1.67,2.67,124.9,5.038,44.714
8,10/29/25 10:53:32 AM,837.050,0.33,2.34,96.9,6.890,42.391
9,10/29/25 11:03:32 AM,837.250,0.67,2.34,320.1,6.341,44.149
10,10/29/25 11:13:32 AM,837.250,0.33,1.67,318.7,6.196,43.816
11,10/29/25 11:23:32 AM,837.150,0.00,1.34,289.2,7.183,41.892
12,10/29/25 11:33:32 AM,837.150,0.67,2.67,106.7,6.732,42.832
13,10/29/25 11:43:32 AM,837.350,0.67,2.00,157.2,6.502,43.116
14,10/29/25 11:53:32 AM,837.350,0.67,1.67,280.8,6.464,44.215
15,10/29/25 12:03:32 PM,837.250,0.33,1.34,335.5,7.606,43.145
16,10/29/25 12:13:32 PM,837.250,0.67,2.00,242.9,7.590,42.953
17,10/29/25 12:23:32 PM,837.150,0.67,2.00,192.3,8.201,39.998
18,10/29/25 12:33:32 PM,837.250,1.00,2.34,278.0,8.373,40.354
19,10/29/25 12:43:32 PM,837.350,0.67,2.00,293.4,8.984,38.318
20,10/29/25 12:53:32 PM,837.250,0.67,2.00,262.5,10.000,35.572
21,10/29/25 01:03:32 PM,837.150,1.34,2.34,294.8,9.596,37.037
22,10/29/25 01:13:32 PM,837.050,1.34,3.01,289.2,10.097,36.112
23,10/29/25 01:23:32 PM,836.950,3.01,4.68,297.6,9.711,38.407
24,10/29/25 01:33:32 PM,836.850,2.67,5.34,307.5,9.971,38.560
25,10/29/25 01:43:32 PM,836.750,4.34,7.01,299.0,10.695,37.540
26,10/29/25 01:53:32 PM,836.650,4.68,7.68,308.9,10.754,38.444
27,10/29/25 02:03:32 PM,836.550,5.01,7.35,321.5,10.389,39.915
28,10/29/25 02:13:32 PM,836.450,6.35,8.68,308.9,10.279,40.951
29,10/29/25 02:23:32 PM,836.350,7.68,10.35,292.0,10.185,41.286
30,10/29/25 02:33:32 PM,836.250,8.35,11.02,287.8,10.113,42.925
31,10/29/25 02:43:32 PM,836.150,8.68,11.02,283.6,10.105,43.983
32,10/29/25 02:53:32 PM,836.050,9.02,12.02,282.2,10.228,45.585
33,10/29/25 03:03:32 PM,836.050,8.68,11.35,285.0,10.100,47.933
34,10/29/25 03:13:32 PM,836.050,8.68,11.69,283.6,10.049,48.074
35,10/29/25 03:23:32 PM,835.950,8.68,10.69,282.2,10.121,48.035
36,10/29/25 03:33:32 PM,835.950,7.68,11.02,285.0,10.518,48.481
37,10/29/25 03:43:32 PM,835.750,9.35,11.69,285.0,10.279,50.143
38,10/29/25 03:53:32 PM,835.750,9.02,11.02,285.0,10.397,51.014
39,10/29/25 04:03:32 PM,835.750,9.68,11.69,278.0,10.228,51.641
40,10/29/25 04:13:32 PM,835.550,10.35,12.69,282.2,10.150,50.988
41,10/29/25 04:23:32 PM,835.550,10.02,12.36,285.0,10.193,50.393
42,10/29/25 04:33:32 PM,835.550,10.02,12.69,283.6,10.172,50.661
43,10/29/25 04:43:32 PM,835.350,10.35,12.69,282.2,10.054,50.797
44,10/29/25 04:53:32 PM,835.550,9.35,12.36,286.4,10.118,50.565
45,10/29/25 05:03:32 PM,835.450,9.02,11.35,287.8,10.126,51.002
46,10/29/25 05:13:32 PM,835.450,9.02,12.02,286.4,9.955,51.305
47,10/29/25 05:23:32 PM,835.450,8.02,10.02,285.0,9.925,51.704
48,10/29/25 05:33:32 PM,835.550,8.02,10.02,287.8,9.754,52.422
49,10/29/25 05:43:32 PM,835.550,7.68,9.35,286.4,9.609,52.589
50,10/29/25 05:53:32 PM,835.550,7.01,9.35,286.4,9.389,53.210
51,10/29/25 06:03:32 PM,835.650,6.35,8.02,282.2,9.094,53.889
52,10/29/25 06:13:32 PM,835.750,5.01,7.35,282.2,8.799,54.879
53,10/29/25 06:23:32 PM,835.750,5.01,6.35,278.0,8.293,55.836
54,10/29/25 06:33:32 PM,835.550,6.01,8.02,272.4,7.534,57.493
55,10/29/25 06:43:32 PM,835.450,7.01,8.68,273.8,7.276,58.148
56,10/29/25 06:53:32 PM,835.550,6.01,8.02,279.4,6.722,59.748
57,10/29/25 07:03:32 PM,835.450,6.35,8.68,275.2,6.740,59.901
58,10/29/25 07:13:32 PM,835.550,5.34,7.68,276.6,6.453,61.128
