"Plot Title: Test Launch"
"#","Date Time, GMT-07:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Voltage, V (LGR S/N: 21623142, SEN S/N: 21378804)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,12/23/22 02:23:07 PM,832.050,-0.1937,5.68,6.35,126.4,-11.289,43.212
2,12/23/22 02:33:07 PM,832.150,-0.1937,5.68,6.01,124.9,-11.166,86.401
3,12/23/22 02:43:07 PM,831.950,-0.1937,5.68,6.35,123.5,-11.112,87.605
4,12/23/22 02:53:07 PM,831.850,-0.1937,5.68,6.35,127.8,-11.051,88.946
5,12/23/22 03:03:07 PM,831.950,-0.1937,5.68,6.01,126.4,-10.984,89.509
6,12/23/22 03:13:07 PM,832.050,-0.1937,5.34,6.01,124.9,-11.013,90.127
7,12/23/22 03:23:07 PM,832.150,-0.1937,5.34,5.68,129.2,-10.906,90.336
8,12/23/22 03:33:07 PM,832.450,-0.1937,4.68,5.01,137.6,-10.801,90.323
9,12/23/22 03:43:07 PM,832.450,-0.1937,4.01,4.34,124.9,-10.692,90.408
10,12/23/22 03:53:07 PM,832.650,-0.1937,3.67,4.01,120.7,-10.525,90.419
11,12/23/22 04:03:07 PM,832.550,-0.1937,4.01,4.34,122.1,-10.415,90.588
12,12/23/22 04:13:07 PM,832.750,-0.1937,3.67,4.68,116.5,-10.244,90.793
13,12/23/22 04:23:07 PM,832.950,-0.1937,3.01,3.67,112.3,-9.962,91.141
14,12/23/22 04:33:07 PM,832.950,-0.1937,3.34,3.67,122.1,-9.651,91.369
15,12/23/22 04:43:07 PM,833.150,-0.1937,3.01,3.67,129.2,-9.657,91.470
16,12/23/22 04:53:07 PM,833.150,-0.1937,3.34,3.67,129.2,-9.466,91.751
17,12/23/22 05:03:07 PM,833.250,-0.1937,3.67,4.01,126.4,-9.413,91.884
18,12/23/22 05:13:07 PM,833.250,-0.1937,3.67,4.34,126.4,-9.289,92.061
19,12/23/22 05:23:07 PM,833.250,-0.1937,4.01,4.34,124.9,-9.059,92.248
20,12/23/22 05:33:07 PM,833.250,-0.1937,4.01,4.34,119.3,-8.893,92.369
21,12/23/22 05:43:07 PM,833.350,-0.1937,3.67,4.68,117.9,-8.836,92.438
22,12/23/22 05:53:07 PM,833.250,-0.1937,3.67,4.01,119.3,-8.742,92.519
23,12/23/22 06:03:07 PM,833.250,-0.1937,3.34,3.67,123.5,-8.705,92.601
24,12/23/22 06:13:07 PM,833.350,-0.1937,3.01,3.67,120.7,-8.624,92.671
25,12/23/22 06:23:07 PM,833.450,-0.1937,2.67,3.34,122.1,-8.520,92.804
26,12/23/22 06:33:07 PM,833.450,-0.1937,2.67,3.01,129.2,-8.324,92.935
27,12/23/22 06:43:07 PM,833.350,-0.1937,3.01,3.67,123.5,-8.193,93.014
28,12/23/22 06:53:07 PM,833.250,-0.1937,3.34,3.67,123.5,-8.196,93.074
29,12/23/22 07:03:07 PM,833.450,-0.1937,3.34,3.67,127.8,-8.088,93.175
30,12/23/22 07:13:07 PM,833.550,-0.1937,3.01,3.34,119.3,-8.002,93.199
31,12/23/22 07:23:07 PM,833.750,-0.1937,2.34,3.01,113.7,-7.970,93.298
32,12/23/22 07:33:07 PM,833.750,-0.1937,2.34,2.67,117.9,-7.858,93.381
33,12/23/22 07:43:07 PM,833.950,-0.1937,2.00,2.34,108.1,-7.831,93.446
34,12/23/22 07:53:07 PM,833.950,-0.1937,2.00,2.34,109.5,-7.793,93.536
35,12/23/22 08:03:07 PM,834.050,-0.1937,2.00,2.67,112.3,-7.767,93.623
36,12/23/22 08:13:07 PM,834.150,-0.1937,2.00,2.34,110.9,-7.675,93.703
37,12/23/22 08:23:07 PM,834.050,-0.1937,2.00,2.34,115.1,-7.635,93.770
38,12/23/22 08:33:07 PM,834.250,-0.1937,2.00,2.34,116.5,-7.611,93.835
39,12/23/22 08:43:07 PM,834.150,-0.1937,2.34,2.67,120.7,-7.606,93.860
