"Plot Title: 53site0km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623142, SEN S/N: 21318866, LBL: Barometric pressure)","Voltage, V (LGR S/N: 21623142, SEN S/N: 21378804)","Wind Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: ws)","Gust Speed, m/s (LGR S/N: 21623142, SEN S/N: 21534754, LBL: gst)","Wind Direction, ø (LGR S/N: 21623142, SEN S/N: 21534754, LBL: wd)","Temp, °C (LGR S/N: 21623142, SEN S/N: 21549907, LBL: t)","RH, % (LGR S/N: 21623142, SEN S/N: 21549907, LBL: rh)"
1,11/04/23 07:37:47 PM,829.350,-0.1937,2.00,3.34,189.5,6.762,91.206
2,11/04/23 07:47:47 PM,829.850,-0.1937,1.67,3.34,188.1,6.778,92.563
3,11/04/23 07:57:47 PM,829.550,-0.1937,1.00,2.00,103.9,6.941,91.276
4,11/04/23 08:07:47 PM,829.850,-0.1937,1.34,3.01,11.2,6.735,92.740
5,11/04/23 08:17:47 PM,829.850,-0.1937,1.00,3.34,50.5,6.515,94.124
6,11/04/23 08:27:47 PM,829.250,-0.1937,5.01,6.35,133.4,6.327,95.950
7,11/04/23 08:37:47 PM,828.650,-0.1937,6.35,7.35,123.5,5.915,98.346
8,11/04/23 08:47:47 PM,828.750,-0.1937,5.34,6.68,124.9,5.869,98.735
9,11/04/23 08:57:47 PM,828.650,-0.1937,5.34,6.35,120.7,5.821,98.938
10,11/04/23 09:07:47 PM,828.650,-0.1937,5.01,5.68,123.5,5.636,99.490
11,11/04/23 09:17:47 PM,828.750,-0.1937,4.01,5.01,116.5,5.582,99.919
12,11/04/23 09:27:47 PM,828.750,-0.1937,3.34,4.01,108.1,5.523,99.997
13,11/04/23 09:37:47 PM,828.650,-0.1937,4.34,6.68,101.1,5.534,99.997
14,11/04/23 09:47:47 PM,828.550,-0.1937,4.01,5.34,108.1,5.641,99.997
15,11/04/23 09:57:47 PM,828.550,-0.1937,3.67,6.68,110.9,5.585,99.997
16,11/04/23 10:07:47 PM,828.050,-0.1937,5.01,6.68,113.7,5.625,99.997
17,11/04/23 10:17:47 PM,827.850,-0.1937,5.68,7.35,106.7,5.668,99.997
18,11/04/23 10:27:47 PM,828.250,-0.1937,4.01,6.68,108.1,5.716,99.997
19,11/04/23 10:37:47 PM,828.550,-0.1937,2.34,5.01,113.7,5.799,99.997
20,11/04/23 10:47:47 PM,828.650,-0.1937,3.01,5.01,95.5,5.941,99.997
21,11/04/23 10:57:47 PM,828.350,-0.1937,3.67,5.01,96.9,5.928,99.997
22,11/04/23 11:07:47 PM,828.250,-0.1937,4.01,6.01,80.0,5.982,99.997
23,11/04/23 11:17:47 PM,828.350,-0.1937,3.34,9.35,102.5,6.502,97.881
24,11/04/23 11:27:47 PM,828.150,-0.1937,5.68,11.02,183.9,8.258,87.085
25,11/04/23 11:37:47 PM,828.250,-0.1937,4.34,7.01,196.5,8.813,83.680
26,11/04/23 11:47:47 PM,827.850,-0.1937,5.68,7.68,199.4,8.974,83.853
27,11/04/23 11:57:47 PM,827.750,-0.1937,5.34,8.68,210.6,9.172,82.695
28,11/05/23 12:07:47 AM,827.550,-0.1937,3.34,6.68,186.7,8.486,87.431
29,11/05/23 12:17:47 AM,827.850,-0.1937,1.00,3.67,174.1,8.145,89.630
30,11/05/23 12:27:47 AM,827.550,-0.1937,2.34,3.34,119.3,7.898,90.939
31,11/05/23 12:37:47 AM,827.250,-0.1937,3.34,5.01,122.1,7.260,93.768
32,11/05/23 12:47:47 AM,827.050,-0.1937,4.68,6.35,110.9,7.033,94.830
33,11/05/23 12:57:47 AM,826.950,-0.1937,5.01,7.01,101.1,6.955,95.146
34,11/05/23 01:07:47 AM,827.050,-0.1937,4.01,5.68,84.2,7.003,95.775
35,11/05/23 01:17:47 AM,827.050,-0.1937,3.34,5.01,82.8,7.397,93.562
36,11/05/23 01:27:47 AM,827.050,-0.1937,2.67,3.34,75.8,6.947,95.689
37,11/05/23 01:37:47 AM,827.050,-0.1937,2.34,2.67,98.3,7.014,95.021
38,11/05/23 01:47:47 AM,827.150,-0.1937,2.67,3.01,109.5,6.738,96.260
39,11/05/23 01:57:47 AM,827.350,-0.1937,1.67,2.67,108.1,6.762,96.345
40,11/05/23 02:07:47 AM,827.450,-0.1937,1.34,3.01,103.9,7.043,94.958
41,11/05/23 02:17:47 AM,827.750,-0.1937,1.67,3.34,11.2,6.445,98.254
42,11/05/23 02:27:47 AM,827.750,-0.1937,1.67,3.34,185.3,6.872,96.843
43,11/05/23 02:37:47 AM,827.350,-0.1937,3.34,6.68,293.4,7.764,89.754
44,11/05/23 02:47:47 AM,826.950,-0.1937,2.67,4.34,328.5,7.217,92.519
45,11/05/23 02:57:47 AM,826.850,-0.1937,2.00,2.67,300.4,6.882,94.034
46,11/05/23 03:07:47 AM,826.950,-0.1937,1.34,2.34,297.6,6.368,97.284
47,11/05/23 03:17:47 AM,826.950,-0.1937,2.00,2.67,311.7,6.453,96.730
48,11/05/23 03:27:47 AM,826.950,-0.1937,0.33,1.67,341.2,6.360,96.431
49,11/05/23 03:37:47 AM,826.850,-0.1937,0.00,0.00,341.2,6.435,95.906
50,11/05/23 03:47:47 AM,826.950,-0.1937,0.00,1.00,259.7,6.652,94.760
51,11/05/23 03:57:47 AM,826.950,-0.1937,0.67,1.67,165.7,6.137,96.345
52,11/05/23 04:07:47 AM,826.950,-0.1937,1.67,4.68,176.9,6.797,92.255
53,11/05/23 04:17:47 AM,826.850,-0.1937,2.00,4.01,234.5,7.354,87.967
54,11/05/23 04:27:47 AM,826.950,-0.1937,1.67,3.34,339.7,6.767,92.201
55,11/05/23 04:37:47 AM,826.950,-0.1937,1.67,3.01,322.9,6.829,93.323
56,11/05/23 04:47:47 AM,826.750,-0.1937,1.00,1.67,287.8,6.845,93.373
57,11/05/23 04:57:47 AM,826.450,-0.1937,1.00,2.34,272.4,6.874,93.001
58,11/05/23 05:07:47 AM,826.550,-0.1937,1.67,2.00,261.1,6.893,92.853
59,11/05/23 05:17:47 AM,826.750,-0.1937,1.67,3.01,287.8,6.775,93.933
60,11/05/23 05:27:47 AM,826.750,-0.1937,3.01,6.68,271.0,6.947,91.057
61,11/05/23 05:37:47 AM,826.750,-0.1937,4.68,8.35,252.7,6.979,88.809
62,11/05/23 05:47:47 AM,826.750,-0.1937,4.68,6.68,248.5,7.054,86.792
63,11/05/23 05:57:47 AM,826.850,-0.1937,5.01,12.69,248.5,6.754,89.297
64,11/05/23 06:07:47 AM,826.650,-0.1937,7.01,14.03,265.3,6.778,87.358
65,11/05/23 06:17:47 AM,826.650,-0.1937,5.68,8.02,278.0,6.893,86.537
