"Plot Title: site10kmWY2026"
"#","Date Time, GMT-06:00","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21534753)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)","DewPt, °C (LGR S/N: 21623137, SEN S/N: 21549914)"
1,10/29/25 12:00:53 PM,0.67,1.34,119.3,7.553,39.103,1069.350,-5.468
2,10/29/25 12:10:53 PM,0.67,1.67,134.8,8.646,37.400,1069.350,-5.075
3,10/29/25 12:20:53 PM,0.33,1.00,168.5,9.384,36.495,1069.350,-4.740
4,10/29/25 12:30:53 PM,0.67,1.34,165.7,9.971,35.901,1069.350,-4.436
5,10/29/25 12:40:53 PM,0.00,0.00,285.0,10.207,33.495,1069.350,-5.143
6,10/29/25 12:50:53 PM,0.67,2.34,223.2,10.810,32.346,1069.350,-5.073
7,10/29/25 01:00:53 PM,1.67,2.67,220.4,11.159,30.593,1069.350,-5.501
8,10/29/25 01:10:53 PM,1.67,3.01,216.2,11.708,31.429,1069.350,-4.666
9,10/29/25 01:20:53 PM,1.67,3.34,231.6,12.129,31.745,1069.350,-4.165
10,10/29/25 01:30:53 PM,2.00,3.34,252.7,12.137,31.867,1069.350,-4.107
11,10/29/25 01:40:53 PM,2.34,4.34,242.9,13.239,31.794,1069.350,-3.174
12,10/29/25 01:50:53 PM,3.01,5.34,261.1,13.456,31.643,1069.350,-3.048
13,10/29/25 02:00:53 PM,4.34,6.68,252.7,13.582,32.213,1069.350,-2.698
14,10/29/25 02:10:53 PM,4.01,7.35,255.5,13.022,33.674,1069.350,-2.593
15,10/29/25 02:20:53 PM,4.34,6.35,262.5,12.735,35.349,1069.350,-2.191
16,10/29/25 02:30:53 PM,4.34,7.01,261.1,12.574,36.967,1069.350,-1.728
17,10/29/25 02:40:53 PM,4.34,7.35,261.1,12.746,38.245,1069.350,-1.113
18,10/29/25 02:50:53 PM,4.68,7.01,268.1,12.915,39.249,1069.350,-0.607
19,10/29/25 03:00:53 PM,4.68,7.01,268.1,12.716,41.408,1069.350,-0.051
20,10/29/25 03:10:53 PM,5.01,7.68,271.0,12.641,42.368,1069.350,0.197
21,10/29/25 03:20:53 PM,5.01,8.02,263.9,12.727,42.966,1069.350,0.468
22,10/29/25 03:30:53 PM,4.68,7.01,271.0,12.974,43.307,1069.350,0.801
23,10/29/25 03:40:53 PM,4.34,6.35,263.9,13.016,43.732,1069.350,0.975
24,10/29/25 03:50:53 PM,4.34,7.35,268.1,13.223,43.688,1069.350,1.149
25,10/29/25 04:00:53 PM,4.68,7.35,266.7,13.169,44.926,1069.350,1.488
26,10/29/25 04:10:53 PM,5.01,7.68,262.5,12.982,45.843,1069.350,1.600
27,10/29/25 04:20:53 PM,5.01,7.68,259.7,12.813,45.888,1069.350,1.459
28,10/29/25 04:30:53 PM,5.01,7.35,262.5,12.705,46.748,1069.350,1.619
29,10/29/25 04:40:53 PM,4.68,7.01,268.1,12.588,46.459,1069.350,1.426
30,10/29/25 04:50:53 PM,5.01,7.68,262.5,12.413,46.395,1069.350,1.247
31,10/29/25 05:00:53 PM,5.01,7.35,251.3,12.282,46.535,1069.350,1.169
32,10/29/25 05:10:53 PM,4.68,7.01,256.9,12.035,46.854,1069.350,1.038
33,10/29/25 05:20:53 PM,4.01,6.01,254.1,11.915,47.218,1069.350,1.035
34,10/29/25 05:30:53 PM,3.67,5.34,255.5,11.663,47.749,1069.350,0.960
35,10/29/25 05:40:53 PM,3.67,5.34,255.5,11.381,48.862,1069.350,1.020
36,10/29/25 05:50:53 PM,3.01,5.01,252.7,11.038,49.685,1069.350,0.936
37,10/29/25 06:00:53 PM,3.01,4.68,256.9,10.553,51.171,1069.350,0.897
38,10/29/25 06:10:53 PM,2.67,4.34,259.7,9.872,53.132,1069.350,0.787
39,10/29/25 06:20:53 PM,2.34,3.67,258.3,8.952,55.586,1069.350,0.555
40,10/29/25 06:30:53 PM,2.34,3.34,259.7,7.247,60.206,1069.350,0.055
41,10/29/25 06:40:53 PM,2.34,3.01,275.2,6.153,63.207,1069.350,-0.311
42,10/29/25 06:50:53 PM,2.00,3.01,268.1,6.207,62.315,1069.350,-0.455
43,10/29/25 07:00:53 PM,2.67,3.67,247.1,5.008,65.953,1069.350,-0.818
44,10/29/25 07:10:53 PM,2.00,3.01,275.2,3.569,69.711,1069.350,-1.440
45,10/29/25 07:20:53 PM,2.34,3.34,263.9,3.955,69.136,1069.350,-1.183
46,10/29/25 07:30:53 PM,2.34,3.67,263.9,5.137,65.467,1069.350,-0.797
47,10/29/25 07:40:53 PM,2.00,2.67,262.5,4.223,67.903,1069.350,-1.171
48,10/29/25 07:50:53 PM,2.67,3.34,266.7,3.258,71.466,1069.350,-1.401
49,10/29/25 08:00:53 PM,3.01,4.01,275.2,4.461,68.757,1069.350,-0.772
50,10/29/25 08:10:53 PM,1.34,2.67,297.6,4.309,68.376,1069.350,-0.994
51,10/29/25 08:20:53 PM,2.67,4.34,299.0,3.526,70.845,1069.350,-1.262
52,10/29/25 08:30:53 PM,2.67,3.67,285.0,4.129,69.104,1069.350,-1.022
53,10/29/25 08:40:53 PM,2.67,3.01,279.4,4.539,67.524,1069.350,-0.945
54,10/29/25 08:50:53 PM,2.00,3.01,283.6,4.234,68.397,1069.350,-1.062
55,10/29/25 09:00:53 PM,2.00,3.01,275.2,4.011,69.042,1069.350,-1.147
56,10/29/25 09:10:53 PM,2.34,3.34,252.7,3.327,70.445,1069.350,-1.531
57,10/29/25 09:20:53 PM,2.67,3.67,265.3,2.400,73.956,1069.350,-1.764
58,10/29/25 09:30:53 PM,2.00,3.67,320.1,1.413,77.246,1069.350,-2.132
59,10/29/25 09:40:53 PM,1.67,3.01,311.7,1.762,76.741,1069.350,-1.882
60,10/29/25 09:50:53 PM,1.00,3.01,303.2,1.681,77.079,1069.350,-1.901
61,10/29/25 10:00:53 PM,1.00,2.34,256.9,1.448,77.675,1069.350,-2.023
62,10/29/25 10:10:53 PM,1.67,2.34,256.9,1.175,78.570,1069.350,-2.134
63,10/29/25 10:20:53 PM,2.00,3.34,258.3,1.553,78.543,1069.350,-1.771
64,10/29/25 10:30:53 PM,2.00,3.34,307.5,1.877,77.119,1069.350,-1.703
65,10/29/25 10:40:53 PM,2.00,3.01,314.5,0.847,80.131,1069.350,-2.188
66,10/29/25 10:50:53 PM,1.67,3.34,275.2,0.700,81.477,1069.350,-2.107
67,10/29/25 11:00:53 PM,1.67,2.34,275.2,0.947,79.583,1069.350,-2.183
68,10/29/25 11:10:53 PM,1.67,3.01,238.7,0.105,82.383,1069.350,-2.540
69,10/29/25 11:20:53 PM,0.67,1.67,334.1,-0.541,85.318,1069.350,-2.702
70,10/29/25 11:30:53 PM,0.33,1.67,310.3,0.252,82.080,1069.350,-2.445
71,10/29/25 11:40:53 PM,1.67,2.67,279.4,0.748,81.718,1069.350,-2.020
72,10/29/25 11:50:53 PM,1.67,2.67,273.8,-0.016,81.798,1069.350,-2.754
73,10/30/25 12:00:53 AM,1.34,2.00,299.0,-0.876,86.587,1069.350,-2.834
74,10/30/25 12:10:53 AM,2.00,3.34,292.0,0.166,84.224,1069.350,-2.182
75,10/30/25 12:20:53 AM,3.01,3.67,273.8,0.893,82.251,1069.350,-1.790
76,10/30/25 12:30:53 AM,3.01,4.01,269.6,0.630,82.560,1069.350,-1.996
77,10/30/25 12:40:53 AM,2.34,3.34,272.4,0.405,83.511,1069.350,-2.062
78,10/30/25 12:50:53 AM,2.34,3.01,275.2,0.957,82.309,1069.350,-1.717
79,10/30/25 01:00:53 AM,2.67,3.34,258.3,1.228,80.401,1069.350,-1.770
80,10/30/25 01:10:53 AM,2.00,3.01,268.1,0.164,82.870,1069.350,-2.402
81,10/30/25 01:20:53 AM,2.67,3.67,254.1,0.301,82.908,1069.350,-2.262
82,10/30/25 01:30:53 AM,1.00,2.00,11.2,-0.244,84.306,1069.350,-2.571
83,10/30/25 01:40:53 AM,0.33,1.34,332.7,0.858,80.339,1069.350,-2.142
84,10/30/25 01:50:53 AM,0.33,1.34,325.7,0.102,82.519,1069.350,-2.520
85,10/30/25 02:00:53 AM,2.67,3.67,313.1,-0.525,84.146,1069.350,-2.873
86,10/30/25 02:10:53 AM,2.00,3.67,304.7,-0.584,85.353,1069.350,-2.739
87,10/30/25 02:20:53 AM,1.67,2.67,259.7,-0.375,84.974,1069.350,-2.594
88,10/30/25 02:30:53 AM,1.67,3.01,275.2,-0.163,84.059,1069.350,-2.531
89,10/30/25 02:40:53 AM,0.67,2.00,56.2,-0.716,84.852,1069.350,-2.948
90,10/30/25 02:50:53 AM,1.00,3.01,226.0,-0.745,85.806,1069.350,-2.827
91,10/30/25 03:00:53 AM,0.67,1.67,244.3,-0.611,84.996,1069.350,-2.822
92,10/30/25 03:10:53 AM,0.33,1.34,278.0,-1.056,86.091,1069.350,-3.088
93,10/30/25 03:20:53 AM,1.00,2.00,286.4,-1.126,86.506,1069.350,-3.093
94,10/30/25 03:30:53 AM,0.33,2.00,344.0,-1.501,86.685,1069.350,-3.434
95,10/30/25 03:40:53 AM,0.00,1.00,345.4,-1.986,88.838,1069.350,-3.585
96,10/30/25 03:50:53 AM,0.67,1.00,345.4,-2.547,89.546,1069.350,-4.034
97,10/30/25 04:00:53 AM,1.34,1.67,332.7,-3.035,90.549,1069.350,-4.369
98,10/30/25 04:10:53 AM,1.67,2.34,329.9,-3.268,91.530,1069.350,-4.457
99,10/30/25 04:20:53 AM,1.34,2.00,320.1,-3.035,90.735,1069.350,-4.342
100,10/30/25 04:30:53 AM,0.67,1.67,327.1,-2.876,89.786,1069.350,-4.324
101,10/30/25 04:40:53 AM,0.00,0.67,328.5,-3.262,91.353,1069.350,-4.477
102,10/30/25 04:50:53 AM,0.33,1.00,299.0,-3.262,90.150,1069.350,-4.652
103,10/30/25 05:00:53 AM,0.33,0.67,287.8,-4.118,92.224,1069.350,-5.200
104,10/30/25 05:10:53 AM,0.00,0.00,287.8,-4.871,93.672,1069.350,-5.744
105,10/30/25 05:20:53 AM,0.00,0.00,287.8,-4.506,96.240,1069.350,-5.025
106,10/30/25 05:30:53 AM,0.33,1.34,287.8,-4.295,94.763,1069.350,-5.018
107,10/30/25 05:40:53 AM,1.67,2.00,276.6,-4.665,93.689,1069.350,-5.537
108,10/30/25 05:50:53 AM,1.34,1.67,275.2,-3.866,93.993,1069.350,-4.699
109,10/30/25 06:00:53 AM,0.33,1.00,275.2,-3.319,90.953,1069.350,-4.591
110,10/30/25 06:10:53 AM,0.33,1.67,276.6,-4.651,91.885,1069.350,-5.778
111,10/30/25 06:20:53 AM,1.34,2.00,292.0,-4.777,94.833,1069.350,-5.489
112,10/30/25 06:30:53 AM,1.00,1.34,294.8,-4.225,94.377,1069.350,-5.003
113,10/30/25 06:40:53 AM,1.34,2.00,286.4,-4.619,93.703,1069.350,-5.489
114,10/30/25 06:50:53 AM,1.67,2.00,269.6,-5.536,94.282,1069.350,-6.320
115,10/30/25 07:00:53 AM,1.34,1.67,294.8,-4.603,94.580,1069.350,-5.351
116,10/30/25 07:10:53 AM,1.34,1.67,304.7,-4.686,93.712,1069.350,-5.554
117,10/30/25 07:20:53 AM,1.00,1.67,306.1,-4.823,93.918,1069.350,-5.662
118,10/30/25 07:30:53 AM,0.67,1.34,311.7,-4.734,93.756,1069.350,-5.596
119,10/30/25 07:40:53 AM,0.33,1.00,311.7,-4.649,93.639,1069.350,-5.528
120,10/30/25 07:50:53 AM,0.00,0.00,311.7,-4.686,93.658,1069.350,-5.562
121,10/30/25 08:00:53 AM,0.00,0.00,311.7,-4.973,94.881,1069.350,-5.677
122,10/30/25 08:10:53 AM,0.33,1.00,311.7,-5.137,94.911,1069.350,-5.836
123,10/30/25 08:20:53 AM,0.67,1.00,311.7,-5.072,93.895,1069.350,-5.912
124,10/30/25 08:30:53 AM,0.67,1.00,311.7,-5.244,93.109,1069.350,-6.193
125,10/30/25 08:40:53 AM,0.00,0.67,311.7,-4.249,91.585,1069.350,-5.422
126,10/30/25 08:50:53 AM,0.33,1.00,311.7,-4.431,87.655,1069.350,-6.176
127,10/30/25 09:00:53 AM,0.67,1.34,311.7,-4.260,90.361,1069.350,-5.609
128,10/30/25 09:10:53 AM,0.33,0.67,311.7,-2.716,88.154,1069.350,-4.409
129,10/30/25 09:20:53 AM,0.00,0.00,311.7,-1.901,86.523,1069.350,-3.853
