"Plot Title: site10km"
"#","Date Time, GMT-06:00","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21534753)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)"
1,05/13/25 11:01:53 AM,5.68,6.68,300.4,8.153,32.569,1069.350
2,05/13/25 11:11:53 AM,4.68,7.35,276.6,8.384,65.867,1069.350
3,05/13/25 11:21:53 AM,5.68,9.02,272.4,9.649,63.047,1069.350
4,05/13/25 11:31:53 AM,6.01,8.68,282.2,9.094,63.239,1069.350
5,05/13/25 11:41:53 AM,5.34,7.68,299.0,9.486,62.672,1069.350
6,05/13/25 11:51:53 AM,5.34,9.35,297.6,10.209,59.896,1069.350
7,05/13/25 12:01:53 PM,6.35,9.35,278.0,10.268,59.542,1069.350
8,05/13/25 12:11:53 PM,5.68,9.02,272.4,9.853,58.904,1069.350
9,05/13/25 12:21:53 PM,6.01,8.68,287.8,10.561,58.404,1069.350
10,05/13/25 12:31:53 PM,5.68,8.02,296.2,8.470,64.729,1069.350
11,05/13/25 12:41:53 PM,5.34,7.68,273.8,7.807,70.721,1069.350
12,05/13/25 12:51:53 PM,5.01,7.68,293.4,7.258,71.952,1069.350
13,05/13/25 01:01:53 PM,5.01,7.35,293.4,6.322,73.785,1069.350
14,05/13/25 01:11:53 PM,4.01,6.35,276.6,5.982,76.724,1069.350
15,05/13/25 01:21:53 PM,2.67,4.34,247.1,5.896,77.350,1069.350
16,05/13/25 01:31:53 PM,3.01,5.01,238.7,6.327,75.102,1069.350
17,05/13/25 01:41:53 PM,3.01,6.35,251.3,6.944,70.871,1069.350
18,05/13/25 01:51:53 PM,3.34,5.34,256.9,7.628,74.635,1069.350
19,05/13/25 02:01:53 PM,3.67,6.35,273.8,8.427,70.794,1069.350
20,05/13/25 02:11:53 PM,7.01,10.02,317.3,8.033,74.052,1069.350
