"Plot Title: Test Launch"
"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 21623137, SEN S/N: 21378799)","Current, mA (LGR S/N: 21623137, SEN S/N: 21378799)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21550052)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21550052)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21550052)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)"
1,01/07/23 04:44:59 PM,-0.2039,0.0000,-4.112,83.673,2.00,2.67,80.0,845.550
2,01/07/23 04:54:59 PM,-0.2039,0.0000,-4.327,84.584,2.00,2.67,75.8,845.550
3,01/07/23 05:04:59 PM,-0.2039,0.0000,-4.378,85.037,2.34,3.67,71.6,845.650
4,01/07/23 05:14:59 PM,-0.2039,0.0000,-4.399,85.742,4.01,5.34,67.4,845.450
5,01/07/23 05:24:59 PM,-0.2039,0.0000,-4.198,85.855,4.34,5.68,66.0,845.350
6,01/07/23 05:34:59 PM,-0.2039,0.0000,-3.901,85.530,4.34,6.01,63.2,845.450
7,01/07/23 05:44:59 PM,-0.2039,0.0000,-3.812,85.197,4.01,5.01,59.0,845.450
8,01/07/23 05:54:59 PM,-0.2039,0.0000,-3.488,85.245,4.34,5.68,61.8,845.350
9,01/07/23 06:04:59 PM,-0.2039,0.0000,-3.013,84.271,4.68,5.68,63.2,845.250
10,01/07/23 06:14:59 PM,-0.2039,0.0000,-2.705,83.818,5.01,6.68,68.8,845.150
11,01/07/23 06:24:59 PM,-0.2039,0.0000,-2.834,83.767,5.01,6.35,68.8,845.150
12,01/07/23 06:34:59 PM,-0.2039,0.0000,-2.957,84.076,5.34,6.68,68.8,844.950
13,01/07/23 06:44:59 PM,-0.2039,0.0000,-3.284,84.213,5.01,6.68,64.6,844.850
14,01/07/23 06:54:59 PM,-0.2039,0.0000,-3.984,85.867,3.01,4.68,67.4,844.950
15,01/07/23 07:04:59 PM,-0.2039,0.0000,-4.236,86.235,3.34,5.34,74.4,844.950
16,01/07/23 07:14:59 PM,-0.2039,0.0000,-5.898,87.161,2.00,3.01,122.1,845.050
17,01/07/23 07:24:59 PM,-0.2039,0.0000,-6.563,90.202,1.67,3.34,98.3,844.950
