"Plot Title: site10km"
"#","Date Time, GMT-06:00","Voltage, V (LGR S/N: 21623137, SEN S/N: 21378799)","Current, mA (LGR S/N: 21623137, SEN S/N: 21378799)","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21534753)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)"
1,11/04/23 12:42:52 PM,-0.2039,0.0000,0.33,1.34,75.8,7.622,71.850,842.950
2,11/04/23 12:52:52 PM,-0.2039,0.0000,0.67,2.67,88.4,7.885,72.634,842.650
3,11/04/23 01:02:52 PM,-0.2039,0.0000,1.67,3.01,95.5,8.285,72.059,842.250
4,11/04/23 01:12:52 PM,-0.2039,0.0000,2.00,4.34,117.9,8.402,70.149,842.250
5,11/04/23 01:22:52 PM,-0.2039,0.0000,2.00,3.34,82.8,8.606,66.931,842.150
6,11/04/23 01:32:52 PM,-0.2039,0.0000,1.34,3.01,82.8,9.204,64.309,841.950
7,11/04/23 01:42:52 PM,-0.2039,0.0000,1.00,2.67,78.6,9.655,62.922,841.850
8,11/04/23 01:52:52 PM,-0.2039,0.0000,1.67,3.67,78.6,9.872,61.117,841.650
9,11/04/23 02:02:52 PM,-0.2039,0.0000,1.67,3.67,81.4,10.118,58.318,841.550
10,11/04/23 02:12:52 PM,-0.2039,0.0000,2.34,3.34,77.2,9.821,58.346,841.550
11,11/04/23 02:22:52 PM,-0.2039,0.0000,1.67,3.01,78.6,9.751,60.311,841.450
12,11/04/23 02:32:52 PM,-0.2039,0.0000,1.34,3.01,85.6,9.770,61.613,841.350
13,11/04/23 02:42:52 PM,-0.2039,0.0000,1.67,3.01,96.9,9.705,63.777,841.050
14,11/04/23 02:52:52 PM,-0.2039,0.0000,2.00,3.34,78.6,9.293,70.092,840.750
15,11/04/23 03:02:52 PM,-0.2039,0.0000,1.67,3.34,73.0,9.579,69.938,840.450
16,11/04/23 03:12:52 PM,-0.2039,0.0000,1.34,3.01,63.2,9.968,68.640,840.550
17,11/04/23 03:22:52 PM,-0.2039,0.0000,1.34,3.34,67.4,10.405,66.392,840.650
18,11/04/23 03:32:52 PM,-0.2039,0.0000,2.34,3.34,66.0,10.507,65.365,840.650
19,11/04/23 03:42:52 PM,-0.2039,0.0000,2.00,4.01,74.4,10.941,65.122,840.450
20,11/04/23 03:52:52 PM,-0.2039,0.0000,2.34,4.34,82.8,11.440,63.827,840.050
21,11/04/23 04:02:52 PM,-0.2039,0.0000,2.34,4.68,81.4,11.571,63.296,840.050
22,11/04/23 04:12:52 PM,-0.2039,0.0000,2.67,4.68,81.4,11.424,64.479,840.250
23,11/04/23 04:22:52 PM,-0.2039,0.0000,2.34,3.67,88.4,11.223,65.454,840.150
24,11/04/23 04:32:52 PM,-0.2039,0.0000,3.01,4.68,87.0,11.553,64.532,839.950
25,11/04/23 04:42:52 PM,-0.2039,0.0000,3.01,5.01,82.8,11.239,65.153,839.850
26,11/04/23 04:52:52 PM,-0.2039,0.0000,2.34,4.01,84.2,11.215,65.809,839.850
27,11/04/23 05:02:52 PM,-0.2039,0.0000,2.34,4.01,73.0,11.255,66.256,839.750
28,11/04/23 05:12:52 PM,-0.2039,0.0000,2.34,4.68,61.8,11.054,66.769,839.450
29,11/04/23 05:22:52 PM,-0.2039,0.0000,2.34,4.68,68.8,11.016,66.484,839.350
30,11/04/23 05:32:52 PM,-0.2039,0.0000,1.67,3.67,73.0,10.869,66.842,839.450
31,11/04/23 05:42:52 PM,-0.2039,0.0000,1.34,3.34,75.8,10.673,67.727,839.350
32,11/04/23 05:52:52 PM,-0.2039,0.0000,1.34,2.67,88.4,10.461,68.969,839.350
33,11/04/23 06:02:52 PM,-0.2039,0.0000,0.67,2.00,82.8,10.161,70.770,839.250
34,11/04/23 06:12:52 PM,-0.2039,0.0000,0.00,1.34,78.6,9.888,71.868,839.250
35,11/04/23 06:22:52 PM,-0.2039,0.0000,0.00,0.00,70.2,9.775,72.424,839.350
36,11/04/23 06:32:52 PM,-0.2039,0.0000,0.00,0.33,12.6,9.515,74.348,839.450
37,11/04/23 06:42:52 PM,-0.2039,0.0000,0.33,2.00,341.2,9.051,77.327,839.450
38,11/04/23 06:52:52 PM,-0.2039,0.0000,1.67,2.67,29.5,9.134,77.609,839.050
39,11/04/23 07:02:52 PM,-0.2039,0.0000,1.34,2.34,8.4,8.783,80.323,838.850
40,11/04/23 07:12:52 PM,-0.2039,0.0000,1.34,2.67,313.1,8.448,83.149,839.150
41,11/04/23 07:22:52 PM,-0.2039,0.0000,2.34,4.01,313.1,8.035,85.959,839.250
42,11/04/23 07:32:52 PM,-0.2039,0.0000,4.01,6.35,315.9,7.555,88.899,839.550
43,11/04/23 07:42:52 PM,-0.2039,0.0000,0.67,4.34,325.7,7.480,90.169,839.550
44,11/04/23 07:52:52 PM,-0.2039,0.0000,0.33,1.34,328.5,7.177,93.008,839.650
45,11/04/23 08:02:52 PM,-0.2039,0.0000,0.33,2.00,256.9,7.011,94.725,839.650
46,11/04/23 08:12:52 PM,-0.2039,0.0000,0.33,1.00,245.7,7.014,94.716,839.950
47,11/04/23 08:22:52 PM,-0.2039,0.0000,0.00,0.67,275.2,6.955,95.372,840.150
48,11/04/23 08:32:52 PM,-0.2039,0.0000,0.00,1.00,11.2,7.000,95.601,839.750
49,11/04/23 08:42:52 PM,-0.2039,0.0000,0.33,2.00,84.2,6.802,97.523,839.250
50,11/04/23 08:52:52 PM,-0.2039,0.0000,0.67,2.00,96.9,6.614,98.181,839.050
51,11/04/23 09:02:52 PM,-0.2039,0.0000,0.00,0.33,80.0,6.437,98.822,839.050
52,11/04/23 09:12:52 PM,-0.2039,0.0000,0.00,1.00,80.0,6.360,99.142,838.950
53,11/04/23 09:22:52 PM,-0.2039,0.0000,0.00,0.67,63.2,6.263,99.200,838.750
54,11/04/23 09:32:52 PM,-0.2039,0.0000,0.33,1.67,53.3,6.236,99.438,838.550
55,11/04/23 09:42:52 PM,-0.2039,0.0000,0.00,2.34,73.0,6.346,99.512,838.550
56,11/04/23 09:52:52 PM,-0.2039,0.0000,0.00,0.67,75.8,6.483,99.403,838.250
57,11/04/23 10:02:52 PM,-0.2039,0.0000,0.00,0.00,35.1,6.531,99.319,838.350
58,11/04/23 10:12:52 PM,-0.2039,0.0000,0.33,1.67,126.4,6.542,99.031,838.350
59,11/04/23 10:22:52 PM,-0.2039,0.0000,0.00,0.67,167.1,6.301,99.142,838.350
60,11/04/23 10:32:52 PM,-0.2039,0.0000,0.33,2.00,123.5,6.285,99.355,838.350
61,11/04/23 10:42:52 PM,-0.2039,0.0000,0.33,1.34,95.5,6.325,99.294,838.450
62,11/04/23 10:52:52 PM,-0.2039,0.0000,0.00,0.00,332.7,6.448,99.274,838.650
63,11/04/23 11:02:52 PM,-0.2039,0.0000,1.34,4.34,7.0,6.625,98.898,838.450
64,11/04/23 11:12:52 PM,-0.2039,0.0000,0.67,4.01,30.9,6.802,98.509,838.350
65,11/04/23 11:22:52 PM,-0.2039,0.0000,0.67,3.01,23.9,7.121,97.444,838.450
66,11/04/23 11:32:52 PM,-0.2039,0.0000,0.00,0.00,103.9,7.011,98.016,838.450
67,11/04/23 11:42:52 PM,-0.2039,0.0000,0.00,0.00,102.5,7.022,97.935,838.550
68,11/04/23 11:52:52 PM,-0.2039,0.0000,0.33,2.00,87.0,7.285,96.571,838.150
69,11/05/23 12:02:52 AM,-0.2039,0.0000,0.00,1.34,105.3,7.504,95.343,837.950
70,11/05/23 12:12:52 AM,-0.2039,0.0000,1.67,3.34,35.1,7.378,95.872,837.550
