"Plot Title: site10km"
"#","Date Time, GMT-06:00","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21534753)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)"
1,05/09/24 01:19:24 PM,4.68,7.35,175.5,16.389,20.290,843.850
2,05/09/24 01:29:24 PM,5.01,8.02,172.7,15.987,42.217,843.350
3,05/09/24 01:39:24 PM,3.01,6.68,178.3,16.373,42.420,843.450
4,05/09/24 01:49:24 PM,4.01,7.01,193.7,15.301,43.444,843.750
5,05/09/24 01:59:24 PM,3.34,6.68,199.4,14.939,43.665,843.750
6,05/09/24 02:09:24 PM,4.01,7.35,185.3,15.802,42.640,843.450
7,05/09/24 02:19:24 PM,3.34,6.68,165.7,16.706,41.663,843.450
8,05/09/24 02:29:24 PM,2.34,5.68,169.9,16.941,39.925,843.350
9,05/09/24 02:39:24 PM,1.67,3.67,130.6,16.521,40.983,843.450
10,05/09/24 02:49:24 PM,1.00,3.67,203.6,16.153,41.497,843.650
11,05/09/24 02:59:24 PM,1.34,4.01,307.5,15.944,42.618,843.850
12,05/09/24 03:09:24 PM,2.67,4.01,258.3,14.968,46.328,843.850
13,05/09/24 03:19:24 PM,3.01,5.68,275.2,16.110,45.809,843.350
14,05/09/24 03:29:24 PM,3.67,6.35,282.2,17.145,44.154,843.250
15,05/09/24 03:39:24 PM,2.34,5.01,297.6,15.888,44.572,843.450
16,05/09/24 03:49:24 PM,1.00,2.00,355.2,15.740,43.775,843.550
17,05/09/24 03:59:24 PM,2.34,5.34,258.3,16.314,44.688,843.450
18,05/09/24 04:09:24 PM,2.34,5.01,202.2,17.038,43.021,843.350
19,05/09/24 04:19:24 PM,1.34,3.34,230.2,15.976,43.679,843.750
20,05/09/24 04:29:24 PM,2.34,6.01,348.2,15.097,47.140,843.950
21,05/09/24 04:39:24 PM,5.01,9.02,355.2,12.537,61.094,844.050
