"Plot Title: site10km"
"#","Date Time, GMT-07:00","Wind Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Gust Speed, m/s (LGR S/N: 21623137, SEN S/N: 21534753)","Wind Direction, ø (LGR S/N: 21623137, SEN S/N: 21534753)","Temp, °C (LGR S/N: 21623137, SEN S/N: 21549914)","RH, % (LGR S/N: 21623137, SEN S/N: 21549914)","Pressure, mbar (LGR S/N: 21623137, SEN S/N: 21569223)"
1,11/17/24 03:59:47 PM,3.34,4.68,64.6,-1.252,98.616,834.750
2,11/17/24 04:09:47 PM,4.01,6.35,64.6,-1.268,98.709,834.550
3,11/17/24 04:19:47 PM,3.67,5.34,63.2,-1.292,98.795,834.450
4,11/17/24 04:29:47 PM,4.01,5.68,64.6,-1.295,98.932,834.250
5,11/17/24 04:39:47 PM,4.01,6.01,70.2,-1.279,99.089,834.150
6,11/17/24 04:49:47 PM,4.34,6.68,67.4,-1.279,99.191,834.150
7,11/17/24 04:59:47 PM,4.34,6.68,66.0,-1.305,99.217,834.050
8,11/17/24 05:09:47 PM,4.01,6.35,60.4,-1.343,99.265,833.950
9,11/17/24 05:19:47 PM,4.01,5.68,59.0,-1.380,99.208,833.850
10,11/17/24 05:29:47 PM,3.34,5.34,67.4,-1.415,99.326,833.750
11,11/17/24 05:39:47 PM,4.34,6.35,57.6,-1.397,99.367,833.750
12,11/17/24 05:49:47 PM,4.34,7.35,57.6,-1.332,99.434,833.750
13,11/17/24 05:59:47 PM,4.68,6.68,64.6,-1.273,99.515,833.550
14,11/17/24 06:09:47 PM,5.01,7.01,67.4,-1.287,99.593,833.450
15,11/17/24 06:19:47 PM,4.68,7.68,74.4,-1.343,99.712,833.450
16,11/17/24 06:29:47 PM,4.68,8.02,73.0,-1.477,99.742,833.450
17,11/17/24 06:39:47 PM,4.68,7.35,71.6,-1.571,99.754,833.250
18,11/17/24 06:49:47 PM,4.68,6.68,66.0,-1.582,99.809,833.250
19,11/17/24 06:59:47 PM,4.34,6.35,68.8,-1.549,99.838,833.250
20,11/17/24 07:09:47 PM,4.34,6.35,73.0,-1.608,99.818,833.250
21,11/17/24 07:19:47 PM,4.68,7.01,73.0,-1.654,99.823,832.950
22,11/17/24 07:29:47 PM,4.68,7.68,73.0,-1.775,99.773,833.050
23,11/17/24 07:39:47 PM,4.01,6.68,71.6,-1.788,99.803,832.950
24,11/17/24 07:49:47 PM,3.67,5.68,73.0,-1.734,99.831,832.950
25,11/17/24 07:59:47 PM,3.67,6.01,78.6,-1.686,99.852,832.850
26,11/17/24 08:09:47 PM,4.01,5.68,78.6,-1.750,99.860,832.750
27,11/17/24 08:19:47 PM,4.68,6.35,75.8,-1.799,99.872,832.550
28,11/17/24 08:29:47 PM,4.68,7.68,71.6,-1.791,99.861,832.450
29,11/17/24 08:39:47 PM,4.34,6.68,71.6,-1.793,99.889,832.450
30,11/17/24 08:49:47 PM,4.01,7.01,73.0,-1.809,99.872,832.350
31,11/17/24 08:59:47 PM,3.67,6.35,74.4,-1.815,99.893,832.350
32,11/17/24 09:09:47 PM,3.67,5.34,78.6,-1.823,99.965,832.150
33,11/17/24 09:19:47 PM,4.01,6.35,80.0,-1.831,99.965,832.050
34,11/17/24 09:29:47 PM,4.01,6.01,80.0,-1.893,99.977,831.850
35,11/17/24 09:39:47 PM,4.01,6.01,85.6,-2.035,99.960,831.550
36,11/17/24 09:49:47 PM,4.34,6.35,78.6,-2.099,99.953,831.550
37,11/17/24 09:59:47 PM,3.67,5.34,75.8,-2.027,99.997,831.550
38,11/17/24 10:09:47 PM,4.34,7.35,77.2,-1.935,99.997,831.350
39,11/17/24 10:19:47 PM,4.01,7.35,74.4,-1.863,99.997,831.150
40,11/17/24 10:29:47 PM,4.01,6.35,87.0,-1.788,99.997,831.150
41,11/17/24 10:39:47 PM,4.01,5.68,87.0,-1.783,99.997,831.050
42,11/17/24 10:49:47 PM,4.01,5.68,75.8,-1.834,99.997,830.850
43,11/17/24 10:59:47 PM,3.34,5.01,87.0,-1.772,99.997,830.650
44,11/17/24 11:09:47 PM,2.67,5.01,81.4,-1.732,99.997,830.750
45,11/17/24 11:19:47 PM,3.01,4.68,87.0,-1.675,99.997,830.650
