"Plot Title: site1kmWY2026"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21534756)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)"
1,10/29/25 10:05:57 AM,842.750,1.00,1.67,4.2,4.582,52.709
2,10/29/25 10:15:57 AM,842.750,0.67,1.34,4.2,4.821,50.378
3,10/29/25 10:25:57 AM,842.850,0.33,1.00,2.8,5.065,49.230
4,10/29/25 10:35:57 AM,842.750,0.67,1.34,2.8,5.124,48.315
5,10/29/25 10:45:57 AM,842.850,0.33,1.67,2.8,5.539,46.868
6,10/29/25 10:55:57 AM,842.950,0.33,1.34,5.6,6.459,45.202
7,10/29/25 11:05:57 AM,843.050,1.00,2.34,7.0,7.014,45.278
8,10/29/25 11:15:57 AM,842.850,1.34,2.34,7.0,6.590,46.213
9,10/29/25 11:25:57 AM,842.750,0.67,1.67,5.6,6.979,44.083
10,10/29/25 11:35:57 AM,842.650,0.33,1.34,5.6,6.866,43.764
11,10/29/25 11:45:57 AM,842.750,0.33,1.00,7.0,6.829,43.493
12,10/29/25 11:55:57 AM,842.950,0.33,1.00,9.8,7.183,43.052
13,10/29/25 12:05:57 PM,842.850,0.67,1.34,4.2,7.882,42.238
14,10/29/25 12:15:57 PM,842.750,1.00,2.00,4.2,8.105,41.624
15,10/29/25 12:25:57 PM,842.650,0.33,1.34,2.8,8.464,40.546
16,10/29/25 12:35:57 PM,842.750,0.33,1.67,5.6,9.435,39.004
17,10/29/25 12:45:57 PM,842.750,0.67,1.67,7.0,9.644,37.644
18,10/29/25 12:55:57 PM,842.650,1.00,2.34,9.8,9.770,38.718
19,10/29/25 01:05:57 PM,842.450,1.00,2.34,11.2,10.550,36.138
20,10/29/25 01:15:57 PM,842.450,1.34,2.67,11.2,10.778,35.970
21,10/29/25 01:25:57 PM,842.350,1.67,3.01,16.8,10.829,36.442
22,10/29/25 01:35:57 PM,842.350,2.34,4.01,22.5,10.998,37.273
23,10/29/25 01:45:57 PM,842.150,2.34,4.68,14.0,11.384,36.367
24,10/29/25 01:55:57 PM,842.150,3.01,4.68,285.0,11.357,37.263
25,10/29/25 02:05:57 PM,842.050,3.01,5.01,2.8,11.282,38.972
26,10/29/25 02:15:57 PM,842.050,3.01,5.34,11.2,11.051,40.127
27,10/29/25 02:25:57 PM,841.950,4.34,7.35,8.4,11.083,41.024
28,10/29/25 02:35:57 PM,841.850,4.68,7.01,8.4,11.290,42.222
29,10/29/25 02:45:57 PM,841.750,5.01,8.02,8.4,11.432,44.140
30,10/29/25 02:55:57 PM,841.750,4.68,7.35,9.8,11.529,45.725
31,10/29/25 03:05:57 PM,841.650,5.01,7.68,8.4,11.180,47.642
32,10/29/25 03:15:57 PM,841.650,5.01,7.68,9.8,11.333,47.243
33,10/29/25 03:25:57 PM,841.550,5.01,7.35,8.4,11.344,47.529
34,10/29/25 03:35:57 PM,841.450,5.01,7.68,9.8,11.397,48.649
35,10/29/25 03:45:57 PM,841.250,5.01,8.35,8.4,11.357,49.422
36,10/29/25 03:55:57 PM,841.250,5.01,7.35,9.8,11.427,50.014
37,10/29/25 04:05:57 PM,841.050,5.34,7.68,8.4,11.247,50.541
38,10/29/25 04:15:57 PM,840.950,5.68,8.02,8.4,11.083,50.135
39,10/29/25 04:25:57 PM,840.950,5.68,8.68,8.4,10.971,49.888
40,10/29/25 04:35:57 PM,840.850,6.01,8.68,7.0,10.818,50.163
41,10/29/25 04:45:57 PM,840.850,5.34,7.68,7.0,10.834,50.224
42,10/29/25 04:55:57 PM,840.750,5.01,7.35,7.0,10.794,50.126
43,10/29/25 05:05:57 PM,840.650,4.68,7.01,7.0,10.786,50.605
44,10/29/25 05:15:57 PM,840.650,4.68,7.01,7.0,10.537,50.869
45,10/29/25 05:25:57 PM,840.750,3.67,6.01,7.0,10.534,51.476
46,10/29/25 05:35:57 PM,840.850,4.01,5.68,7.0,10.250,52.204
47,10/29/25 05:45:57 PM,840.950,3.01,5.68,7.0,10.038,52.808
48,10/29/25 05:55:57 PM,841.050,3.01,5.01,7.0,9.756,53.286
49,10/29/25 06:05:57 PM,841.050,2.34,3.67,7.0,9.338,54.130
50,10/29/25 06:15:57 PM,841.150,2.00,3.34,5.6,8.703,55.732
51,10/29/25 06:25:57 PM,841.150,2.34,3.67,7.0,7.504,58.840
52,10/29/25 06:35:57 PM,840.950,3.01,4.34,7.0,6.990,60.549
53,10/29/25 06:45:57 PM,840.950,2.34,4.01,5.6,6.941,60.392
54,10/29/25 06:55:57 PM,841.150,1.34,3.01,7.0,6.408,61.518
55,10/29/25 07:05:57 PM,841.050,1.34,2.34,7.0,5.888,63.249
56,10/29/25 07:15:57 PM,841.150,0.67,1.34,9.8,5.660,64.070
57,10/29/25 07:25:57 PM,840.950,0.67,1.34,307.5,5.429,64.909
58,10/29/25 07:35:57 PM,840.950,1.34,2.00,293.4,5.142,65.449
59,10/29/25 07:45:57 PM,840.950,1.34,2.34,290.6,5.279,65.037
60,10/29/25 07:55:57 PM,840.950,1.00,1.67,276.6,4.405,67.124
61,10/29/25 08:05:57 PM,841.050,1.00,2.00,278.0,5.191,65.338
62,10/29/25 08:15:57 PM,840.950,1.67,2.34,272.4,3.965,68.107
63,10/29/25 08:25:57 PM,841.150,1.34,2.00,278.0,4.006,69.116
64,10/29/25 08:35:57 PM,841.150,1.67,2.00,289.2,5.247,65.382
65,10/29/25 08:45:57 PM,840.950,1.67,2.00,280.8,4.534,67.016
66,10/29/25 08:55:57 PM,840.950,1.67,2.00,279.4,4.097,69.197
67,10/29/25 09:05:57 PM,841.050,0.67,2.00,269.6,3.504,69.371
68,10/29/25 09:15:57 PM,841.150,0.67,1.34,255.5,0.754,78.000
69,10/29/25 09:25:57 PM,840.950,1.67,2.67,254.1,1.716,77.192
70,10/29/25 09:35:57 PM,840.950,2.34,2.67,272.4,3.756,71.792
71,10/29/25 09:45:57 PM,841.050,2.00,3.01,290.6,3.971,70.817
72,10/29/25 09:55:57 PM,841.050,2.34,3.01,297.6,4.234,70.105
73,10/29/25 10:05:57 PM,841.250,2.34,3.01,303.2,3.526,72.500
74,10/29/25 10:15:57 PM,841.150,2.34,3.34,287.8,3.504,72.622
75,10/29/25 10:25:57 PM,841.150,2.67,3.34,296.2,2.992,74.006
