"Plot Title: site1km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Voltage, V (LGR S/N: 21623136, SEN S/N: 21378796)","Current, mA (LGR S/N: 21623136, SEN S/N: 21378796)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21550054)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21550054)"
1,09/15/23 03:51:25 PM,838.550,-0.1988,0.0000,24.303,11.987,2.34,3.01,124.9
2,09/15/23 04:01:25 PM,838.550,-0.2039,0.0000,24.137,22.655,2.00,5.01,109.5
3,09/15/23 04:11:25 PM,838.550,-0.2039,0.0000,24.947,24.868,2.34,4.68,307.5
4,09/15/23 04:21:25 PM,838.450,-0.2039,0.0000,24.681,25.583,3.01,5.01,308.9
5,09/15/23 04:31:25 PM,838.350,-0.2039,0.0000,24.419,25.658,3.01,5.34,279.4
6,09/15/23 04:41:25 PM,838.250,-0.2039,0.0000,24.631,25.621,3.01,5.34,321.5
7,09/15/23 04:51:25 PM,838.250,-0.2039,0.0000,24.577,25.016,2.00,4.34,313.1
8,09/15/23 05:01:25 PM,838.150,-0.2039,0.0000,24.333,25.333,2.34,3.67,313.1
9,09/15/23 05:11:25 PM,838.050,-0.2039,0.0000,24.609,24.974,2.00,4.34,320.1
10,09/15/23 05:21:25 PM,837.950,-0.2039,0.0000,24.655,25.261,2.67,4.68,313.1
11,09/15/23 05:31:25 PM,838.050,-0.2039,0.0000,24.416,24.848,1.67,4.01,276.6
12,09/15/23 05:41:25 PM,838.050,-0.2039,0.0000,24.834,24.707,1.67,3.34,21.1
13,09/15/23 05:51:25 PM,837.950,-0.2039,0.0000,24.488,24.976,2.00,4.01,355.2
14,09/15/23 06:01:25 PM,838.050,-0.2039,0.0000,24.236,25.182,2.34,3.67,355.2
15,09/15/23 06:11:25 PM,837.950,-0.2039,0.0000,24.636,24.805,1.34,2.67,16.8
16,09/15/23 06:21:25 PM,838.050,-0.2039,0.0000,24.464,25.435,1.34,2.67,287.8
17,09/15/23 06:31:25 PM,838.050,-0.2039,0.0000,23.987,25.548,2.34,4.34,258.3
18,09/15/23 06:41:25 PM,837.950,-0.2039,0.0000,23.909,25.380,1.34,2.67,255.5
19,09/15/23 06:51:25 PM,837.950,-0.2039,0.0000,23.572,26.497,1.67,2.67,269.6
20,09/15/23 07:01:25 PM,838.050,-0.2039,0.0000,23.059,27.349,2.00,3.01,254.1
21,09/15/23 07:11:25 PM,838.050,-0.2039,0.0000,22.735,27.878,1.34,1.67,240.1
22,09/15/23 07:21:25 PM,838.150,-0.2039,0.0000,21.783,31.008,1.00,1.67,256.9
23,09/15/23 07:31:25 PM,838.150,-0.2039,0.0000,19.917,33.007,1.34,1.67,286.4
24,09/15/23 07:41:25 PM,838.150,-0.1988,0.0000,18.925,33.437,1.34,1.67,293.4
25,09/15/23 07:51:25 PM,838.250,-0.1988,0.0000,18.231,34.147,1.00,1.67,293.4
26,09/15/23 08:01:25 PM,838.250,-0.1988,0.0000,16.389,37.574,0.67,1.34,275.2
27,09/15/23 08:11:25 PM,838.350,-0.1988,0.0000,16.566,36.109,1.00,1.67,269.6
28,09/15/23 08:21:25 PM,838.350,-0.1988,0.0000,16.845,35.285,1.67,2.67,282.2
29,09/15/23 08:31:25 PM,838.350,-0.1988,0.0000,16.722,34.560,0.67,2.34,265.3
30,09/15/23 08:41:25 PM,838.350,-0.1988,0.0000,14.588,38.802,0.67,1.34,70.2
31,09/15/23 08:51:25 PM,838.450,-0.1988,0.0000,13.014,41.900,0.67,1.34,59.0
32,09/15/23 09:01:25 PM,838.550,-0.1988,0.0000,13.695,40.238,0.33,0.67,60.4
33,09/15/23 09:11:25 PM,838.650,-0.1988,0.0000,13.695,40.096,0.33,0.67,60.4
34,09/15/23 09:21:25 PM,838.650,-0.1988,0.0000,11.287,45.466,0.00,0.00,60.4
35,09/15/23 09:31:25 PM,838.750,-0.1988,0.0000,10.129,48.872,0.00,0.00,60.4
36,09/15/23 09:41:25 PM,838.750,-0.1988,0.0000,9.971,49.398,0.00,0.00,60.4
37,09/15/23 09:51:25 PM,838.750,-0.1988,0.0000,9.810,49.676,0.33,0.67,60.4
38,09/15/23 10:01:25 PM,838.750,-0.1988,0.0000,9.298,50.655,0.00,0.67,60.4
39,09/15/23 10:11:25 PM,838.750,-0.1988,0.0000,8.711,52.782,0.00,1.00,60.4
40,09/15/23 10:21:25 PM,838.850,-0.1988,0.0000,9.856,49.038,1.00,1.34,33.7
41,09/15/23 10:31:25 PM,838.850,-0.1988,0.0000,10.242,48.110,1.00,1.67,275.2
42,09/15/23 10:41:25 PM,838.750,-0.2039,0.0000,9.998,48.368,0.33,0.67,320.1
43,09/15/23 10:51:25 PM,838.750,-0.2039,0.0000,8.445,53.216,0.33,1.00,345.4
44,09/15/23 11:01:25 PM,838.850,-0.1988,0.0000,8.566,52.410,0.33,0.67,39.3
45,09/15/23 11:11:25 PM,838.850,-0.2039,0.0000,8.145,53.695,0.00,0.67,39.3
46,09/15/23 11:21:25 PM,838.850,-0.1988,0.0000,8.276,53.465,0.00,0.67,39.3
47,09/15/23 11:31:25 PM,838.850,-0.2039,0.0000,8.019,54.632,0.33,1.34,39.3
48,09/15/23 11:41:25 PM,838.850,-0.1988,0.0000,7.925,54.974,0.33,0.67,32.3
49,09/15/23 11:51:25 PM,838.850,-0.2039,0.0000,7.708,55.558,0.00,0.00,16.8
50,09/16/23 12:01:25 AM,838.850,-0.2039,0.0000,6.963,58.157,0.00,0.33,16.8
51,09/16/23 12:11:25 AM,838.950,-0.1988,0.0000,7.024,58.285,0.00,0.00,16.8
