"Plot Title: site1km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Voltage, V (LGR S/N: 21623136, SEN S/N: 21378796)","Current, mA (LGR S/N: 21623136, SEN S/N: 21378796)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21534756)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)"
1,11/04/23 07:02:52 PM,834.750,-0.2039,0.0000,0.00,0.67,256.9,7.435,88.376
2,11/04/23 07:12:52 PM,834.750,-0.1988,0.0000,0.00,0.33,256.9,7.518,88.069
3,11/04/23 07:22:52 PM,834.950,-0.1988,0.0000,1.00,3.01,292.0,7.349,89.381
4,11/04/23 07:32:52 PM,834.650,-0.1988,0.0000,1.34,3.34,341.2,6.995,91.551
5,11/04/23 07:42:52 PM,834.950,-0.1988,0.0000,0.67,3.34,176.9,6.786,94.186
6,11/04/23 07:52:52 PM,835.050,-0.2039,0.0000,0.00,0.67,272.4,6.810,94.766
7,11/04/23 08:02:52 PM,834.950,-0.2039,0.0000,0.33,1.67,301.8,6.775,94.977
8,11/04/23 08:12:52 PM,835.150,-0.2039,0.0000,0.33,1.00,320.1,6.813,94.992
9,11/04/23 08:22:52 PM,835.150,-0.2039,0.0000,0.67,2.34,157.2,6.595,96.210
10,11/04/23 08:32:52 PM,834.550,-0.2039,0.0000,2.00,3.34,103.9,6.357,97.797
11,11/04/23 08:42:52 PM,834.250,-0.2039,0.0000,2.00,3.01,92.7,6.285,98.099
12,11/04/23 08:52:52 PM,834.350,-0.1988,0.0000,0.33,2.00,98.3,6.239,98.402
13,11/04/23 09:02:52 PM,834.150,-0.1988,0.0000,0.00,0.67,91.3,5.992,98.770
14,11/04/23 09:12:52 PM,834.150,-0.2039,0.0000,0.00,0.00,89.9,5.746,99.405
15,11/04/23 09:22:52 PM,833.950,-0.2039,0.0000,0.33,1.34,75.8,5.874,99.831
16,11/04/23 09:32:52 PM,833.950,-0.1988,0.0000,0.00,0.33,60.4,5.923,99.786
17,11/04/23 09:42:52 PM,833.650,-0.2039,0.0000,1.34,3.34,59.0,5.982,99.904
18,11/04/23 09:52:52 PM,833.750,-0.2039,0.0000,1.34,2.34,44.9,5.976,99.968
19,11/04/23 10:02:52 PM,833.550,-0.2039,0.0000,1.67,2.34,67.4,5.933,99.997
20,11/04/23 10:12:52 PM,833.550,-0.2039,0.0000,0.67,2.34,96.9,5.944,99.997
21,11/04/23 10:22:52 PM,833.550,-0.2039,0.0000,0.00,1.67,37.9,5.974,99.997
22,11/04/23 10:32:52 PM,833.750,-0.2039,0.0000,0.33,2.34,68.8,6.175,99.995
23,11/04/23 10:42:52 PM,833.850,-0.2039,0.0000,0.33,2.34,19.7,6.335,99.590
