"Plot Title: site1km"
"#","Date Time, GMT-06:00","Pressure, mbar (LGR S/N: 21623136, SEN S/N: 21318865)","Wind Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Gust Speed, m/s (LGR S/N: 21623136, SEN S/N: 21534756)","Wind Direction, ø (LGR S/N: 21623136, SEN S/N: 21534756)","Temp, °C (LGR S/N: 21623136, SEN S/N: 21549906)","RH, % (LGR S/N: 21623136, SEN S/N: 21549906)"
1,05/09/24 02:37:39 PM,838.450,3.34,5.01,273.8,13.579,27.198
2,05/09/24 02:47:39 PM,838.350,4.01,6.35,252.7,14.400,52.869
3,05/09/24 02:57:39 PM,838.350,4.68,7.01,254.1,13.888,52.902
4,05/09/24 03:07:39 PM,838.450,4.01,6.35,266.7,13.799,53.642
5,05/09/24 03:17:39 PM,838.350,4.01,5.68,248.5,13.810,53.832
6,05/09/24 03:27:39 PM,838.150,3.67,6.01,254.1,14.142,52.882
7,05/09/24 03:37:39 PM,837.350,2.67,6.68,214.8,15.022,51.550
8,05/09/24 03:47:39 PM,837.150,3.34,6.35,209.2,15.590,49.215
9,05/09/24 03:57:39 PM,837.650,3.01,5.34,200.8,15.521,48.278
10,05/09/24 04:07:39 PM,837.950,2.67,6.35,223.2,15.665,46.879
11,05/09/24 04:17:39 PM,838.350,3.34,5.68,237.3,14.534,48.583
12,05/09/24 04:27:39 PM,838.250,3.01,5.34,259.7,14.553,48.998
13,05/09/24 04:37:39 PM,838.350,3.01,5.68,273.8,14.448,49.143
14,05/09/24 04:47:39 PM,838.350,3.01,4.68,269.6,14.647,49.270
15,05/09/24 04:57:39 PM,838.250,2.34,4.01,214.8,15.092,48.164
16,05/09/24 05:07:39 PM,838.250,2.00,5.01,190.9,15.030,48.049
17,05/09/24 05:17:39 PM,838.350,3.01,5.01,216.2,14.663,49.752
18,05/09/24 05:27:39 PM,838.450,1.67,3.34,237.3,14.432,51.579
19,05/09/24 05:37:39 PM,838.550,3.01,5.01,299.0,14.025,52.149
20,05/09/24 05:47:39 PM,838.450,2.34,5.34,248.5,13.644,54.607
21,05/09/24 05:57:39 PM,838.350,3.01,5.01,241.5,14.735,53.686
22,05/09/24 06:07:39 PM,838.350,3.01,5.01,235.9,14.896,52.540
23,05/09/24 06:17:39 PM,838.450,2.67,4.01,217.6,14.770,51.852
24,05/09/24 06:27:39 PM,838.350,1.67,3.67,176.9,15.362,50.779
25,05/09/24 06:37:39 PM,838.450,2.00,4.34,221.8,15.754,49.851
26,05/09/24 06:47:39 PM,838.450,2.34,4.01,221.8,15.336,50.834
27,05/09/24 06:57:39 PM,838.450,2.67,4.68,226.0,15.719,50.071
28,05/09/24 07:07:39 PM,838.550,2.67,4.68,228.8,15.116,51.623
29,05/09/24 07:17:39 PM,838.750,2.00,3.34,228.8,14.285,54.180
30,05/09/24 07:27:39 PM,838.950,0.67,2.00,249.9,13.797,55.784
31,05/09/24 07:37:39 PM,839.050,1.00,1.67,230.2,13.215,60.101
32,05/09/24 07:47:39 PM,839.050,1.34,2.00,266.7,12.722,62.208
33,05/09/24 07:57:39 PM,839.150,2.00,2.67,258.3,11.882,68.115
34,05/09/24 08:07:39 PM,839.150,2.00,2.67,271.0,11.252,70.498
35,05/09/24 08:17:39 PM,839.250,1.67,2.34,269.6,10.984,70.163
36,05/09/24 08:27:39 PM,839.350,2.00,2.67,261.1,10.314,73.063
37,05/09/24 08:37:39 PM,839.250,1.67,3.01,254.1,9.628,76.161
38,05/09/24 08:47:39 PM,839.350,2.00,3.01,268.1,9.853,74.307
39,05/09/24 08:57:39 PM,839.350,2.34,3.01,285.0,10.263,71.249
40,05/09/24 09:07:39 PM,839.350,1.67,3.34,280.8,10.057,72.340
41,05/09/24 09:17:39 PM,839.450,0.67,2.00,88.4,8.352,79.486
42,05/09/24 09:27:39 PM,839.650,0.67,2.00,63.2,7.898,82.594
43,05/09/24 09:37:39 PM,839.750,1.00,2.00,9.8,7.762,83.049
44,05/09/24 09:47:39 PM,839.850,1.34,2.00,313.1,7.593,82.225
45,05/09/24 09:57:39 PM,839.950,0.67,1.34,119.3,6.011,87.408
46,05/09/24 10:07:39 PM,839.950,0.33,0.67,117.9,5.660,88.971
47,05/09/24 10:17:39 PM,839.950,0.67,1.34,165.7,5.791,88.859
48,05/09/24 10:27:39 PM,840.050,0.67,1.34,240.1,4.542,89.836
49,05/09/24 10:37:39 PM,840.050,0.67,1.67,227.4,4.705,91.450
50,05/09/24 10:47:39 PM,840.050,0.33,1.00,231.6,5.531,89.967
51,05/09/24 10:57:39 PM,840.150,0.33,1.00,231.6,5.805,87.614
52,05/09/24 11:07:39 PM,840.150,0.33,0.67,233.1,5.140,90.065
53,05/09/24 11:17:39 PM,840.150,1.34,2.34,303.2,5.467,89.284
54,05/09/24 11:27:39 PM,840.150,1.34,2.34,332.7,6.008,87.788
