"Plot Title: site2km"
"#","Date Time, GMT-07:00","Voltage, V (LGR S/N: 21558954, SEN S/N: 21378789)","Current, mA (LGR S/N: 21558954, SEN S/N: 21378789)","Temp, °C (LGR S/N: 21558954, SEN S/N: 21549905)","RH, % (LGR S/N: 21558954, SEN S/N: 21549905)","Wind Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Gust Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Wind Direction, ø (LGR S/N: 21558954, SEN S/N: 21550055)"
1,01/06/23 01:23:20 PM,-0.2039,0.0000,1.169,87.462,10.35,12.69,279.4
2,01/06/23 01:33:20 PM,-0.2039,0.0000,1.070,88.502,9.68,11.69,279.4
3,01/06/23 01:43:20 PM,-0.2039,0.0000,1.000,89.029,8.35,10.69,279.4
4,01/06/23 01:53:20 PM,-0.2039,0.0000,0.823,89.462,8.02,9.68,280.8
5,01/06/23 02:03:20 PM,-0.2039,0.0000,1.054,87.744,7.68,9.02,283.6
6,01/06/23 02:13:20 PM,-0.2039,0.0000,1.132,86.511,8.02,9.35,279.4
7,01/06/23 02:23:20 PM,-0.2039,0.0000,0.853,86.902,8.68,10.02,280.8
8,01/06/23 02:33:20 PM,-0.2039,0.0000,0.818,87.170,9.02,11.02,282.2
9,01/06/23 02:43:20 PM,-0.2039,0.0000,1.413,84.135,9.35,11.35,285.0
10,01/06/23 02:53:20 PM,-0.2039,0.0000,1.057,85.321,8.68,10.35,283.6
11,01/06/23 03:03:20 PM,-0.2039,0.0000,0.971,86.865,9.35,11.35,280.8
12,01/06/23 03:13:20 PM,-0.2039,0.0000,1.234,85.342,9.68,11.35,285.0
13,01/06/23 03:23:20 PM,-0.2039,0.0000,0.668,87.733,8.35,10.69,283.6
14,01/06/23 03:33:20 PM,-0.2039,0.0000,0.638,86.635,8.35,10.02,280.8
15,01/06/23 03:43:20 PM,-0.2039,0.0000,0.944,83.900,7.35,9.02,279.4
16,01/06/23 03:53:20 PM,-0.2039,0.0000,1.271,82.025,7.68,9.68,278.0
17,01/06/23 04:03:20 PM,-0.2039,0.0000,1.201,82.235,6.35,7.68,279.4
18,01/06/23 04:13:20 PM,-0.2039,0.0000,0.931,83.331,6.01,8.02,279.4
19,01/06/23 04:23:20 PM,-0.2039,0.0000,0.654,83.948,7.01,8.35,276.6
20,01/06/23 04:33:20 PM,-0.2039,0.0000,0.234,84.984,6.35,8.35,282.2
21,01/06/23 04:43:20 PM,-0.2039,0.0000,0.400,83.348,6.01,7.01,285.0
22,01/06/23 04:53:20 PM,-0.2039,0.0000,0.110,83.853,5.68,6.68,282.2
23,01/06/23 05:03:20 PM,-0.2039,0.0000,-0.072,83.790,5.01,6.68,286.4
24,01/06/23 05:13:20 PM,-0.2039,0.0000,-0.388,85.484,4.01,5.34,290.6
25,01/06/23 05:23:20 PM,-0.2039,0.0000,-0.729,86.090,3.01,4.01,275.2
26,01/06/23 05:33:20 PM,-0.2039,0.0000,-1.276,86.937,1.00,2.67,289.2
27,01/06/23 05:43:20 PM,-0.2039,0.0000,-1.750,89.563,2.34,3.34,73.0
28,01/06/23 05:53:20 PM,-0.2039,0.0000,-1.163,89.989,0.67,2.34,49.1
29,01/06/23 06:03:20 PM,-0.2039,0.0000,-0.721,87.111,0.00,0.67,21.1
30,01/06/23 06:13:20 PM,-0.2039,0.0000,-1.935,85.678,0.33,2.34,50.5
