"Plot Title: site2km"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21558954, SEN S/N: 21549905)","RH, % (LGR S/N: 21558954, SEN S/N: 21549905)","Wind Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Gust Speed, m/s (LGR S/N: 21558954, SEN S/N: 21550055)","Wind Direction, ø (LGR S/N: 21558954, SEN S/N: 21550055)","Pressure, mbar (LGR S/N: 21558954, SEN S/N: 21569224)"
1,11/04/23 04:58:36 PM,10.003,71.737,2.67,4.01,84.2,835.250
2,11/04/23 05:08:36 PM,10.089,71.212,2.67,4.34,88.4,835.050
3,11/04/23 05:18:36 PM,10.167,71.249,3.01,4.68,91.3,835.050
4,11/04/23 05:28:36 PM,10.030,71.164,3.01,5.01,103.9,834.950
5,11/04/23 05:38:36 PM,9.864,72.204,1.67,3.34,99.7,834.950
6,11/04/23 05:48:36 PM,9.681,73.295,1.00,2.00,106.7,834.950
7,11/04/23 05:58:36 PM,9.526,73.997,0.67,1.34,123.5,834.850
8,11/04/23 06:08:36 PM,9.440,74.177,0.33,1.34,91.3,834.850
9,11/04/23 06:18:36 PM,9.212,75.215,1.00,2.34,9.8,835.050
10,11/04/23 06:28:36 PM,8.708,78.141,0.67,2.00,336.9,835.050
11,11/04/23 06:38:36 PM,8.617,78.662,1.34,2.34,42.1,834.850
12,11/04/23 06:48:36 PM,8.137,82.954,2.00,2.67,57.6,834.550
13,11/04/23 06:58:36 PM,7.697,86.552,1.34,2.00,29.5,834.550
14,11/04/23 07:08:36 PM,7.609,86.896,1.00,2.00,276.6,834.950
15,11/04/23 07:18:36 PM,7.319,89.380,0.67,1.34,272.4,835.050
16,11/04/23 07:28:36 PM,6.949,91.528,1.34,3.01,339.7,835.050
17,11/04/23 07:38:36 PM,6.703,93.704,1.34,2.34,85.6,834.950
18,11/04/23 07:48:36 PM,6.571,95.831,0.67,2.00,203.6,835.350
19,11/04/23 07:58:36 PM,6.604,95.280,1.00,1.67,21.1,835.150
20,11/04/23 08:08:36 PM,6.526,96.762,1.67,3.01,280.8,835.350
21,11/04/23 08:18:36 PM,6.561,97.095,0.67,2.67,289.2,835.450
22,11/04/23 08:28:36 PM,6.370,98.032,2.34,4.01,115.1,835.050
23,11/04/23 08:38:36 PM,6.341,98.276,2.67,3.67,106.7,834.550
24,11/04/23 08:48:36 PM,6.378,98.315,2.34,3.67,109.5,834.550
25,11/04/23 08:58:36 PM,6.290,98.436,1.67,2.67,88.4,834.550
26,11/04/23 09:08:36 PM,6.180,98.604,1.67,3.01,96.9,834.450
27,11/04/23 09:18:36 PM,6.030,99.142,1.00,1.67,101.1,834.250
28,11/04/23 09:28:36 PM,5.971,99.390,0.33,1.00,99.7,834.150
29,11/04/23 09:38:36 PM,6.016,99.733,1.34,3.67,75.8,834.050
30,11/04/23 09:48:36 PM,5.890,99.934,1.34,3.01,42.1,833.850
31,11/04/23 09:58:36 PM,5.939,99.997,1.67,2.67,67.4,833.850
32,11/04/23 10:08:36 PM,6.054,99.997,3.01,5.01,95.5,833.750
33,11/04/23 10:18:36 PM,5.974,99.997,1.34,3.01,78.6,833.650
34,11/04/23 10:28:36 PM,6.094,99.997,1.00,2.00,84.2,833.950
35,11/04/23 10:38:36 PM,6.413,99.528,1.34,2.67,60.4,834.050
36,11/04/23 10:48:36 PM,6.432,99.211,1.34,2.34,66.0,834.150
37,11/04/23 10:58:36 PM,6.443,99.280,3.01,5.34,64.6,833.850
38,11/04/23 11:08:36 PM,6.512,98.778,2.67,5.34,51.9,833.750
39,11/04/23 11:18:36 PM,6.483,98.914,1.67,4.01,29.5,833.850
40,11/04/23 11:28:36 PM,7.212,94.714,2.00,4.34,110.9,833.750
41,11/04/23 11:38:36 PM,7.724,91.916,2.00,3.67,157.2,833.750
42,11/04/23 11:48:36 PM,8.199,90.161,3.01,5.01,154.4,833.450
43,11/04/23 11:58:36 PM,8.392,89.683,2.67,4.68,181.1,833.350
44,11/05/23 12:08:36 AM,8.062,92.152,1.34,3.01,157.2,833.050
45,11/05/23 12:18:36 AM,7.520,94.542,0.67,1.67,119.3,833.350
46,11/05/23 12:28:36 AM,7.140,95.537,1.00,2.00,32.3,833.050
47,11/05/23 12:38:36 AM,7.043,95.766,1.67,2.34,67.4,832.750
48,11/05/23 12:48:36 AM,7.140,95.625,1.34,2.67,82.8,832.750
49,11/05/23 12:58:36 AM,6.955,96.579,1.34,2.34,53.3,832.650
50,11/05/23 01:08:36 AM,7.083,95.761,1.34,2.34,46.3,832.550
51,11/05/23 01:18:36 AM,6.931,96.710,1.67,2.34,43.5,832.450
52,11/05/23 01:28:36 AM,6.727,97.060,1.34,2.34,23.9,832.450
53,11/05/23 01:38:36 AM,6.539,97.884,1.00,1.67,11.2,832.450
54,11/05/23 01:48:36 AM,6.553,97.948,0.33,1.00,12.6,832.650
55,11/05/23 01:58:36 AM,6.293,98.259,0.33,1.34,344.0,832.750
56,11/05/23 02:08:36 AM,6.188,99.173,0.67,1.67,59.0,832.850
57,11/05/23 02:18:36 AM,6.207,99.733,1.34,3.01,273.8,833.250
58,11/05/23 02:28:36 AM,6.421,99.825,1.00,3.34,226.0,833.150
59,11/05/23 02:38:36 AM,6.287,99.904,1.67,5.01,259.7,832.650
60,11/05/23 02:48:36 AM,6.185,99.997,1.34,3.01,9.8,832.350
61,11/05/23 02:58:36 AM,6.078,99.527,0.67,1.67,5.6,832.250
62,11/05/23 03:08:36 AM,5.874,98.552,0.67,1.34,5.6,832.250
63,11/05/23 03:18:36 AM,5.681,99.071,1.34,1.67,14.0,832.350
64,11/05/23 03:28:36 AM,5.606,99.765,0.33,1.34,16.8,832.450
65,11/05/23 03:38:36 AM,5.620,99.988,0.67,1.34,26.7,832.250
66,11/05/23 03:48:36 AM,5.579,99.974,0.00,0.33,26.7,832.350
67,11/05/23 03:58:36 AM,5.381,99.948,0.33,1.34,92.7,832.450
68,11/05/23 04:08:36 AM,5.402,99.997,0.00,0.33,151.6,832.350
69,11/05/23 04:18:36 AM,5.268,99.997,0.33,1.34,175.5,832.350
70,11/05/23 04:28:36 AM,5.118,99.997,1.67,2.34,332.7,832.350
71,11/05/23 04:38:36 AM,5.365,99.997,1.00,2.00,331.3,832.350
72,11/05/23 04:48:36 AM,5.821,99.770,0.33,1.00,355.2,832.150
73,11/05/23 04:58:36 AM,5.730,98.650,0.67,1.67,331.3,831.850
74,11/05/23 05:08:36 AM,5.413,99.915,0.67,1.00,193.7,831.950
75,11/05/23 05:18:36 AM,5.252,99.948,1.00,6.35,217.6,832.150
76,11/05/23 05:28:36 AM,6.057,97.508,1.34,3.34,255.5,832.250
77,11/05/23 05:38:36 AM,6.853,92.970,2.34,4.01,228.8,832.350
78,11/05/23 05:48:36 AM,6.888,90.932,2.67,5.68,221.8,832.250
79,11/05/23 05:58:36 AM,6.472,93.605,2.67,4.01,213.4,832.350
80,11/05/23 06:08:36 AM,6.561,93.050,3.01,5.01,240.1,832.250
81,11/05/23 06:18:36 AM,6.539,91.243,2.34,4.68,251.3,832.250
82,11/05/23 06:28:36 AM,6.478,90.590,2.34,4.01,251.3,832.250
83,11/05/23 06:38:36 AM,6.555,89.543,3.01,5.01,263.9,832.150
84,11/05/23 06:48:36 AM,6.030,91.939,2.67,4.01,271.0,832.250
85,11/05/23 06:58:36 AM,5.400,93.515,1.67,2.67,310.3,832.250
86,11/05/23 07:08:36 AM,5.191,93.878,1.67,2.34,300.4,832.350
87,11/05/23 07:18:36 AM,5.019,94.049,1.67,2.34,300.4,832.350
88,11/05/23 07:28:36 AM,5.220,94.215,1.67,2.67,292.0,832.350
89,11/05/23 07:38:36 AM,4.909,94.548,1.67,2.67,300.4,832.250
90,11/05/23 07:48:36 AM,4.856,94.601,1.67,3.01,301.8,832.350
91,11/05/23 07:58:36 AM,4.738,94.481,1.67,2.67,313.1,832.250
92,11/05/23 08:08:36 AM,4.882,94.090,2.00,3.01,310.3,832.350
93,11/05/23 08:18:36 AM,5.209,93.283,1.67,3.34,299.0,832.350
94,11/05/23 08:28:36 AM,5.209,92.958,1.34,2.67,297.6,832.350
95,11/05/23 08:38:36 AM,5.097,93.172,1.00,1.67,322.9,832.350
96,11/05/23 08:48:36 AM,4.823,93.837,1.34,2.00,325.7,832.450
97,11/05/23 08:58:36 AM,4.982,94.578,1.67,2.67,304.7,832.450
98,11/05/23 09:08:36 AM,5.649,93.046,2.00,3.67,287.8,832.550
99,11/05/23 09:18:36 AM,5.885,92.642,2.34,3.67,276.6,832.650
100,11/05/23 09:28:36 AM,5.756,93.700,2.00,3.01,275.2,832.850
101,11/05/23 09:38:36 AM,5.864,93.382,2.00,3.67,262.5,832.950
102,11/05/23 09:48:36 AM,6.150,93.330,1.67,3.01,258.3,832.950
103,11/05/23 09:58:36 AM,6.722,92.262,1.67,2.67,254.1,832.950
104,11/05/23 10:08:36 AM,7.646,89.572,1.67,3.01,259.7,832.750
105,11/05/23 10:18:36 AM,7.622,88.986,2.00,3.34,256.9,832.950
106,11/05/23 10:28:36 AM,7.931,89.049,1.67,2.67,256.9,832.750
107,11/05/23 10:38:36 AM,8.397,87.189,2.34,3.67,259.7,832.550
108,11/05/23 10:48:36 AM,8.845,85.631,3.01,4.01,265.3,832.350
109,11/05/23 10:58:36 AM,8.609,84.807,3.34,5.34,273.8,832.550
110,11/05/23 11:08:36 AM,8.384,84.915,3.34,5.01,282.2,832.650
111,11/05/23 11:18:36 AM,8.528,83.188,3.01,4.34,278.0,832.550
112,11/05/23 11:28:36 AM,8.287,84.762,3.01,4.68,294.8,832.850
113,11/05/23 11:38:36 AM,8.775,83.896,3.01,5.01,293.4,832.450
114,11/05/23 11:48:36 AM,9.402,81.430,3.01,4.34,286.4,832.050
115,11/05/23 11:58:36 AM,9.574,79.576,3.01,4.34,280.8,832.450
116,11/05/23 12:08:36 PM,9.858,76.500,3.01,4.68,278.0,832.150
117,11/05/23 12:18:36 PM,9.984,74.653,2.34,4.01,287.8,832.450
118,11/05/23 12:28:36 PM,9.842,72.854,3.01,4.34,285.0,832.450
119,11/05/23 12:38:36 PM,9.821,73.831,2.67,4.01,282.2,832.550
120,11/05/23 12:48:36 PM,9.947,73.002,3.01,5.34,276.6,832.250
121,11/05/23 12:58:36 PM,10.424,70.961,3.01,5.01,272.4,831.950
122,11/05/23 01:08:36 PM,10.735,69.526,2.67,5.01,287.8,831.950
123,11/05/23 01:18:36 PM,10.864,67.469,3.34,5.68,265.3,831.750
124,11/05/23 01:28:36 PM,11.148,65.731,3.67,6.35,263.9,831.850
125,11/05/23 01:38:36 PM,11.266,65.063,3.67,5.34,237.3,831.650
126,11/05/23 01:48:36 PM,11.571,63.262,2.34,5.34,265.3,831.650
127,11/05/23 01:58:36 PM,11.735,62.693,2.34,4.34,247.1,831.550
128,11/05/23 02:08:36 PM,12.309,59.866,2.67,4.68,248.5,831.550
129,11/05/23 02:18:36 PM,11.097,63.253,2.67,5.01,279.4,831.550
130,11/05/23 02:28:36 PM,12.003,62.385,2.67,4.68,286.4,831.350
131,11/05/23 02:38:36 PM,12.075,60.797,3.67,5.68,273.8,831.450
132,11/05/23 02:48:36 PM,10.663,62.074,4.01,6.01,247.1,831.650
133,11/05/23 02:58:36 PM,10.529,61.683,4.01,5.68,241.5,831.650
134,11/05/23 03:08:36 PM,10.979,59.965,3.67,5.68,252.7,831.650
135,11/05/23 03:18:36 PM,11.470,59.078,4.01,6.01,258.3,831.550
136,11/05/23 03:28:36 PM,11.826,56.846,4.34,6.35,265.3,831.450
137,11/05/23 03:38:36 PM,11.579,57.272,3.67,5.34,262.5,831.250
138,11/05/23 03:48:36 PM,11.933,57.443,3.01,6.01,275.2,831.150
139,11/05/23 03:58:36 PM,11.234,57.008,4.01,6.01,262.5,831.150
140,11/05/23 04:08:36 PM,10.738,57.501,3.67,5.34,244.3,831.150
141,11/05/23 04:18:36 PM,10.775,55.637,3.67,4.68,249.9,831.150
142,11/05/23 04:28:36 PM,10.807,55.468,2.34,4.34,254.1,831.150
143,11/05/23 04:38:36 PM,10.711,56.274,2.00,3.67,233.1,831.050
144,11/05/23 04:48:36 PM,10.344,57.540,2.34,3.34,210.6,831.050
145,11/05/23 04:58:36 PM,10.175,58.810,2.00,3.67,199.4,831.050
146,11/05/23 05:08:36 PM,9.968,59.477,2.34,3.67,213.4,831.050
147,11/05/23 05:18:36 PM,9.663,61.416,2.00,3.01,203.6,831.150
148,11/05/23 05:28:36 PM,9.335,63.188,1.67,2.67,206.4,831.150
149,11/05/23 05:38:36 PM,9.124,64.254,1.34,2.34,207.8,831.050
150,11/05/23 05:48:36 PM,8.842,65.736,0.67,1.67,206.4,831.050
151,11/05/23 05:58:36 PM,8.432,67.948,0.00,0.33,205.0,830.850
152,11/05/23 06:08:36 PM,8.169,68.344,0.67,1.34,317.3,830.850
153,11/05/23 06:18:36 PM,7.628,71.513,1.00,1.34,355.2,830.750
154,11/05/23 06:28:36 PM,8.003,68.751,1.00,1.34,16.8,830.650
155,11/05/23 06:38:36 PM,7.687,70.465,1.00,1.34,28.1,830.650
156,11/05/23 06:48:36 PM,7.429,71.804,0.67,1.34,36.5,830.650
157,11/05/23 06:58:36 PM,6.499,76.368,0.33,1.00,46.3,830.650
158,11/05/23 07:08:36 PM,5.896,79.109,0.33,0.67,51.9,830.650
159,11/05/23 07:18:36 PM,5.692,80.247,0.00,0.67,51.9,830.650
160,11/05/23 07:28:36 PM,5.440,81.538,0.00,0.67,51.9,830.750
161,11/05/23 07:38:36 PM,5.555,81.483,0.00,0.00,51.9,830.650
162,11/05/23 07:48:36 PM,5.116,83.484,0.00,0.67,51.9,830.650
163,11/05/23 07:58:36 PM,5.236,83.514,0.33,0.67,51.9,830.750
164,11/05/23 08:08:36 PM,5.746,81.393,0.67,1.00,51.9,830.650
165,11/05/23 08:18:36 PM,5.537,82.365,0.67,1.00,51.9,830.650
166,11/05/23 08:28:36 PM,5.839,81.282,0.67,1.00,51.9,830.650
167,11/05/23 08:38:36 PM,5.743,81.660,1.00,1.34,42.1,830.650
168,11/05/23 08:48:36 PM,6.180,79.501,1.00,1.67,43.5,830.550
