"Plot Title: site8km2026"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21550053)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,10/29/25 12:57:29 PM,10.523,34.347,2.00,3.34,263.9,843.250
2,10/29/25 01:07:29 PM,10.799,35.480,1.67,3.01,255.5,842.950
3,10/29/25 01:17:29 PM,11.459,34.192,1.67,3.01,263.9,842.750
4,10/29/25 01:27:29 PM,11.676,32.668,2.00,3.67,207.8,842.750
5,10/29/25 01:37:29 PM,12.282,32.267,3.01,5.01,205.0,842.550
6,10/29/25 01:47:29 PM,12.740,31.829,3.34,6.01,240.1,842.450
7,10/29/25 01:57:29 PM,12.432,32.697,4.68,7.01,251.3,842.350
8,10/29/25 02:07:29 PM,12.196,34.386,4.34,6.68,252.7,842.250
9,10/29/25 02:17:29 PM,12.142,36.078,4.34,6.01,245.7,842.250
10,10/29/25 02:27:29 PM,11.974,37.646,4.68,7.35,251.3,842.150
11,10/29/25 02:37:29 PM,12.201,38.956,4.34,6.68,254.1,842.050
12,10/29/25 02:47:29 PM,12.204,39.452,5.34,7.68,249.9,841.750
13,10/29/25 02:57:29 PM,12.298,40.710,5.34,8.02,249.9,841.750
14,10/29/25 03:07:29 PM,12.209,42.159,5.34,8.02,245.7,841.650
15,10/29/25 03:17:29 PM,12.277,43.166,5.68,8.35,237.3,841.550
16,10/29/25 03:27:29 PM,12.365,44.202,4.68,7.35,233.1,841.550
17,10/29/25 03:37:29 PM,12.764,44.500,4.01,6.68,247.1,841.550
18,10/29/25 03:47:29 PM,12.620,45.150,4.34,6.68,247.1,841.450
19,10/29/25 03:57:29 PM,12.515,46.230,4.68,7.01,251.3,841.350
