"Plot Title: site8km"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21550053)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,11/17/24 04:52:25 PM,-1.402,99.997,4.68,5.68,60.4,833.650
2,11/17/24 05:02:25 PM,-1.426,99.997,3.67,6.01,63.2,833.650
3,11/17/24 05:12:25 PM,-1.464,99.997,3.67,6.68,64.6,833.650
4,11/17/24 05:22:25 PM,-1.514,99.997,3.34,6.01,74.4,833.450
5,11/17/24 05:32:25 PM,-1.547,99.997,3.34,5.01,71.6,833.350
6,11/17/24 05:42:25 PM,-1.544,99.997,3.01,5.68,60.4,833.350
7,11/17/24 05:52:25 PM,-1.488,99.997,3.34,5.01,63.2,833.250
8,11/17/24 06:02:25 PM,-1.434,99.997,4.34,6.68,66.0,833.150
9,11/17/24 06:12:25 PM,-1.429,99.997,4.01,6.01,73.0,833.150
10,11/17/24 06:22:25 PM,-1.450,99.997,4.68,6.68,73.0,833.050
11,11/17/24 06:32:25 PM,-1.557,99.997,5.01,7.01,70.2,832.950
12,11/17/24 06:42:25 PM,-1.678,99.997,5.01,6.68,66.0,832.850
13,11/17/24 06:52:25 PM,-1.710,99.997,4.68,7.35,74.4,832.850
14,11/17/24 07:02:25 PM,-1.683,99.997,4.01,6.01,81.4,832.950
15,11/17/24 07:12:25 PM,-1.756,99.997,4.68,6.68,75.8,832.750
16,11/17/24 07:22:25 PM,-1.772,99.997,4.34,6.68,77.2,832.650
17,11/17/24 07:32:25 PM,-1.850,99.997,5.01,7.68,73.0,832.650
18,11/17/24 07:42:25 PM,-1.901,99.997,4.34,6.68,74.4,832.550
19,11/17/24 07:52:25 PM,-1.890,99.997,3.67,5.01,77.2,832.650
20,11/17/24 08:02:25 PM,-1.842,99.997,4.01,6.01,82.8,832.550
21,11/17/24 08:12:25 PM,-1.893,99.997,4.34,6.35,81.4,832.350
22,11/17/24 08:22:25 PM,-1.922,99.997,4.01,6.01,82.8,832.250
23,11/17/24 08:32:25 PM,-1.943,99.997,4.34,6.35,78.6,832.050
24,11/17/24 08:42:25 PM,-1.935,99.997,4.34,6.01,78.6,832.050
25,11/17/24 08:52:25 PM,-1.954,99.997,3.34,5.01,75.8,832.150
26,11/17/24 09:02:25 PM,-1.968,99.997,4.01,6.35,74.4,831.950
27,11/17/24 09:12:25 PM,-1.976,99.997,3.67,5.68,82.8,831.750
28,11/17/24 09:22:25 PM,-1.957,99.997,3.34,5.01,80.0,831.650
29,11/17/24 09:32:25 PM,-1.992,99.997,4.34,6.35,81.4,831.350
30,11/17/24 09:42:25 PM,-2.077,99.997,4.01,6.35,87.0,831.250
31,11/17/24 09:52:25 PM,-2.139,99.997,4.01,5.68,85.6,831.250
32,11/17/24 10:02:25 PM,-2.107,99.997,3.67,6.01,84.2,831.250
33,11/17/24 10:12:25 PM,-2.077,99.997,3.67,5.68,91.3,831.050
34,11/17/24 10:22:25 PM,-2.061,99.997,4.34,6.68,92.7,830.750
35,11/17/24 10:32:25 PM,-1.943,99.997,4.01,6.01,99.7,830.750
36,11/17/24 10:42:25 PM,-1.922,99.997,4.01,7.01,88.4,830.650
37,11/17/24 10:52:25 PM,-1.890,99.997,3.34,6.01,94.1,830.550
38,11/17/24 11:02:25 PM,-1.901,99.997,2.67,3.67,99.7,830.450
39,11/17/24 11:12:25 PM,-1.906,99.997,2.00,4.01,102.5,830.550
40,11/17/24 11:22:25 PM,-1.898,99.997,2.00,3.67,91.3,830.250
41,11/17/24 11:32:25 PM,-1.901,99.997,2.00,3.01,99.7,830.150
42,11/17/24 11:42:25 PM,-1.898,99.997,1.34,2.34,103.9,830.050
43,11/17/24 11:52:25 PM,-1.850,99.997,1.67,2.67,139.0,829.950
44,11/18/24 12:02:25 AM,-1.817,99.997,2.34,4.01,112.3,829.950
45,11/18/24 12:12:25 AM,-1.783,99.997,2.00,3.34,98.3,829.950
46,11/18/24 12:22:25 AM,-1.761,99.997,1.34,3.01,82.8,829.850
47,11/18/24 12:32:25 AM,-1.764,99.997,0.67,1.67,95.5,829.950
48,11/18/24 12:42:25 AM,-1.742,99.997,0.67,2.00,137.6,830.050
49,11/18/24 12:52:25 AM,-1.761,99.997,0.67,2.00,240.1,829.950
50,11/18/24 01:02:25 AM,-1.756,99.997,0.33,1.00,276.6,829.850
51,11/18/24 01:12:25 AM,-1.775,99.997,0.33,1.00,276.6,829.650
52,11/18/24 01:22:25 AM,-1.783,99.997,0.33,1.00,276.6,829.450
53,11/18/24 01:32:25 AM,-1.764,99.997,1.00,1.67,256.9,829.450
54,11/18/24 01:42:25 AM,-1.506,99.997,2.34,6.68,241.5,829.450
55,11/18/24 01:52:25 AM,-0.925,99.997,5.34,10.02,268.1,829.250
56,11/18/24 02:02:25 AM,-1.177,99.997,9.02,14.36,271.0,829.250
57,11/18/24 02:12:25 AM,-1.493,99.997,8.35,12.69,276.6,829.050
58,11/18/24 02:22:25 AM,-1.614,99.997,7.35,11.02,285.0,828.850
59,11/18/24 02:32:25 AM,-1.638,99.997,7.35,10.02,289.2,828.650
60,11/18/24 02:42:25 AM,-1.606,99.997,6.68,10.69,283.6,828.850
61,11/18/24 02:52:25 AM,-1.654,99.997,5.01,7.35,280.8,829.250
62,11/18/24 03:02:25 AM,-1.697,99.997,5.68,8.02,282.2,828.950
63,11/18/24 03:12:25 AM,-1.681,99.997,5.68,9.35,280.8,828.950
64,11/18/24 03:22:25 AM,-1.681,99.997,5.34,7.01,282.2,829.150
65,11/18/24 03:32:25 AM,-1.742,99.997,5.01,7.68,276.6,829.350
66,11/18/24 03:42:25 AM,-1.823,99.997,4.68,7.35,271.0,829.650
67,11/18/24 03:52:25 AM,-1.882,99.997,5.01,8.35,276.6,829.450
68,11/18/24 04:02:25 AM,-1.986,99.997,5.01,6.68,271.0,829.250
69,11/18/24 04:12:25 AM,-2.008,99.997,4.68,8.02,265.3,829.150
70,11/18/24 04:22:25 AM,-2.096,99.896,4.01,6.01,265.3,829.450
71,11/18/24 04:32:25 AM,-2.177,98.930,3.34,5.01,271.0,829.550
72,11/18/24 04:42:25 AM,-2.214,94.728,4.01,6.35,275.2,829.850
