"Plot Title: site8km"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21623140, SEN S/N: 21549913)","RH, % (LGR S/N: 21623140, SEN S/N: 21549913)","Wind Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Gust Speed, m/s (LGR S/N: 21623140, SEN S/N: 21550053)","Wind Direction, ø (LGR S/N: 21623140, SEN S/N: 21550053)","Pressure, mbar (LGR S/N: 21623140, SEN S/N: 21569227)"
1,11/04/23 02:42:30 PM,9.172,69.122,2.00,2.34,80.0,842.950
2,11/04/23 02:52:30 PM,9.070,71.943,1.67,3.01,75.8,842.750
3,11/04/23 03:02:30 PM,9.282,70.620,2.34,4.01,75.8,842.450
4,11/04/23 03:12:30 PM,9.657,69.439,1.67,3.01,70.2,842.550
5,11/04/23 03:22:30 PM,10.070,67.677,1.67,3.01,71.6,842.650
6,11/04/23 03:32:30 PM,10.314,66.581,1.67,3.34,66.0,842.550
7,11/04/23 03:42:30 PM,10.496,65.983,2.67,4.34,75.8,842.350
8,11/04/23 03:52:30 PM,10.912,65.859,2.67,5.01,91.3,842.050
9,11/04/23 04:02:30 PM,10.861,65.669,2.67,4.34,88.4,841.950
10,11/04/23 04:12:30 PM,10.917,65.635,3.01,5.34,84.2,842.050
11,11/04/23 04:22:30 PM,10.853,66.824,2.67,4.34,99.7,841.950
12,11/04/23 04:32:30 PM,11.212,65.734,3.34,4.34,92.7,841.850
13,11/04/23 04:42:30 PM,10.936,67.196,2.67,5.01,91.3,841.650
14,11/04/23 04:52:30 PM,10.904,67.460,3.01,4.34,91.3,841.650
15,11/04/23 05:02:30 PM,10.893,67.834,3.01,4.34,78.6,841.550
16,11/04/23 05:12:30 PM,10.842,67.993,3.01,4.68,78.6,841.350
17,11/04/23 05:22:30 PM,10.818,67.915,2.34,4.34,82.8,841.250
18,11/04/23 05:32:30 PM,10.628,68.945,1.67,3.01,85.6,841.250
19,11/04/23 05:42:30 PM,10.448,69.397,1.67,3.34,95.5,841.150
20,11/04/23 05:52:30 PM,10.132,71.933,1.00,2.67,109.5,841.150
21,11/04/23 06:02:30 PM,9.904,73.407,0.67,1.67,98.3,841.050
22,11/04/23 06:12:30 PM,9.668,74.418,0.00,0.67,110.9,841.150
23,11/04/23 06:22:30 PM,9.633,74.418,0.00,0.00,115.1,841.250
24,11/04/23 06:32:30 PM,9.148,77.786,1.00,2.34,289.2,841.350
25,11/04/23 06:42:30 PM,8.861,79.374,0.33,1.34,311.7,841.150
26,11/04/23 06:52:30 PM,8.998,78.007,0.33,2.00,44.9,840.950
27,11/04/23 07:02:30 PM,8.555,82.110,0.67,2.67,23.9,840.850
28,11/04/23 07:12:30 PM,7.740,87.207,2.34,3.34,308.9,841.150
29,11/04/23 07:22:30 PM,7.392,89.743,3.01,4.68,304.7,841.250
30,11/04/23 07:32:30 PM,7.250,91.562,3.01,5.34,314.5,841.450
31,11/04/23 07:42:30 PM,7.285,92.364,0.00,0.33,209.2,841.450
32,11/04/23 07:52:30 PM,7.137,94.054,1.34,3.67,235.9,841.550
33,11/04/23 08:02:30 PM,7.199,93.785,0.67,3.01,296.2,841.550
34,11/04/23 08:12:30 PM,7.078,94.855,0.33,1.34,235.9,841.850
35,11/04/23 08:22:30 PM,7.059,95.418,0.00,0.67,317.3,842.050
36,11/04/23 08:32:30 PM,7.033,96.078,0.67,2.34,51.9,841.650
37,11/04/23 08:42:30 PM,6.633,99.124,1.67,2.67,102.5,841.150
38,11/04/23 08:52:30 PM,6.408,99.933,0.67,2.00,112.3,840.950
39,11/04/23 09:02:30 PM,6.252,99.997,0.00,0.33,94.1,841.050
40,11/04/23 09:12:30 PM,6.145,99.997,0.00,0.00,64.6,840.850
41,11/04/23 09:22:30 PM,5.995,99.997,0.00,0.67,75.8,840.650
42,11/04/23 09:32:30 PM,5.982,99.997,0.00,0.33,61.8,840.550
43,11/04/23 09:42:30 PM,5.963,99.997,0.00,0.00,54.8,840.550
44,11/04/23 09:52:30 PM,6.046,99.997,0.00,1.00,80.0,840.250
45,11/04/23 10:02:30 PM,6.188,99.997,0.00,0.33,122.1,840.350
46,11/04/23 10:12:30 PM,6.223,99.997,0.67,1.67,141.8,840.350
47,11/04/23 10:22:30 PM,6.250,99.997,0.67,2.34,124.9,840.250
48,11/04/23 10:32:30 PM,6.309,99.997,1.00,2.34,146.0,840.350
49,11/04/23 10:42:30 PM,6.343,99.997,0.33,2.34,42.1,840.450
50,11/04/23 10:52:30 PM,6.343,99.997,0.00,0.33,353.8,840.650
51,11/04/23 11:02:30 PM,6.429,99.997,0.33,1.34,22.5,840.450
52,11/04/23 11:12:30 PM,6.612,99.928,0.00,1.67,22.5,840.250
53,11/04/23 11:22:30 PM,6.850,99.615,0.33,1.67,160.0,840.350
54,11/04/23 11:32:30 PM,6.872,99.960,0.00,0.33,120.7,840.450
55,11/04/23 11:42:30 PM,6.821,99.997,0.67,2.34,123.5,840.450
56,11/04/23 11:52:30 PM,6.789,99.997,0.33,2.00,16.8,840.050
57,11/05/23 12:02:30 AM,7.070,98.723,0.00,0.00,101.1,839.850
58,11/05/23 12:12:30 AM,7.003,98.926,0.33,1.67,23.9,839.450
59,11/05/23 12:22:30 AM,7.419,97.281,0.33,2.00,23.9,839.650
60,11/05/23 12:32:30 AM,7.936,94.925,0.67,2.34,44.9,839.350
61,11/05/23 12:42:30 AM,8.043,94.640,0.33,1.34,92.7,839.150
